step_count,agent_id,ang_vel,ang_pos,lin_vel,lin_pos,agent_aux_state,past_actions,ally_ang_vel,ally_delta_ang_pos,ally_delta_lin_vel,ally_delta_lin_pos,target_ang_vel,target_delta_ang_pos,target_delta_lin_vel,target_delta_lin_pos,target_distance,hit_probability
5,0,[-2.38975571 -2.21409975 15.70917201],[-0.19486403  0.02320115  2.74563932],[ 0.315614   -0.72656447  4.28651758],[-1.02239404 -0.98312188  1.36639816],[0.04993835 0.16502003 0.9893406  1.00811895],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.19486403  0.02320115  2.74563932],[ 0.67071129  0.28898364 -4.29748484],[-0.55546052 -1.20329036 -0.62419687],1.4649456659184108,0.4640901341382804
5,0,[-2.39412725 -2.42526276 15.80874831],[-0.21140369  0.03059203  2.87874058],[ 0.30472841 -0.84411451  4.49273808],[-1.0261625  -0.98299552  1.40392582],[0.04910326 0.18170494 1.01400045 0.99074691],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.21140369  0.03059203  2.87874058],[ 0.6507732   0.21942701 -4.52972738],[-0.72280026 -1.09935996 -0.67187291],1.4773103066688456,0.44185063432635385
6,0,[-1.80622196 -3.05575973 15.54630151],[-0.22326582  0.03489671  3.0114594 ],[ 0.3080709  -0.94521782  4.69791343],[-1.03016284 -0.98333756  1.44328736],[0.05077172 0.21845485 0.97027559 0.97617312],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.22326582  0.03489671  3.0114594 ],[ 0.59177124  0.16127224 -4.7626183 ],[-0.87783803 -0.97618888 -0.70791777],1.4915401130431694,0.4198048831240807
6,0,[-1.31908582 -3.41862401 15.07132579],[-0.23078727  0.03658489  3.14072232],[ 0.32388286 -1.02810609  4.89281977],[-1.03434582 -0.98418787  1.48438384],[0.05016133 0.18161476 0.96833778 0.97895222],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.23078727  0.03658489  3.14072232],[ 0.50352355  0.11516417 -4.98345149],[-1.01508012 -0.83959706 -0.73335795],1.5076885460647635,0.3989851549953273
6,0,[-0.94777276 -3.79682761 15.14492053],[-0.23476661  0.03573143 -3.01261795],[ 0.35283224 -1.09753081  5.08288128],[-1.03864999 -0.9855785   1.52716512],[0.04841122 0.17364349 0.96090295 0.99185285],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.23476661  0.03573143 -3.01261795],[ 0.39018685  0.07717634 -5.19678214],[-1.1372151  -0.6884958  -0.74885056],1.5257987504781145,0.3788018943904343
6,0,[-0.87102628 -3.92666245 15.37448738],[-0.2374676   0.03400148 -2.88072445],[ 0.38661384 -1.16543065  5.27530474],[-1.04300388 -0.98753261  1.57162247],[0.04865683 0.16760073 0.93672619 1.00909596],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.2374676   0.03400148 -2.88072445],[ 0.25223752  0.04835514 -5.41022892],[-1.24225728 -0.52139594 -0.75813795],1.545907505444495,0.35836784621969153
7,0,[-1.57445484 -3.40103905 15.38364951],[-0.24417291  0.03563047 -2.7490131 ],[ 0.40072931 -1.25954038  5.4617005 ],[-1.04732872 -0.9900587   1.61775561],[0.05138895 0.1652696  0.91134726 0.99245645],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.24417291  0.03563047 -2.7490131 ],[ 0.08301043  0.04254721 -5.61858499],[-1.32356236 -0.33796691 -0.769868  ],1.5680356109767417,0.3380640760575945
7,0,[-2.31577432 -2.91101885 15.02437606],[-0.25696491  0.04219834 -2.62083861],[ 0.38360888 -1.39087854  5.63058434],[-1.05154803 -0.99314155  1.66549822],[0.05006731 0.17529057 0.92371304 1.00118124],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.25696491  0.04219834 -2.62083861],[-0.12139994  0.08208316 -5.81065429],[-1.37695488 -0.14314479 -0.78643252],1.5921593140730324,0.3187498052465001
7,0,[-3.12381766 -2.31169503 15.05776072],[-0.2753443   0.05530583 -2.49436965],[ 0.3247837  -1.55908856  5.79346498],[-1.05558719 -0.99679068  1.71485861],[0.04867506 0.23138106 0.93159132 1.04047511],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.2753443   0.05530583 -2.49436965],[-0.35969867  0.19755495 -5.99433624],[-1.40142262  0.06301434 -0.80679777],1.6182950311184676,0.29916326596084974
7,0,[-4.27022933 -1.34208197 15.48738818],[-0.30083023  0.07995196 -2.3675692 ],[ 0.19168864 -1.77641263  5.95644229],[-1.05936213 -1.00104659  1.7659281 ],[0.04910191 0.24356039 0.96701246 0.9640017 ],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.30083023  0.07995196 -2.3675692 ],[-0.62541636  0.44423025 -6.17115102],[-1.39147623  0.28427096 -0.83304992],1.6465078943507125,0.27813513436849224
8,0,[-4.20977549 -1.9572909  15.20305329],[-0.32490216  0.10555091 -2.24154125],[ 0.04806449 -1.99005491  6.10271314],[-1.0628014  -1.00593112  1.81865882],[0.04958166 0.24180239 0.9821967  0.96071753],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.32490216  0.10555091 -2.24154125],[-0.87759052  0.78074141 -6.31078554],[-1.35429839  0.50504604 -0.8499711 ],1.6767964968923124,0.2580830556615519
8,0,[-4.04218923 -2.72999173 15.06834823],[-0.34474384  0.12738165 -2.11520322],[-0.07365931 -2.1826141   6.2467946 ],[-1.06582347 -1.01147945  1.87302499],[0.05048104 0.25820347 0.98107199 0.93878315],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.34474384  0.12738165 -2.11520322],[-1.09621947  1.17124623 -6.42013691],[-1.29486646  0.71856401 -0.85336369],1.7091644100267571,0.23824723093671252
8,0,[-3.45765401 -3.68727128 14.91745768],[-0.357703    0.14334221 -1.98721972],[-0.15792778 -2.33812601  6.39420479],[-1.06834289 -1.01769622  1.92896959],[0.04976153 0.28843772 0.97466482 0.94202738],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.357703    0.14334221 -1.98721972],[-1.2661844   1.57534446 -6.50328349],[-1.21617927  0.91968936 -0.84565129],1.743572950592469,0.2189887716716199
8,0,[-3.00074841 -4.19072372 14.89950487],[-0.36375945  0.15464861 -1.85763012],[-0.21169316 -2.45601453  6.55577335],[-1.07026028 -1.02456868  1.98648301],[0.05072818 0.30076256 0.91025426 0.99450498],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.36375945  0.15464861 -1.85763012],[-1.3769314   1.97740181 -6.57639168],[-1.11821156  1.10570564 -0.83388531],1.779985049077377,0.1996073562098032
9,0,[-2.95655354 -4.24884464 14.75708303],[-0.36923781  0.16741021 -1.72871127],[-0.27880044 -2.5752885   6.70863597],[-1.07149041 -1.03204396  2.04553538],[0.05041122 0.30638753 0.9592295  0.98578523],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.36923781  0.16741021 -1.72871127],[-1.43306499  2.42199141 -6.61784855],[-0.99688311  1.2789697  -0.82268539],1.8183373389857431,0.18086415006945744
9,0,[-2.42328543 -4.68385458 14.87201884],[-0.36874408  0.17732756 -1.59775535],[-0.3284268  -2.66201272  6.87976657],[-1.07193966 -1.04006481  2.10614689],[0.04845037 0.30171556 0.95565968 0.94904806],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.36874408  0.17732756 -1.59775535],[-1.41444217  2.84994971 -6.66352039],[-0.85670104  1.43376503 -0.81531071],1.8585882785303747,0.16158708039966851
9,0,[-1.81103228 -5.22505742 14.64942087],[-0.36090749  0.18105328 -1.46579287],[-0.33593922 -2.70414754  7.0579486 ],[-1.07156121 -1.04853818  2.16824545],[0.04929285 0.27768665 0.90823979 0.95119198],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.36090749  0.18105328 -1.46579287],[-1.3397675   3.19807732 -6.72437596],[-0.70488246  1.56477892 -0.81675016],1.9006507300392084,0.14342939844551839
9,0,[-1.87652756 -5.24927141 14.39213305],[-0.35210387  0.18114481 -1.33552184],[-0.32078246 -2.74256627  7.22952518],[-1.07034116 -1.0573533   2.23174816],[0.05032818 0.29500968 0.86665621 0.99605105],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.35210387  0.18114481 -1.33552184],[-1.24737751  3.50643739 -6.78524514],[-0.54406865  1.67458334 -0.82497858],1.9444355794201462,0.12610979170545733
10,0,[-2.45761673 -4.91965353 14.5282109 ],[-0.34843765  0.18407851 -1.20614818],[-0.33398076 -2.82194945  7.38612084],[-1.06825287 -1.06640518  2.29666814],[0.05003194 0.24989667 0.89015309 0.98899392],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.34843765  0.18407851 -1.20614818],[-1.12281031  3.87571701 -6.80792462],[-0.36758855  1.76918646 -0.83342091],1.9899076563945364,0.10861057042883959
10,0,[-3.08830712 -4.74892868 14.633716  ],[-0.34898015  0.18854526 -1.07557106],[-0.36701961 -2.93791466  7.52340346],[-1.06528561 -1.07558569  2.36299382],[0.0494256  0.2848786  0.86749657 0.98234632],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.34898015  0.18854526 -1.07557106],[-0.95770754  4.29693635 -6.7813553 ],[-0.17684529  1.84715302 -0.84036993],2.037024826986557,0.09149739935796664
10,0,[-4.06518951 -4.08444962 14.33047681],[-0.35666261  0.19677519 -0.94846331],[-0.43825244 -3.10698834  7.63620454],[-1.06143439 -1.08478486  2.43069952],[0.0511622  0.31273447 0.92050125 0.98216349],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.35666261  0.19677519 -0.94846331],[-0.73229619  4.80046893 -6.67654865],[ 0.0221161   1.90853934 -0.84100578],2.085737822257401,0.07442709851666596
10,0,[-4.52273872 -4.02016161 14.73181517],[-0.36766366  0.20853602 -0.82024629],[-0.54677417 -3.30482511  7.7474727 ],[-1.05663789 -1.0938861   2.49988761],[0.04888855 0.31515545 0.98339011 0.99112893],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.36766366  0.20853602 -0.82024629],[-0.39571722  5.35301757 -6.51404444],[ 0.23293309  1.95064194 -0.83873206],2.13605553953575,0.05593741772548033
11,0,[-4.57157865 -4.50513803 15.56739204],[-0.37647259  0.22087493 -0.68442568],[-0.66941335 -3.49559728  7.87768302],[-1.05081017 -1.10275182  2.57070277],[0.04893653 0.32662029 0.9981287  1.00926791],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.37647259  0.22087493 -0.68442568],[ 0.07559387  5.87427874 -6.34131999],[ 0.45823186  1.96639041 -0.8430321 ],2.1880061256121297,0.03556258535172352
