time/time_elapsed,time/iterations,rew_vec_envs,time/fps,time/total_timesteps,train/loss,train/explained_variance,train/value_loss,train/n_updates,train/std,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/clip_range,train/entropy_loss
1823,29,0.64943,390,2736128,15.043693542480469,0.17555594444274902,188.4403341929118,1310,0.9170715808868408,-0.004430920088877125,0.03426513671875,0.0001,0.0044360845,0.2,-5.318339465061824
1886,30,0.7140885,390,2760704,41.977272033691406,0.08548074960708618,421.26948767503103,1320,0.9164225459098816,-0.0021948292029264848,0.02034912109375,0.0001,0.004705021,0.2,-5.321840972701708
1950,31,0.5890461,390,2785280,19.461437225341797,0.08067363500595093,220.52537887096406,1330,0.9147348999977112,-0.003495391933635498,0.028865559895833334,0.0001,0.0057977387,0.2,-5.316342807809511
2012,32,0.8484606,390,2809856,40.39417266845703,-0.17139101028442383,290.1922747453054,1340,0.9136132001876831,-0.003015059317597964,0.022806803385416668,0.0001,0.004862184,0.2,-5.30767244597276
2074,33,0.65460825,390,2834432,244.48434448242188,0.3134261965751648,300.2451378027598,1350,0.9145840406417847,-0.003325312476954423,0.030777994791666666,0.0001,0.0050320467,0.2,-5.307253435254097
2138,34,0.827699,390,2859008,20.553422927856445,0.5061551332473755,103.80214200417201,1360,0.9138234853744507,-0.004757673291896936,0.03854166666666667,0.0001,0.00525233,0.2,-5.309177226821581
2202,35,0.74484587,390,2883584,21.256587982177734,0.2532328963279724,270.26771302223204,1370,0.9119702577590942,-0.0034679676978460823,0.026359049479166667,0.0001,0.004010513,0.2,-5.30318563580513
2272,36,0.6659876,389,2908160,16.09891128540039,0.3244659900665283,95.07474794785182,1380,0.9113789796829224,-0.004888403731941556,0.04346923828125,0.0001,0.005554913,0.2,-5.297726136445999
2344,37,0.6708791,387,2932736,23.367713928222656,0.3451259732246399,215.32225287357966,1390,0.9082062244415283,-0.0043066497455583885,0.044755045572916666,0.0001,0.0053608404,0.2,-5.288221655289332
2417,38,0.8983477,386,2957312,18.5261173248291,0.49964988231658936,187.65748396714528,1400,0.9107716679573059,-0.0038632843473654552,0.03504638671875,0.0001,0.005749088,0.2,-5.287686232725779
2486,39,0.59660435,385,2981888,22.385690689086914,-0.051221251487731934,235.63630308310192,1410,0.9086529016494751,-0.004349367475272933,0.049055989583333334,0.0001,0.006148672,0.2,-5.291644867261251
2569,40,0.63262767,382,3006464,39.49852752685547,0.569076418876648,85.11139766375224,1420,0.9110541343688965,-0.00529655054366837,0.04300130208333333,0.0001,0.005613319,0.2,-5.2899110039075214
2655,41,0.58909816,379,3031040,11.626415252685547,0.5175511538982391,160.0052563150724,1430,0.9113227128982544,-0.003980166522281555,0.039656575520833334,0.0001,0.0049876655,0.2,-5.295323164264361
