time/total_timesteps,time/time_elapsed,rew_vec_envs,time/iterations,time/fps,train/clip_range,train/value_loss,train/loss,train/entropy_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/std,train/n_updates,train/clip_fraction
409600,607,-680.3754997253418,25,673,0.2,513.9573928833008,244.0171356201172,-5.910583694279194,0.010103887,0.001,0.40933018922805786,-0.008358601477084449,1.0689380168914795,240,0.1440185546875
425984,634,-757.7448501586914,26,671,0.2,536.4155516624451,210.3833465576172,-5.906771868467331,0.010729178,0.001,0.4073001742362976,-0.008429837820585817,1.071939468383789,250,0.1412353515625
442368,659,-620.3592643737793,27,670,0.2,513.7008823394775,221.26902770996094,-5.928311923146248,0.01167088,0.001,0.4379482865333557,-0.009603571938350796,1.079777717590332,260,0.14771728515625
458752,686,-752.3211708068848,28,668,0.2,441.85354099273684,275.5500793457031,-5.9273961842060086,0.011987532,0.001,0.5912133455276489,-0.008862000922090375,1.07633638381958,270,0.14603271484375
475136,711,-737.0707168579102,29,668,0.2,597.5681725502014,100.86829376220703,-5.93696008771658,0.011534707,0.001,0.5152758657932281,-0.00915729742118856,1.0828440189361572,280,0.132958984375
491520,736,-697.6582489013672,30,667,0.2,631.446370267868,265.5495910644531,-5.958609579503536,0.010463182,0.001,0.5008909106254578,-0.00697147987812059,1.0904829502105713,290,0.12978515625
507904,761,-718.7905349731445,31,666,0.2,597.7853474140168,307.38690185546875,-5.960938407480716,0.012214306,0.001,0.5005292892456055,-0.009806733668665402,1.0872933864593506,300,0.141796875
524288,787,-663.0309638977051,32,665,0.2,513.4929270744324,133.8104248046875,-5.945585258305073,0.010842469,0.001,0.5636001229286194,-0.008669360507337843,1.0807609558105469,310,0.1351318359375
540672,812,-695.8926544189453,33,665,0.2,588.7856391906738,258.251708984375,-5.945797584950924,0.011885554,0.001,0.5273252725601196,-0.008402654998644721,1.0843251943588257,320,0.13929443359375
557056,839,-699.1917572021484,34,663,0.2,605.7107244968414,146.7821044921875,-5.939284034073353,0.012342742,0.001,0.49482136964797974,-0.008457045583054424,1.0824049711227417,330,0.14468994140625
573440,867,-543.4980773925781,35,661,0.2,666.2302666664124,209.10452270507812,-5.952506393194199,0.011124639,0.001,0.42026573419570923,-0.009383650914242026,1.0855107307434082,340,0.12918701171875
589824,895,-715.9110221862793,36,659,0.2,539.4273802757264,300.7369689941406,-5.962835885584354,0.011654789,0.001,0.5875954329967499,-0.009157451473583933,1.0891348123550415,350,0.13192138671875
606208,922,-648.4700584411621,37,656,0.2,577.055918598175,357.995361328125,-5.977618312835693,0.012440036,0.001,0.5406061410903931,-0.007992654950794532,1.0953116416931152,360,0.144451904296875
622592,950,-563.0084953308105,38,655,0.2,640.9447040557861,409.46142578125,-5.983221317827701,0.009005587,0.001,0.4656384587287903,-0.007935808393085608,1.0949946641921997,370,0.112689208984375
638976,979,-683.2325630187988,39,652,0.2,657.9382359981537,297.3670654296875,-6.000475458800793,0.013009541,0.001,0.543200671672821,-0.009619485744042321,1.1020028591156006,380,0.1240966796875
655360,1011,-676.8855934143066,40,647,0.2,638.4199233531951,143.41897583007812,-5.99776639342308,0.011292605,0.001,0.5796655416488647,-0.008896029346942669,1.097815990447998,390,0.12149658203125
671744,1044,-572.8224601745605,41,642,0.2,596.4627810955047,94.91358947753906,-5.982198135554791,0.013030048,0.001,0.5456956624984741,-0.010017517484084238,1.094417691230774,400,0.142572021484375
688128,1077,-652.2452239990234,42,638,0.2,646.0688412189484,280.2666320800781,-5.983221124112606,0.012810074,0.001,0.4741703271865845,-0.009827969181060325,1.0954947471618652,410,0.135723876953125
704512,1110,-609.3527641296387,43,634,0.2,665.7808078765869,137.97100830078125,-5.958651551604271,0.011930419,0.001,0.47600752115249634,-0.008886577507655601,1.0906059741973877,420,0.156695556640625
720896,1143,-605.9614105224609,44,630,0.2,628.6431525230407,146.3275909423828,-5.977748276293278,0.01327379,0.001,0.5361436605453491,-0.007739036690327339,1.097865104675293,430,0.1468017578125
737280,1176,-527.483757019043,45,626,0.2,704.1294682025909,122.39163208007812,-5.9810027301311495,0.012218882,0.001,0.46929931640625,-0.010036313768068794,1.0970312356948853,440,0.142315673828125
753664,1209,-602.4958057403564,46,623,0.2,646.3806591510772,180.87765502929688,-5.972080604732037,0.012490364,0.001,0.5081648230552673,-0.008339239230554085,1.0926364660263062,450,0.14644775390625
770048,1242,-762.6640396118164,47,619,0.2,520.006532907486,266.729248046875,-5.957974311709404,0.017364247,0.001,0.6102441847324371,-0.006934352731332183,1.0932193994522095,460,0.163983154296875
786432,1275,-640.3220291137695,48,616,0.2,654.8403698444366,231.40972900390625,-5.979228337109089,0.012785271,0.001,0.46783745288848877,-0.00856062228558585,1.0993237495422363,470,0.125531005859375
802816,1308,-722.6451568603516,49,613,0.2,622.1757231235504,181.53025817871094,-5.989639765024185,0.013251577,0.001,0.5422812700271606,-0.010419988025387284,1.099579095840454,480,0.159783935546875
819200,1342,-568.0214080810547,50,610,0.2,623.5993430137635,158.8004608154297,-5.987439371645451,0.011759754,0.001,0.5194946527481079,-0.009188962547341362,1.1005061864852905,490,0.140142822265625
835584,1376,-610.7003173828125,51,607,0.2,640.3261926174164,289.0386962890625,-5.991985107958317,0.012871244,0.001,0.494881808757782,-0.010181858866417315,1.0978749990463257,500,0.15419921875
851968,1410,-546.1512985229492,52,604,0.2,729.0139832019806,254.8328399658203,-5.983067661523819,0.010917263,0.001,0.5078036785125732,-0.009394867555965903,1.0997368097305298,510,0.12969970703125
868352,1444,-751.7829246520996,53,601,0.2,670.1943366527557,441.098876953125,-5.995553824305534,0.012207618,0.001,0.5424139499664307,-0.01024471520941006,1.1053119897842407,520,0.13836669921875
884736,1477,-500.3120880126953,54,598,0.2,708.4316279888153,245.65846252441406,-5.993159501254558,0.012810808,0.001,0.4563820958137512,-0.009025609322998207,1.1007987260818481,530,0.139990234375
901120,1512,-582.2805976867676,55,595,0.2,635.8143008232116,326.7838439941406,-5.984677183628082,0.012321653,0.001,0.5454414188861847,-0.009108634582662489,1.1022603511810303,540,0.14521484375
917504,1548,-778.6020355224609,56,592,0.2,668.7365343093873,183.0843505859375,-5.998032416403293,0.013053956,0.001,0.4759714603424072,-0.008765271792799467,1.1027846336364746,550,0.15762939453125
933888,1584,-658.742618560791,57,589,0.2,706.7836105823517,286.3337707519531,-5.9730238452553746,0.012978912,0.001,0.4539787769317627,-0.009197530922392616,1.0958161354064941,560,0.13936767578125
950272,1621,-688.9886703491211,58,586,0.2,1718.5014874458313,375.5661926269531,-5.947489708662033,0.012486815,0.001,0.3287040591239929,-0.009113478275685339,1.0872771739959717,570,0.112164306640625
966656,1656,-551.9764938354492,59,583,0.2,859.4727014541626,351.33148193359375,-5.914729642868042,0.01180402,0.001,0.49311894178390503,-0.010065480423509143,1.0779410600662231,580,0.118597412109375
983040,1693,-607.7681503295898,60,580,0.2,684.2036756038666,296.7841796875,-5.887748447060585,0.0113539295,0.001,0.530612051486969,-0.00887627214033273,1.0704373121261597,590,0.13302001953125
999424,1730,-593.2891235351562,61,577,0.2,785.6593903541565,440.0684509277344,-5.877369537949562,0.011484475,0.001,0.4558446407318115,-0.00958517967737862,1.0666539669036865,600,0.129931640625
1015808,1768,-515.1481046676636,62,574,0.2,637.8010260105133,372.3027038574219,-5.86052135527134,0.017037608,0.001,0.4605278968811035,-0.009103654435602949,1.0623162984848022,610,0.15675048828125
1032192,1805,-900.4241371154785,63,571,0.2,698.0933526992798,288.90869140625,-5.854561597108841,0.010776146,0.001,0.513686329126358,-0.008608297743194271,1.062432050704956,620,0.142510986328125
1048576,1843,-675.9138488769531,64,568,0.2,761.4395832538605,501.3135070800781,-5.848798760771752,0.015084866,0.001,0.5459297597408295,-0.00911651223723311,1.0591797828674316,630,0.1509765625
1064960,1878,-620.5518341064453,65,566,0.2,620.0764691829681,547.5512084960938,-5.813669688999653,0.01709508,0.001,0.550472766160965,-0.00909502972572227,1.048668622970581,640,0.186016845703125
1081344,1916,-694.1981811523438,66,564,0.2,757.8585564613343,332.0806579589844,-5.802135315537453,0.011979761,0.001,0.4966416358947754,-0.01095808930840576,1.0492314100265503,650,0.149224853515625
1097728,1953,-806.2997665405273,67,561,0.2,745.714194726944,155.02810668945312,-5.807253524661064,0.014815697,0.001,0.45057833194732666,-0.010727604088606313,1.0512449741363525,660,0.153790283203125
1114112,1989,-795.7408218383789,68,560,0.2,718.8148672580719,90.9947509765625,-5.794148507714271,0.012236793,0.001,0.5195187032222748,-0.00735000224376563,1.04534113407135,670,0.137469482421875
1130496,2024,-580.6735191345215,69,558,0.2,811.0265546321868,185.6907958984375,-5.791609477996826,0.011697138,0.001,0.4793630838394165,-0.008307913999306037,1.0477490425109863,680,0.120684814453125
1146880,2061,-730.6977844238281,70,556,0.2,756.4313007354737,319.78021240234375,-5.76560782045126,0.016315155,0.001,0.45774197578430176,-0.008824788708443521,1.034589171409607,690,0.16239013671875
