time/total_timesteps,time/iterations,time/time_elapsed,time/fps,rew_vec_envs,train/approx_kl,train/entropy_loss,train/clip_fraction,train/loss,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/n_updates,train/std,train/explained_variance,train/value_loss
475136,29,888,534,40.50527477264404,0.0074234386,-5.377800536900759,0.068975830078125,10.496837615966797,-0.0010201291152043268,0.2,0.0001,280,0.9274426102638245,0.329123318195343,196.50810809182002
491520,30,925,531,86.64577770233154,0.009608609,-5.3673075962811705,0.092474365234375,1.5981067419052124,-0.0018260369688505307,0.2,0.0001,290,0.9240571856498718,0.6302314698696136,11.80649621943012
507904,31,962,527,38.462294578552246,0.008484884,-5.358297659829259,0.07027587890625,209.26588439941406,-0.0029946044497592083,0.2,0.0001,300,0.9228650331497192,0.7030744552612305,104.40491555463522
524288,32,999,524,30.783154726028442,0.010350874,-5.35362510420382,0.125079345703125,6.3062872886657715,-0.002474636662736884,0.2,0.0001,310,0.9229204654693604,0.8626545965671539,5.145420808950439
540672,33,1034,522,49.2793402671814,0.008859161,-5.3394017815589905,0.11142578125,3.882354736328125,-0.002255931558465818,0.2,0.0001,320,0.9167142510414124,0.793848305940628,5.620038262475282
557056,34,1071,519,102.30471444129944,0.008987978,-5.319931619614363,0.080059814453125,3.175790786743164,-0.001670949347271744,0.2,0.0001,330,0.913205087184906,0.7520919293165207,18.79261379595846
573440,35,1108,517,97.91414451599121,0.011765471,-5.309111630916595,0.10284423828125,13.10743236541748,-0.0005204968254474806,0.2,0.0001,340,0.9130938053131104,0.5702013671398163,36.710990658495575
589824,36,1143,515,33.92297577857971,0.0096365325,-5.309636840969324,0.07418212890625,1.5205119848251343,-0.0010237774249162613,0.2,0.0001,350,0.9122092723846436,0.6349702775478363,95.7093423529528
606208,37,1177,514,41.07576894760132,0.008124837,-5.306315221264958,0.070172119140625,5.391327381134033,-0.0013033876276494992,0.2,0.0001,360,0.9117920398712158,0.8750585466623306,23.501196986623107
622592,38,1211,514,41.79378390312195,0.0080092335,-5.307883294299245,0.133251953125,1.7420459985733032,-4.1357253303431206e-05,0.2,0.0001,370,0.9129424691200256,0.89220180362463,9.949726339709013
638976,39,1246,512,37.10946440696716,0.010538885,-5.294213953614235,0.12716064453125,3.968205213546753,-0.0006291901680924638,0.2,0.0001,380,0.9077958464622498,0.7491391003131866,7.012220690865069
655360,40,1277,512,35.55301880836487,0.012002554,-5.2799679890275,0.117181396484375,1.9252419471740723,0.0015044018131447957,0.2,0.0001,390,0.9040294289588928,0.4295600652694702,21.60787264658138
671744,41,1310,512,65.4831600189209,0.009666587,-5.261351519450545,0.1076904296875,0.7913578152656555,0.000430909870465257,0.2,0.0001,400,0.9004296660423279,0.8526892811059952,3.567012455686927
688128,42,1342,512,41.91773509979248,0.009038664,-5.251261395961047,0.120086669921875,0.8703997731208801,-0.0015343810642661992,0.2,0.0001,410,0.8991991877555847,0.817825436592102,6.104852508148179
704512,43,1375,512,48.58664894104004,0.007778613,-5.246630800142884,0.06256103515625,3.8614466190338135,-0.0012441641775694733,0.2,0.0001,420,0.8970304131507874,0.712956041097641,39.11653010966256
720896,44,1409,511,48.67441511154175,0.0062275613,-5.241205544397235,0.053338623046875,2.986861228942871,-0.002134280348127504,0.2,0.0001,430,0.8975403308868408,0.7055980861186981,21.866440812312067
737280,45,1441,511,35.53663921356201,0.0108472165,-5.222310420498252,0.112945556640625,1.4984722137451172,-0.0014565130425580719,0.2,0.0001,440,0.8883664608001709,0.8419926464557648,5.908145089820027
753664,46,1474,511,40.72247505187988,0.009017164,-5.204241503030062,0.119696044921875,1.5498464107513428,0.0003037587204744341,0.2,0.0001,450,0.889633297920227,0.5853469371795654,50.37399087725207
770048,47,1511,509,76.71678185462952,0.011819664,-5.203240935504437,0.141290283203125,0.9194836616516113,0.00019096987543889554,0.2,0.0001,460,0.887968897819519,0.8453685939311981,4.271832629851997
786432,48,1548,507,41.19233560562134,0.009096244,-5.2002777013927695,0.060302734375,4.723556995391846,-0.0013255772972115664,0.2,0.0001,470,0.8873946666717529,0.5977953672409058,47.6854611588642
