time/time_elapsed,rew_vec_envs,time/iterations,time/fps,time/total_timesteps,train/explained_variance,train/clip_fraction,train/clip_range,train/value_loss,train/std,train/n_updates,train/learning_rate,train/loss,train/entropy_loss,train/approx_kl,train/policy_gradient_loss
1990,57.18348932266235,51,419,835584,0.7136409878730774,0.064569091796875,0.2,105.89833862408996,0.783905029296875,500,0.0001,39.40034484863281,-4.689399876818061,0.0075455355,-0.00225259207372801
2028,115.03443741798401,52,420,851968,0.6438768804073334,0.06591796875,0.2,130.7582115881145,0.7785568237304688,510,0.0001,159.3485107421875,-4.661486365646124,0.007498621,-0.002596559777089169
2063,56.661158084869385,53,420,868352,0.4843575954437256,0.08287353515625,0.2,174.5667968928814,0.7751711010932922,520,0.0001,39.91554641723633,-4.6379622589796785,0.009117601,-0.0030228998413349474
2100,55.20021200180054,54,421,884736,0.6796112954616547,0.096148681640625,0.2,78.42146866098047,0.7723522782325745,530,0.0001,21.97001838684082,-4.616738998517394,0.009232949,-0.002030343026126502
2139,95.84152555465698,55,421,901120,0.6197407841682434,0.070831298828125,0.2,239.94195006340743,0.7686972618103027,540,0.0001,19.768836975097656,-4.601688076928258,0.006993712,-0.0021383345993854163
2174,138.62638235092163,56,421,917504,0.5192131400108337,0.061962890625,0.2,291.7276062235236,0.7647828459739685,550,0.0001,446.7523193359375,-4.580331064015627,0.0064580734,-0.0020443210379653466
2210,76.50040102005005,57,422,933888,0.5227255523204803,0.04566650390625,0.2,227.74015189558267,0.7645733952522278,560,0.0001,74.46684265136719,-4.572225403785706,0.006567757,-0.0019092818274657475
2244,63.040711879730225,58,423,950272,0.6376367211341858,0.06461181640625,0.2,174.92043603360653,0.7660176753997803,570,0.0001,73.51554107666016,-4.5741991505026816,0.007138685,-0.001900072274474951
2281,56.278433322906494,59,423,966656,0.5684702098369598,0.07320556640625,0.2,130.05477427989246,0.7634806036949158,580,0.0001,44.98221969604492,-4.571450728178024,0.007943564,-0.0011272382163042493
2317,144.61238718032837,60,424,983040,0.6251326501369476,0.04381103515625,0.2,184.96833060532808,0.7617596387863159,590,0.0001,115.01378631591797,-4.558589528501034,0.0056648906,-0.002347573522820312
2354,86.87680530548096,61,424,999424,0.599534809589386,0.059014892578125,0.2,183.0294894993305,0.7629265189170837,600,0.0001,132.77630615234375,-4.554800322279334,0.007934991,-0.0029984541064550286
2394,105.8582763671875,62,424,1015808,0.618530660867691,0.072735595703125,0.2,214.63261024653912,0.7586712837219238,610,0.0001,202.7085723876953,-4.546114748343825,0.007867237,-0.0032912822551224965
2433,80.28537321090698,63,424,1032192,0.4791865348815918,0.075628662109375,0.2,288.9885518938303,0.7581830024719238,620,0.0001,38.76467514038086,-4.534088519215584,0.008959272,-0.002309412877093564
2470,71.73434066772461,64,424,1048576,0.6806377470493317,0.0867431640625,0.2,99.03604447394609,0.7532960176467896,630,0.0001,17.653825759887695,-4.521357028931379,0.009419068,-0.002951264207877102
2508,67.88980662822723,65,424,1064960,0.7002171277999878,0.069451904296875,0.2,103.4932044699788,0.746269702911377,640,0.0001,20.348970413208008,-4.489324289932847,0.008424701,-0.002218992507960138
2547,107.12549829483032,66,424,1081344,0.7458574175834656,0.057989501953125,0.2,225.409872764349,0.7424654960632324,650,0.0001,98.02031707763672,-4.46234781742096,0.0074617853,-0.001823623230211524
2586,63.44866418838501,67,424,1097728,0.6461754441261292,0.05758056640625,0.2,170.8166414603591,0.7432003021240234,660,0.0001,122.37488555908203,-4.4513966757804155,0.0071836333,-0.002053062408867845
2626,123.33048629760742,68,424,1114112,0.6759549379348755,0.070404052734375,0.2,209.12811754941941,0.7417270541191101,670,0.0001,122.2582015991211,-4.447097400948405,0.0071417876,-0.002711421919866552
2664,91.43100881576538,69,424,1130496,0.4651733636856079,0.054998779296875,0.2,295.1599492371082,0.7412015199661255,680,0.0001,48.20553970336914,-4.4400012664496895,0.007143829,-0.0014932955065887655
2702,108.75722455978394,70,424,1146880,0.7411109507083893,0.0548095703125,0.2,276.4849797666073,0.7418907284736633,690,0.0001,28.275009155273438,-4.441970490664244,0.007002292,-0.0018611970182064396
2741,109.3166868686676,71,424,1163264,0.7213564515113831,0.05400390625,0.2,116.50789094567298,0.7359684109687805,700,0.0001,20.660409927368164,-4.423656767979264,0.006353532,-0.0018260615418512316
2777,163.3856463432312,72,424,1179648,0.482973575592041,0.06619873046875,0.2,304.6395117908716,0.7338356971740723,710,0.0001,74.39202880859375,-4.40541171990335,0.007498681,-0.001751168862938357
2814,118.41199445724487,73,424,1196032,0.6091972887516022,0.06724853515625,0.2,237.42297451794147,0.7309629321098328,720,0.0001,24.363327026367188,-4.393455474823713,0.0066431565,-0.0022876729959534713
2852,68.21508836746216,74,425,1212416,0.5581890344619751,0.0899169921875,0.2,235.64930726289748,0.728618860244751,730,0.0001,79.9552230834961,-4.375438801199198,0.008727079,-0.002408508979306134
2890,77.65044212341309,75,425,1228800,0.5866460800170898,0.067303466796875,0.2,232.3090183839202,0.7286221981048584,740,0.0001,47.205963134765625,-4.369413734972477,0.006802153,-0.0012846159655964585
2932,191.15238094329834,76,424,1245184,0.5765788853168488,0.088812255859375,0.2,127.45819808095693,0.7213107347488403,750,0.0001,31.437149047851562,-4.3446993112564085,0.009535765,-0.0037623668955347966
2970,197.8349061012268,77,424,1261568,0.5896873474121094,0.056768798828125,0.2,289.07406848967076,0.7191252708435059,760,0.0001,64.10249328613281,-4.321069892495871,0.008419146,-0.0029631710573085
3007,18.540817260742188,78,424,1277952,0.6973501741886139,0.05181884765625,0.2,184.51140259057283,0.7154567837715149,770,0.0001,39.32722473144531,-4.306602893397212,0.0065310714,-0.0023994001770006436
3048,-4.565365314483643,79,424,1294336,0.6810840368270874,0.074090576171875,0.2,246.76207142174243,0.7166391611099243,780,0.0001,103.9819564819336,-4.298498138040304,0.007042191,-0.004168707315966458
3089,46.36098575592041,80,424,1310720,0.6994277834892273,0.0538818359375,0.2,254.4437864691019,0.7161673903465271,790,0.0001,507.1614685058594,-4.298659819737077,0.006789607,-0.0025541278288073953
3125,125.66436862945557,81,424,1327104,0.7500905990600586,0.064129638671875,0.2,210.27358829677104,0.7129114270210266,800,0.0001,26.893766403198242,-4.285464556887746,0.0067426916,-0.0020690745199317463
3163,67.73257112503052,82,424,1343488,0.7419766485691071,0.0411376953125,0.2,239.1375433653593,0.7112046480178833,810,0.0001,39.72751235961914,-4.276322031766176,0.0053785574,-0.0018374789387507918
3200,111.78268909454346,83,424,1359872,0.7793382108211517,0.054779052734375,0.2,288.3586529612541,0.7121421694755554,820,0.0001,71.88465881347656,-4.273501455038786,0.006478612,-0.0025944142253138125
3238,49.59506273269653,84,424,1376256,0.7283893823623657,0.052789306640625,0.2,256.97036711275575,0.7125943899154663,830,0.0001,112.330810546875,-4.2784995507448915,0.006961008,-0.0030489128791487017
3274,187.7197036743164,85,425,1392640,0.7828707545995712,0.07825927734375,0.2,140.47506571263074,0.7110728025436401,840,0.0001,40.51329803466797,-4.269916243851185,0.008123141,-0.0009184430220557261
3311,82.85720491409302,86,425,1409024,0.621695339679718,0.062701416015625,0.2,278.9258204460144,0.708855152130127,850,0.0001,33.543277740478516,-4.264847968891263,0.007479787,-0.0024011087509052233
3351,186.21982216835022,87,425,1425408,0.7224000096321106,0.046044921875,0.2,258.28805361688137,0.7070333361625671,860,0.0001,48.43489456176758,-4.251398796215653,0.0055594835,-0.0024045486828981667
3390,107.7856798171997,88,425,1441792,0.6976524889469147,0.051226806640625,0.2,263.631662940979,0.7072197198867798,870,0.0001,86.25640106201172,-4.245356133952737,0.0064727785,-0.003069846959806455
3430,33.09906816482544,89,425,1458176,0.7418608069419861,0.051470947265625,0.2,296.2833624958992,0.7049972414970398,880,0.0001,231.23385620117188,-4.238284354656935,0.0062830434,-0.0027680590644195034
3469,35.8449490070343,90,425,1474560,0.7333376705646515,0.06346435546875,0.2,309.1736986160278,0.7063694000244141,890,0.0001,46.48599624633789,-4.233241876214743,0.007047541,-0.002415937149180536
3509,96.41938591003418,91,424,1490944,0.7319481372833252,0.062738037109375,0.2,207.50454431176186,0.7047667503356934,900,0.0001,38.16900634765625,-4.228622457012534,0.007092749,-0.0013541721513320227
3549,232.03432941436768,92,424,1507328,0.6706577837467194,0.053863525390625,0.2,292.02536844313147,0.7012426257133484,910,0.0001,517.3522338867188,-4.215258418023586,0.0064007146,-0.0021264536330818373
3589,-0.10610747337341309,93,424,1523712,0.6281917989253998,0.038909912109375,0.2,351.4373952269554,0.7020981311798096,920,0.0001,69.64176177978516,-4.20583393163979,0.005946378,-0.0020145207151472276
3627,47.92429876327515,94,424,1540096,0.7795185446739197,0.062017822265625,0.2,226.61042318344116,0.6993705034255981,930,0.0001,34.68952560424805,-4.200193554908037,0.007437347,-0.002197359190631687
3665,106.14750146865845,95,424,1556480,0.7950810194015503,0.06717529296875,0.2,172.09614001214504,0.6988989114761353,940,0.0001,17.41885757446289,-4.18938860706985,0.007269845,-0.0015864594712184043
