rew_vec_envs,time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/clip_range,train/clip_fraction,train/loss,train/entropy_loss,train/approx_kl,train/std,train/learning_rate,train/n_updates
-56.74134,,,,,1.6689300537109375e-06,-0.0005607333441730589,876286.9876953125,0.2,0.000128173828125,424392.75,-5.678706952929497,0.00088279817,1.0007069110870361,0.0001,140
-63.83089,,,,,,,,,,,,,,,
,15,491520,451,1089,,,,,,,,,,,
-55.610886,,,,,-1.5497207641601562e-06,-0.00035567817903938705,851641.965625,0.2,0.0,415803.65625,-5.67863762229681,0.00043325353,1.000732660293579,0.0001,150
-62.840675,,,,,,,,,,,,,,,
,16,524288,480,1090,,,,,,,,,,,
-60.192894,,,,,3.039836883544922e-06,-0.000584504529251717,818826.5439453125,0.2,1.220703125e-05,396245.15625,-5.678596743941307,0.0007382492,1.0006874799728394,0.0001,160
-59.781593,,,,,,,,,,,,,,,
,17,557056,510,1092,,,,,,,,,,,
-62.003956,,,,,-6.4373016357421875e-06,-0.0004920213730656541,942630.9224609375,0.2,3.35693359375e-05,460358.9375,-5.6792576417326925,0.0007111721,1.0010877847671509,0.0001,170
-53.8571,,,,,,,,,,,,,,,
,18,589824,539,1093,,,,,,,,,,,
-59.872166,,,,,-3.5762786865234375e-07,-0.00034890060451289175,962200.1712890625,0.2,0.0,475123.875,-5.679164069890976,0.00037786586,1.0005930662155151,0.0001,180
-59.37419,,,,,,,,,,,,,,,
,19,622592,571,1089,,,,,,,,,,,
-61.434128,,,,,0.0,-0.0002092171875119675,943329.800390625,0.2,0.0,468066.125,-5.677230431139469,0.00027977285,1.0001589059829712,0.0001,190
-57.683426,,,,,,,,,,,,,,,
,20,655360,600,1090,,,,,,,,,,,
-58.905273,,,,,7.152557373046875e-07,-0.00040287468436872587,856880.6669921875,0.2,0.0,414015.59375,-5.676694525778293,0.000319216,1.0003361701965332,0.0001,200
-57.19731,,,,,,,,,,,,,,,
,21,688128,630,1091,,,,,,,,,,,
-50.105736,,,,,-7.152557373046875e-07,-0.0005686197393515613,860174.0673828125,0.2,8.544921875e-05,425967.375,-5.676909121870994,0.0010272698,1.0002129077911377,0.0001,210
-57.438858,,,,,,,,,,,,,,,
,22,720896,659,1092,,,,,,,,,,,
-58.23471,,,,,-2.86102294921875e-06,-0.0006585658320545917,786369.61875,0.2,3.35693359375e-05,390556.0,-5.676456639170647,0.00076037715,1.0001485347747803,0.0001,220
-64.014725,,,,,,,,,,,,,,,
,23,753664,689,1092,,,,,,,,,,,
-60.443977,,,,,0.0,-0.0006641897023655474,766423.8302734375,0.2,0.00018310546875,370830.4375,-5.6764664351940155,0.0012323982,1.0002002716064453,0.0001,230
-57.345078,,,,,,,,,,,,,,,
,24,786432,719,1092,,,,,,,,,,,
