time/total_timesteps,rew_vec_envs,time/time_elapsed,time/iterations,time/fps,train/clip_range,train/clip_fraction,train/value_loss,train/loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/std
417792,490.2962226867676,450,17,927,0.2,0.10476888020833333,108.33746855258941,35.76823425292969,-5.193576882282893,0.5823996365070343,0.009777305,0.001,-0.00728530282212887,160,0.8844642639160156
442368,454.81300354003906,477,18,925,0.2,0.11300048828125,96.37680173714956,40.41622543334961,-5.1612005770206455,0.6723045706748962,0.011020559,0.001,-0.009184540002024733,170,0.8765584230422974
466944,457.9057210286458,506,19,921,0.2,0.1165283203125,98.72879795233409,62.92735290527344,-5.123142184813817,0.6398747265338898,0.011851221,0.001,-0.00958355847299875,180,0.869378924369812
491520,535.5216445922852,535,20,918,0.2,0.10224202473958334,172.6013709704081,37.23972702026367,-5.086872375011444,0.6534215211868286,0.011042242,0.001,-0.008244537096470595,190,0.858953595161438
516096,527.1921615600586,565,21,913,0.2,0.11140543619791667,178.43021987279255,67.28616333007812,-5.052459605534872,0.6370362341403961,0.0129687665,0.001,-0.006588906859785008,200,0.8552214503288269
540672,656.2275619506836,593,22,910,0.2,0.11237386067708334,122.0244159857432,18.552146911621094,-5.035278451442719,0.7292249202728271,0.010003377,0.001,-0.00917496789964692,210,0.8511797189712524
565248,611.9085108439127,621,23,909,0.2,0.10556640625,175.06086462338766,35.26243591308594,-5.015658462047577,0.6811516880989075,0.011731234,0.001,-0.007202309335116297,220,0.8471951484680176
589824,537.5610783894857,649,24,908,0.2,0.10755615234375,162.8186995347341,27.542842864990234,-4.993906503915786,0.6531903445720673,0.0093253115,0.001,-0.007289983533943693,230,0.8422456979751587
614400,518.6130015055338,679,25,904,0.2,0.10572102864583334,174.6283298810323,27.327377319335938,-4.970687959591547,0.6541821956634521,0.009752228,0.001,-0.00859225181338843,240,0.8369338512420654
638976,808.8359705607096,708,26,901,0.2,0.12783610026041667,189.95059466362,102.02104187011719,-4.928626896937688,0.688927173614502,0.012797557,0.001,-0.008921671261972127,250,0.8277390003204346
663552,744.0263264973959,737,27,899,0.2,0.10472412109375,332.94542299906414,83.20954132080078,-4.896659443775813,0.5991808176040649,0.011180342,0.001,-0.0079889762380238,260,0.8203616142272949
