time/fps,time/total_timesteps,rew_vec_envs,time/time_elapsed,time/iterations,train/std,train/entropy_loss,train/value_loss,train/clip_fraction,train/approx_kl,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/loss,train/n_updates,train/learning_rate
568,7077888,-4694.910690307617,1728,30,0.28200218081474304,-0.5812233706936241,3185.1909036636353,0.2364837646484375,0.025649685,0.9267843589186668,0.2,-0.010803886802386841,577.3775634765625,2150,0.001
568,7110656,-4692.953109741211,1787,31,0.28276339173316956,-0.5858059912919998,2997.9481808662413,0.2327606201171875,0.023923349,0.9327662959694862,0.2,-0.012050178342542494,544.4203491210938,2160,0.001
568,7143424,-4631.661682128906,1844,32,0.28159379959106445,-0.5833889670670033,3384.3673112869265,0.2309112548828125,0.024602659,0.928775891661644,0.2,-0.012358041788684205,725.345703125,2170,0.001
568,7176192,-4596.055358886719,1901,33,0.27989718317985535,-0.5570054920390248,3178.2195712089538,0.242822265625,0.024257986,0.9211118072271347,0.2,-0.011120528259925776,680.7383422851562,2180,0.001
568,7208960,-4602.844833374023,1958,34,0.2784506678581238,-0.5368657216429711,3206.3610347747804,0.2389739990234375,0.024483323,0.9254007264971733,0.2,-0.011269182780779374,631.863037109375,2190,0.001
567,7241728,-4466.667129516602,2020,35,0.277311772108078,-0.521188304387033,3087.211542224884,0.23917236328125,0.026337637,0.9319739788770676,0.2,-0.010785816688439809,567.0492553710938,2200,0.001
567,7274496,-4454.877151489258,2079,36,0.27694472670555115,-0.5098056266084313,3797.4037103652954,0.216522216796875,0.022738669,0.921194463968277,0.2,-0.01215133041187073,689.9008178710938,2210,0.001
565,7307264,-4692.333984375,2144,37,0.2762698531150818,-0.5011893814429641,3344.166264343262,0.2183502197265625,0.021857701,0.9247965216636658,0.2,-0.011316909985907841,731.8721313476562,2220,0.001
563,7340032,-4744.8089599609375,2210,38,0.27479371428489685,-0.48434431459754707,3106.2852029800415,0.2444000244140625,0.025143206,0.9329860731959343,0.2,-0.010630686057265849,624.9625244140625,2230,0.001
561,7372800,-4588.929718017578,2274,39,0.2745467722415924,-0.4730386458337307,3802.1245723724364,0.2289337158203125,0.023478054,0.9177984148263931,0.2,-0.011506566750904312,897.547607421875,2240,0.001
