agent_id,elapsed_time,rew_closing_distance,rew_engaging_enemy,rew_speed_magnitude,rew_near_engagement,acc_rewards,vel_angles,approaching,chasing,in_range,current_term,info[downed],info[exploded_target],info[exploded_ally],info[crashes],info[ally_collision],info[mission_complete],info[out_of_bounds],info[timeover]
10,3.1416666666666666,0.0,0.0,5.465551816146021,0.0,3608.4376606870583,1.5716560580453587,1,0,0,0,0,0,0,0,0,0,0,0
11,3.1416666666666666,0.030086608152443794,1.9137249100582991,8.482935536251917,0.0,4756.867223592881,1.5676234260380761,1,1,0,0,0,0,0,0,0,0,0,0
12,3.1416666666666666,0.03405394151781582,1.9132022243839226,6.588597760118179,0.0,4556.37560696705,1.5680516997966805,1,1,0,0,0,0,0,0,0,0,0,0
14,3.1416666666666666,0.016915181050354278,1.9114750203862159,1.3566914604357885,0.0,2989.534040535163,1.5694685873498082,1,1,0,0,0,0,0,0,0,0,0,0
15,3.1416666666666666,0.0,0.0,0.0,0.0,1374.7278153980833,1.5705429979207837,0,1,0,0,0,0,0,0,0,0,0,0
16,3.1416666666666666,0.037120745617778894,1.9130887606399998,10.072777853418346,0.0,3919.9653645563008,1.5681446996721615,1,1,0,0,0,0,0,0,0,0,0,0
17,3.1416666666666666,0.0,0.0,16.79385618812067,0.0,4672.54152396983,1.574574000508963,1,0,0,0,0,0,0,0,0,0,0,0
18,3.1416666666666666,0.021866191071774566,1.9099213201256642,6.987358865964031,0.0,4226.839433781977,1.5707453330080705,1,1,0,0,0,0,0,0,0,0,0,0
0,3.15,0.010454928135203434,1.910465854954577,2.4356834645979104,0.0,3433.5202048077554,1.5702976277853067,1,1,1,0,0,0,0,0,0,0,0,0
1,3.15,0.0,0.0,6.976901323807966,0.0,5047.209764968901,1.5708817441499512,1,0,0,0,0,0,0,0,0,0,0,0
2,3.15,0.012586158817497584,1.9106007119487012,1.3003004240472853,0.0,1641.1599489941927,1.5701867905932974,1,1,0,0,0,0,0,0,0,0,0,0
3,3.15,0.0,0.0,6.818422668987802,0.0,4134.999984052606,1.570832343275163,1,0,0,0,0,0,0,0,0,0,0,0
4,3.15,0.0060147879745491295,1.910326090626261,1.1497142646007708,0.0,1755.6563588651786,1.570412514764174,1,1,0,0,0,0,0,0,0,0,0,0
5,3.15,0.0,0.0,11.083995040012171,0.0,3015.997986012078,1.5721161564872586,1,0,0,0,0,0,0,0,0,0,0,0
6,3.15,0.005005678905355637,1.9104577853465037,1.863621514619383,0.0,1975.8465399463435,1.570304260586362,1,1,0,0,0,0,0,0,0,0,0,0
