time/total_timesteps,time/iterations,time/time_elapsed,rew_vec_envs,time/fps,train/loss,train/clip_range,train/policy_gradient_loss,train/std,train/learning_rate,train/entropy_loss,train/clip_fraction,train/n_updates,train/value_loss,train/approx_kl,train/explained_variance
491520,15,818,16.580859124660492,600,0.3780696988105774,0.2,-0.011961126905225683,0.9000900387763977,0.001,-5.261357694119215,0.26717529296875,140,2.2154578962828966,0.030065095,0.13776355981826782
524288,16,869,17.191393971443176,603,0.4837513267993927,0.2,-0.009052426040580031,0.8922047019004822,0.001,-5.233502998948097,0.277880859375,150,32.65870308401063,0.026894953,0.022815823554992676
557056,17,922,17.353572189807892,603,0.25302720069885254,0.2,-0.011510107121648617,0.8866180181503296,0.001,-5.198254020512104,0.294390869140625,160,1.0790160899516195,0.03318636,0.17040282487869263
589824,18,975,16.039242446422577,604,88.64398193359375,0.2,-0.007008187673636712,0.8824905753135681,0.001,-5.184672749787569,0.28629150390625,170,518.0827577289194,0.024240628,0.023183107376098633
622592,19,1032,18.873013734817505,603,8.09404468536377,0.2,-0.007411621311621275,0.8755901455879211,0.001,-5.157726433873177,0.2007232666015625,180,9.729527394473553,0.01924495,0.562389999628067
655360,20,1085,5.8330798745155334,603,0.41953203082084656,0.2,-0.01142817701693275,0.8696669340133667,0.001,-5.122347804158926,0.282525634765625,190,65.16897982740775,0.02435413,0.05429118871688843
688128,21,1139,18.80401784181595,603,0.24660535156726837,0.2,-0.010968893922836287,0.8647246360778809,0.001,-5.109649229794741,0.3588653564453125,200,2.7781891874037683,0.0423578,0.5317886173725128
720896,22,1199,17.344857096672058,600,0.3350422978401184,0.2,-0.00854389757332683,0.8568055629730225,0.001,-5.079387900233269,0.3765167236328125,210,35.45142771117389,0.03886779,0.48179304599761963
753664,23,1253,18.401287615299225,601,0.537129282951355,0.2,-0.009038077963487013,0.8514994382858276,0.001,-5.03841103464365,0.2865753173828125,220,455.65584047436715,0.032244783,-0.012582063674926758
786432,24,1308,17.841424643993378,601,0.3716234266757965,0.2,-0.017897307359817205,0.8425666093826294,0.001,-4.996276158839464,0.378570556640625,230,1.2677667637821286,0.047446687,0.35480278730392456
819200,25,1363,19.272297382354736,600,0.7722774147987366,0.2,-0.004506758154093404,0.8386381268501282,0.001,-4.983752922713757,0.3325897216796875,240,630.1009117107839,0.030455673,0.03265798091888428
851968,26,1431,19.06736820936203,595,2194.9169921875,0.2,-0.005530473478938802,0.8315664529800415,0.001,-4.952629815787077,0.1905426025390625,250,1783.9713372537867,0.015232245,0.26315510272979736
884736,27,1486,12.65608885884285,595,0.587960958480835,0.2,-0.012484251188652706,0.8224860429763794,0.001,-4.921319665014744,0.3531402587890625,260,3.8165455924347045,0.04692236,-0.07760357856750488
917504,28,1552,26.07395100593567,590,1.010292649269104,0.2,-0.013006208736987901,0.8147892355918884,0.001,-4.868505708873272,0.360455322265625,270,5.190372148528695,0.045338962,0.5824353694915771
950272,29,1618,25.86324891448021,587,1.069589376449585,0.2,-0.007826761842443375,0.8133372068405151,0.001,-4.864747361838818,0.35992431640625,280,18.652514658682048,0.046208486,0.26329076290130615
983040,30,1674,16.7942573428154,587,0.5517105460166931,0.2,-0.019206191902048884,0.8062801957130432,0.001,-4.835947148501873,0.43443603515625,290,1.7878578566014767,0.058858283,0.7072314023971558
1015808,31,1731,31.68108558654785,586,153.53440856933594,0.2,-0.005056667599274078,0.7983061075210571,0.001,-4.788515968620777,0.2831207275390625,300,1344.5329031884671,0.02143316,0.04875898361206055
1048576,32,1787,19.80689764022827,586,5.915525436401367,0.2,-0.010312178568710806,0.7896084189414978,0.001,-4.74907038807869,0.22161865234375,310,72.66465327776969,0.027348265,0.5441950261592865
