time/total_timesteps,rew_vec_envs,time/iterations,time/time_elapsed,time/fps,train/entropy_loss,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/loss,train/n_updates,train/value_loss,train/clip_range,train/std,train/explained_variance
1507328,421.26659393310547,46,1756,857,-4.233584642410278,0.001,0.0105557665,-0.008298125664441613,0.1249969482421875,245.7136993408203,450,630.0389436721802,0.2,0.7002699375152588,0.38261979818344116
1540096,398.97221994400024,47,1804,853,-4.209250937402248,0.001,0.012003713,-0.009068199932517017,0.132281494140625,149.11239624023438,460,621.4145565032959,0.2,0.6951271295547485,0.3438282012939453
1572864,283.03012466430664,48,1848,850,-4.174225544929504,0.001,0.011011295,-0.008132877960451878,0.1244476318359375,171.089599609375,470,597.26157746315,0.2,0.6876211762428284,0.4391963481903076
1605632,354.1764211654663,49,1895,847,-4.114781433343888,0.001,0.012974454,-0.00903709653430269,0.1401153564453125,268.7029113769531,480,540.0219129085541,0.2,0.6794964075088501,0.47002702951431274
1638400,377.33048248291016,50,1943,843,-4.0845483765006065,0.001,0.010778388,-0.008267955707560759,0.1350860595703125,197.7251739501953,490,565.0368693828583,0.2,0.6742643117904663,0.42125624418258667
1671168,362.11177492141724,51,1988,840,-4.043651594221592,0.001,0.013584058,-0.009124433096440043,0.138604736328125,175.32901000976562,500,584.8599159240723,0.2,0.6679474115371704,0.3309498429298401
1703936,457.85463762283325,52,2034,837,-4.0093182571232315,0.001,0.012582463,-0.008329090037295827,0.1346710205078125,279.5973815917969,510,552.0412521839141,0.2,0.661162257194519,0.429395854473114
1736704,435.12206840515137,53,2083,833,-3.969590612500906,0.001,0.010846375,-0.008945119752024767,0.132757568359375,186.8706817626953,520,600.7171524524689,0.2,0.6551696062088013,0.39818209409713745
1769472,399.45482444763184,54,2130,830,-3.961154938489199,0.001,0.013855572,-0.007973972041509115,0.1234954833984375,135.74290466308594,530,569.4881135940552,0.2,0.6547068357467651,0.41188275814056396
1802240,403.94953966140747,55,2174,828,-3.9551356703042986,0.001,0.0113858,-0.008579126129916403,0.1199127197265625,165.0226593017578,540,567.2934880256653,0.2,0.6532235145568848,0.40890419483184814
1835008,393.2466881275177,56,2220,826,-3.9279974952340124,0.001,0.011341886,-0.007945214580831816,0.1188201904296875,154.5128936767578,550,543.9830593109131,0.2,0.6484673023223877,0.45731955766677856
1867776,384.75019550323486,57,2265,824,-3.8977283991873266,0.001,0.011204356,-0.00903497298604634,0.1208648681640625,261.4955749511719,560,520.1964710712433,0.2,0.6431487798690796,0.44470059871673584
1900544,422.20388412475586,58,2312,822,-3.868522363901138,0.001,0.010153243,-0.0075260722158418504,0.118896484375,112.88711547851562,570,575.7514389038085,0.2,0.6389226913452148,0.40871065855026245
