time/total_timesteps,time/fps,rew_vec_envs,time/iterations,time/time_elapsed,train/clip_range,train/explained_variance,train/std,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/learning_rate,train/n_updates,train/loss
1179648,926,-5048.454193115234,36,1273,0.2,0.6971836388111115,0.8427090048789978,-4.9991555735468864,0.0047490615,-0.003796149567097018,0.03582763671875,8331.669240379333,0.001,350,991.4200439453125
1212416,925,-5005.866668701172,37,1310,0.2,0.6713599562644958,0.8346904516220093,-4.970146791636944,0.0058423653,-0.00407391961562098,0.035003662109375,7823.071031188965,0.001,360,2007.76025390625
1245184,924,-5142.361480712891,38,1347,0.2,0.7073050439357758,0.8299961090087891,-4.938381087779999,0.0040538996,-0.0028116480803873855,0.02130126953125,9189.969248962403,0.001,370,1653.2545166015625
1277952,923,-5028.23405456543,39,1383,0.2,0.7526611685752869,0.8184158802032471,-4.896902906149625,0.005389728,-0.0036797094991925404,0.031842041015625,6133.1047830581665,0.001,380,800.1376342773438
1310720,922,-5036.271881103516,40,1421,0.2,0.7714286595582962,0.8116610050201416,-4.852985674887895,0.0053683403,-0.003317218208030681,0.031707763671875,6050.557053375244,0.001,390,830.764892578125
1343488,920,-5164.6513671875,41,1459,0.2,0.7695112079381943,0.8053497672080994,-4.8188467040658,0.004647637,-0.0034341233447776178,0.0353515625,5458.960951805115,0.001,400,944.8163452148438
1376256,919,-5171.822509765625,42,1497,0.2,0.7897440940141678,0.7994763851165771,-4.789853198826313,0.0052407132,-0.004607082367147086,0.0421783447265625,4900.853453826904,0.001,410,994.6988525390625
1409024,917,-4971.09895324707,43,1535,0.2,0.7532617300748825,0.7925811409950256,-4.75584569349885,0.0057764146,-0.004396775086934213,0.0476776123046875,6080.860468673706,0.001,420,1005.6525268554688
1441792,915,-5033.422454833984,44,1575,0.2,0.844878077507019,0.7831287980079651,-4.710500235110521,0.0063858163,-0.004675804023281671,0.053167724609375,3699.790941429138,0.001,430,681.252197265625
1474560,912,-5195.927459716797,45,1615,0.2,0.8132605850696564,0.7739244699478149,-4.663133078068495,0.006296112,-0.004167154998503975,0.0509307861328125,4897.805211257934,0.001,440,694.4545288085938
1507328,909,-5229.509002685547,46,1657,0.2,0.808008536696434,0.7636253237724304,-4.605850181728601,0.0067293043,-0.004480711587893893,0.058221435546875,6228.76108417511,0.001,450,670.32666015625
1540096,906,-5084.7183837890625,47,1698,0.2,0.8670079261064529,0.7547054290771484,-4.555453345924616,0.006730836,-0.005554661299174768,0.05401611328125,4036.4791184425353,0.001,460,573.0670776367188
1572864,903,-4983.895660400391,48,1740,0.2,0.887153685092926,0.7448011636734009,-4.499939221143722,0.007388676,-0.006354880849903566,0.0712677001953125,3174.3028017044066,0.001,470,442.39373779296875
