time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rew_vec_envs,train/clip_range,train/learning_rate,train/n_updates,train/entropy_loss,train/std,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/loss,train/value_loss,train/explained_variance
532,18,294912,554,176.73745274543762,0.2,0.0001,170,-5.4642813194543125,0.9488652944564819,0.102691650390625,-0.002959363386526093,0.007911671,2.2399895191192627,18.721803847979753,0.48541390895843506
563,19,311296,552,126.7425184249878,0.2,0.0001,180,-5.461592485010624,0.9480542540550232,0.057830810546875,-0.0018778251000185265,0.005717998,10.483786582946777,451.6028587259352,0.1706777811050415
594,20,327680,551,51.85253095626831,0.2,0.0001,190,-5.458580583706498,0.9479682445526123,0.08258056640625,-0.0022105017303147177,0.00803734,7.045527935028076,147.44668845012785,0.5103686153888702
624,21,344064,550,135.7823600769043,0.2,0.0001,200,-5.458581701666117,0.9486729502677917,0.110638427734375,-0.0016072559068561532,0.009571491,2.56976056098938,153.29216323569418,0.2854229807853699
655,22,360448,550,51.169305086135864,0.2,0.0001,210,-5.464473466947675,0.9494474530220032,0.076422119140625,-0.0007359094626735896,0.0076172445,7.719273567199707,179.26261937730015,0.2813006639480591
686,23,376832,549,45.99402379989624,0.2,0.0001,220,-5.456998256966472,0.947016716003418,0.1124755859375,-0.0017074972460250138,0.009348322,3.4155259132385254,135.84837989136577,0.3925619125366211
716,24,393216,548,99.29441785812378,0.2,0.0001,230,-5.459039303287864,0.949235737323761,0.0774169921875,-0.0019634349062471303,0.006418651,3.1568944454193115,59.45686237961054,0.6392568945884705
747,25,409600,547,51.352853298187256,0.2,0.0001,240,-5.472343289479613,0.9513183832168579,0.114190673828125,-0.00129373057243356,0.0089041125,6.821735382080078,58.310933616757396,0.5831174552440643
779,26,425984,546,124.16736197471619,0.2,0.0001,250,-5.4734175384044645,0.9516967535018921,0.042303466796875,-0.0015309160256038012,0.0054257894,27.192974090576172,753.7611491017044,0.16681277751922607
810,27,442368,545,48.83317685127258,0.2,0.0001,260,-5.476913599669933,0.9521014094352722,0.056622314453125,-0.0004496183558330813,0.006071065,34.42430114746094,412.0045797940344,0.45507848262786865
842,28,458752,544,70.89073944091797,0.2,0.0001,270,-5.473278819769621,0.9499493837356567,0.058404541015625,-0.0015349972908552446,0.0061898697,12.338542938232422,268.74720937758684,0.5120460987091064
872,29,475136,544,64.74880409240723,0.2,0.0001,280,-5.466156106069684,0.9497425556182861,0.0794189453125,-0.001470369755043066,0.0077995732,8.268245697021484,107.41180971972645,0.6794666349887848
904,30,491520,543,58.18403625488281,0.2,0.0001,290,-5.462743590399623,0.9482272863388062,0.0936279296875,-0.0007940571817925957,0.007733901,19.80296516418457,516.6014552228153,0.33299267292022705
935,31,507904,543,65.54283809661865,0.2,0.0001,300,-5.466745341196656,0.9507895708084106,0.074261474609375,-0.002636907731539395,0.007912032,14.831700325012207,610.5893231384456,0.46687382459640503
966,32,524288,542,62.75274705886841,0.2,0.0001,310,-5.474341456219554,0.9517496824264526,0.077508544921875,0.0003381415996500436,0.0074356487,10.451732635498047,244.07767750993372,0.5301800668239594
997,33,540672,542,61.98983716964722,0.2,0.0001,320,-5.478773938864469,0.9528483748435974,0.07947998046875,-0.0010171099040235277,0.0076633804,69.91033172607422,561.2643724091351,0.4368997812271118
1028,34,557056,541,164.667799949646,0.2,0.0001,330,-5.468184206262231,0.9476863145828247,0.103167724609375,-0.0009545960669129272,0.0080008805,1730.4833984375,485.1328374363482,0.3567007780075073
1059,35,573440,541,142.9811954498291,0.2,0.0001,340,-5.451412642747163,0.9445390105247498,0.060943603515625,-0.0018928512163256528,0.0059624296,29.21731948852539,855.9576647862792,0.30858612060546875
1090,36,589824,540,155.40118646621704,0.2,0.0001,350,-5.442181560397148,0.9431295394897461,0.034075927734375,-0.001428122001925658,0.0053878217,1050.4273681640625,826.6664115518331,0.4102533459663391
