time/fps,rew_vec_envs,time/iterations,time/time_elapsed,time/total_timesteps,train/explained_variance,train/approx_kl,train/std,train/loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_range,train/entropy_loss,train/value_loss,train/clip_fraction
774,349.7546372413635,11,465,1409024,0.7870559841394424,0.02649611,0.6975376605987549,44.55596160888672,-0.015459567797734053,420,0.001,0.2,-4.2332717925310135,468.3172058224678,0.22156982421875
772,355.26915580034256,12,509,1441792,0.7752988487482071,0.025356485,0.688196063041687,78.66909790039062,-0.015827096106659156,430,0.001,0.2,-4.187949255108833,507.26415276527405,0.208056640625
771,600.259036064148,13,551,1474560,0.8096423298120499,0.028032765,0.6821776628494263,64.40150451660156,-0.015428575139230816,440,0.001,0.2,-4.144544773548842,489.16250705718994,0.2314300537109375
773,372.2123143672943,14,593,1507328,0.8113722056150436,0.02676756,0.6760996580123901,75.90665435791016,-0.014081937658193055,450,0.001,0.2,-4.111999928206205,446.2900645136833,0.236065673828125
773,346.67194175720215,15,635,1540096,0.8022182136774063,0.027274828,0.6706998348236084,76.0611572265625,-0.015298405615612864,460,0.001,0.2,-4.0810118727386,450.20498510599134,0.237591552734375
773,420.67965626716614,16,678,1572864,0.7749546319246292,0.027026944,0.6648262739181519,67.60350036621094,-0.015984146564369438,470,0.001,0.2,-4.046504957973957,501.47800904512405,0.22889404296875
771,484.2342405319214,17,722,1605632,0.7806599736213684,0.032939408,0.6600120067596436,54.4805793762207,-0.014509866553999018,480,0.001,0.2,-4.012004032731056,483.8485424160957,0.2547332763671875
770,449.01518154144287,18,765,1638400,0.7771237343549728,0.029885786,0.6573354601860046,57.77277374267578,-0.015902310632736772,490,0.001,0.2,-3.9977355509996415,514.9867119312287,0.2431640625
768,293.8828556537628,19,809,1671168,0.7666522711515427,0.028365802,0.6520887613296509,50.949790954589844,-0.015737839388748398,500,0.001,0.2,-3.9659133099019526,501.93243485689163,0.2421478271484375
767,324.85722613334656,20,853,1703936,0.8002976775169373,0.036779646,0.6464009284973145,46.923500061035156,-0.016923048259923235,510,0.001,0.2,-3.9403229925781487,429.8707502603531,0.2723419189453125
765,317.84650111198425,21,898,1736704,0.8046055287122726,0.034370616,0.6449337005615234,47.22146224975586,-0.016189809680327016,520,0.001,0.2,-3.910354769229889,439.90308263301847,0.265728759765625
763,529.1719832420349,22,943,1769472,0.7475879192352295,0.0325492,0.6393762826919556,63.23661804199219,-0.014926212070713518,530,0.001,0.2,-3.8858997035771607,513.4964873194695,0.2587738037109375
761,412.0163161754608,23,989,1802240,0.7893511801958084,0.032236464,0.6351674199104309,49.50617218017578,-0.016335180849273455,540,0.001,0.2,-3.8518960744142534,446.34681224823,0.2659271240234375
