rewards2,rewards1,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/entropy_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/std,train/policy_gradient_loss,train/loss,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance
0.5004085,0.59160554,,,,,,,,,,,,,,,
0.4949601,0.5976198,,,,,,,,,,,,,,,
0.48921713,0.59175706,,,,,,,,,,,,,,,
0.484159,0.59466165,,,,,,,,,,,,,,,
0.4778466,0.59510344,,,,,,,,,,,,,,,
0.44592676,0.59207016,,,,,,,,,,,,,,,
0.42509222,0.5879525,,,,,,,,,,,,,,,
0.44139647,0.58345866,,,,,,,,,,,,,,,
0.43291408,0.5597656,,,,,,,,,,,,,,,
0.4086194,0.5542511,,,,,,,,,,,,,,,
0.4389141,0.5440104,,,,,,,,,,,,,,,
0.4492002,0.55218685,,,,,,,,,,,,,,,
0.44638535,0.5562583,,,,,,,,,,,,,,,
0.4415993,0.57102257,,,,,,,,,,,,,,,
0.44993836,0.5714232,,,,,,,,,,,,,,,
0.46086097,0.55412346,,,,,,,,,,,,,,,
0.45025423,0.5502901,,,,,,,,,,,,,,,
0.46009466,0.5479685,,,,,,,,,,,,,,,
0.4455214,0.5348741,,,,,,,,,,,,,,,
0.45155635,0.55179435,,,,,,,,,,,,,,,
0.44627014,0.5471888,,,,,,,,,,,,,,,
0.44575912,0.5384759,,,,,,,,,,,,,,,
0.44197056,0.5343419,,,,,,,,,,,,,,,
0.4170859,0.7404987,,,,,,,,,,,,,,,
0.39763874,0.7628913,,,,,,,,,,,,,,,
0.37430483,0.756086,,,,,,,,,,,,,,,
0.3704607,0.7425134,,,,,,,,,,,,,,,
0.35277992,0.7263751,,,,,,,,,,,,,,,
0.36304355,0.7232848,,,,,,,,,,,,,,,
0.36969578,0.7242357,,,,,,,,,,,,,,,
0.35530406,0.7158812,,,,,,,,,,,,,,,
0.37057674,0.69172513,,,,,,,,,,,,,,,
0.3777597,0.684941,,,,,,,,,,,,,,,
0.39177558,0.6958753,,,,,,,,,,,,,,,
0.37765872,0.68186927,,,,,,,,,,,,,,,
0.36571673,0.7245762,,,,,,,,,,,,,,,
0.3858751,0.7279068,,,,,,,,,,,,,,,
0.35851836,0.7108288,,,,,,,,,,,,,,,
0.3675561,0.7121251,,,,,,,,,,,,,,,
0.335584,0.71687436,,,,,,,,,,,,,,,
0.36317104,0.72574973,,,,,,,,,,,,,,,
0.3518419,0.7513764,,,,,,,,,,,,,,,
0.36233982,0.7612919,,,,,,,,,,,,,,,
0.36374974,0.7716664,,,,,,,,,,,,,,,
0.36987332,0.7883903,,,,,,,,,,,,,,,
0.37247735,0.8080004,,,,,,,,,,,,,,,
0.3775181,0.84944665,,,,,,,,,,,,,,,
0.38236523,0.84376293,,,,,,,,,,,,,,,
0.37867847,0.8554721,,,,,,,,,,,,,,,
0.37689292,0.86223435,,,,,,,,,,,,,,,
0.38076612,0.8613685,,,,,,,,,,,,,,,
0.3788111,0.8551591,,,,,,,,,,,,,,,
0.35460195,0.85920477,,,,,,,,,,,,,,,
0.9378228,0.5517893,,,,,,,,,,,,,,,
0.99675506,0.540382,,,,,,,,,,,,,,,
1.1157694,0.5002528,,,,,,,,,,,,,,,
1.1135147,0.46868,,,,,,,,,,,,,,,
1.2253933,0.45350817,,,,,,,,,,,,,,,
1.233988,0.450133,,,,,,,,,,,,,,,
1.2535145,0.4172486,,,,,,,,,,,,,,,
1.2369113,0.44915375,,,,,,,,,,,,,,,
1.252104,0.45672828,,,,,,,,,,,,,,,
1.2631748,0.44992375,,,,,,,,,,,,,,,
1.2500856,0.46381834,,,,,,,,,,,,,,,
1.2400122,0.44934428,,,,,,,,,,,,,,,
1.1990247,0.4653327,,,,,,,,,,,,,,,
1.1855638,0.4669859,,,,,,,,,,,,,,,
1.1737531,0.46308935,,,,,,,,,,,,,,,
1.1616794,0.4624222,,,,,,,,,,,,,,,
1.2219237,0.4433935,,,,,,,,,,,,,,,
1.1825062,0.43463272,,,,,,,,,,,,,,,
1.1604598,0.4204962,,,,,,,,,,,,,,,
1.1712973,0.45766178,,,,,,,,,,,,,,,
1.1682283,0.48392582,,,,,,,,,,,,,,,
1.1502447,0.44144374,,,,,,,,,,,,,,,
1.1732554,0.47177517,,,,,,,,,,,,,,,
1.1746446,0.46566147,,,,,,,,,,,,,,,
1.1541537,0.5006623,,,,,,,,,,,,,,,
1.20308,0.46701342,,,,,,,,,,,,,,,
1.2297639,0.45939517,,,,,,,,,,,,,,,
1.2905506,0.4668119,,,,,,,,,,,,,,,
1.2705138,0.49095663,,,,,,,,,,,,,,,
1.2588131,0.46244603,,,,,,,,,,,,,,,
1.2761179,0.46464664,,,,,,,,,,,,,,,
0.3880553,0.4198414,,,,,,,,,,,,,,,
0.39051887,0.40878102,,,,,,,,,,,,,,,
0.3827598,0.34937114,,,,,,,,,,,,,,,
0.37676388,0.33337113,,,,,,,,,,,,,,,
0.40283036,0.33050007,,,,,,,,,,,,,,,
0.39174965,0.30673864,,,,,,,,,,,,,,,
0.35735458,0.33709794,,,,,,,,,,,,,,,
0.35341835,0.29217505,,,,,,,,,,,,,,,
0.36279798,0.292609,,,,,,,,,,,,,,,
0.33460543,0.3134135,,,,,,,,,,,,,,,
0.35849074,0.3120307,,,,,,,,,,,,,,,
0.33539945,0.3155633,,,,,,,,,,,,,,,
0.35539466,0.3202177,,,,,,,,,,,,,,,
0.36630267,0.33274576,,,,,,,,,,,,,,,
0.3586749,0.36013377,,,,,,,,,,,,,,,
0.367419,0.32878855,,,,,,,,,,,,,,,
0.35074678,0.33473718,,,,,,,,,,,,,,,
0.3594853,0.33155727,,,,,,,,,,,,,,,
0.35794863,0.33828917,,,,,,,,,,,,,,,
0.3592408,0.3361052,,,,,,,,,,,,,,,
0.34133482,0.3569041,,,,,,,,,,,,,,,
0.34980455,0.34143263,,,,,,,,,,,,,,,
0.35705402,0.33846292,,,,,,,,,,,,,,,
0.35004744,0.34524792,,,,,,,,,,,,,,,
0.32844657,0.32481807,,,,,,,,,,,,,,,
0.358316,0.3256743,,,,,,,,,,,,,,,
0.33467773,0.33096766,,,,,,,,,,,,,,,
0.33895874,0.31816775,,,,,,,,,,,,,,,
0.35217118,0.3154581,,,,,,,,,,,,,,,
0.35139325,0.32789442,,,,,,,,,,,,,,,
0.0,0.0,,,,,,,,,,,,,,,
0.8448637,1.227999,,,,,,,,,,,,,,,
0.9128554,1.2927784,,,,,,,,,,,,,,,
0.9244695,1.2588905,,,,,,,,,,,,,,,
0.9477979,1.2163079,,,,,,,,,,,,,,,
0.9566542,1.1590044,,,,,,,,,,,,,,,
0.9713666,1.2083155,,,,,,,,,,,,,,,
0.9691367,1.1267343,,,,,,,,,,,,,,,
0.97336936,1.1164509,,,,,,,,,,,,,,,
0.8978753,1.1294785,,,,,,,,,,,,,,,
0.8829494,1.0594338,,,,,,,,,,,,,,,
0.84508145,1.0090448,,,,,,,,,,,,,,,
0.8501953,1.0303513,,,,,,,,,,,,,,,
0.8477098,0.97593164,,,,,,,,,,,,,,,
0.86503476,0.98986584,,,,,,,,,,,,,,,
0.86562556,0.94085044,,,,,,,,,,,,,,,
0.8799353,0.9258717,,,,,,,,,,,,,,,
0.9087706,0.8734216,,,,,,,,,,,,,,,
0.9050334,0.92071635,,,,,,,,,,,,,,,
0.8907664,0.9347172,,,,,,,,,,,,,,,
0.8919617,0.9020019,,,,,,,,,,,,,,,
0.89645886,0.90942705,,,,,,,,,,,,,,,
0.8783334,0.9387874,,,,,,,,,,,,,,,
0.8688411,0.9114694,,,,,,,,,,,,,,,
0.8532277,0.91163105,,,,,,,,,,,,,,,
0.8512757,0.90499073,,,,,,,,,,,,,,,
0.8552147,0.8732448,,,,,,,,,,,,,,,
0.85174334,0.88730484,,,,,,,,,,,,,,,
0.8157131,0.8675323,,,,,,,,,,,,,,,
0.84481776,0.833193,,,,,,,,,,,,,,,
0.8343308,0.8532185,,,,,,,,,,,,,,,
0.88402253,0.28654137,,,,,,,,,,,,,,,
0.85755193,0.2606232,,,,,,,,,,,,,,,
0.829945,0.2536151,,,,,,,,,,,,,,,
0.81018984,0.25589088,,,,,,,,,,,,,,,
0.77888155,0.28299665,,,,,,,,,,,,,,,
0.79199785,0.2825215,,,,,,,,,,,,,,,
0.79453516,0.28272316,,,,,,,,,,,,,,,
0.8111608,0.28308833,,,,,,,,,,,,,,,
0.7884294,0.30052513,,,,,,,,,,,,,,,
0.7981742,0.32276702,,,,,,,,,,,,,,,
0.79730177,0.31389654,,,,,,,,,,,,,,,
0.79829746,0.30460167,,,,,,,,,,,,,,,
0.7950142,0.28970158,,,,,,,,,,,,,,,
0.7996013,0.2966014,,,,,,,,,,,,,,,
0.79335946,0.29061478,,,,,,,,,,,,,,,
0.8018564,0.29711384,,,,,,,,,,,,,,,
0.8331449,0.30721283,,,,,,,,,,,,,,,
0.8542097,0.33184716,,,,,,,,,,,,,,,
0.85278577,0.31735328,,,,,,,,,,,,,,,
0.8606222,0.33354872,,,,,,,,,,,,,,,
0.86629975,0.31819662,,,,,,,,,,,,,,,
0.8407064,0.31775334,,,,,,,,,,,,,,,
0.8291277,0.31566593,,,,,,,,,,,,,,,
0.82637745,0.3020827,,,,,,,,,,,,,,,
0.81568146,0.30284622,,,,,,,,,,,,,,,
0.80508685,0.30328593,,,,,,,,,,,,,,,
0.814683,0.31466216,,,,,,,,,,,,,,,
0.81138706,0.3074053,,,,,,,,,,,,,,,
0.80588084,0.2978811,,,,,,,,,,,,,,,
0.81216633,0.3126602,,,,,,,,,,,,,,,
0.81168956,0.306104,,,,,,,,,,,,,,,
0.67173994,0.6299845,,,,,,,,,,,,,,,
0.60924625,0.63577604,,,,,,,,,,,,,,,
0.6131243,0.63239014,,,,,,,,,,,,,,,
0.6168219,0.6385627,,,,,,,,,,,,,,,
0.63844556,0.60775167,,,,,,,,,,,,,,,
0.6418066,0.6152751,,,,,,,,,,,,,,,
0.6763037,0.615123,,,,,,,,,,,,,,,
0.6545141,0.6242458,,,,,,,,,,,,,,,
0.6545995,0.62153286,,,,,,,,,,,,,,,
0.6586327,0.59833086,,,,,,,,,,,,,,,
0.65989614,0.59227777,,,,,,,,,,,,,,,
0.65457296,0.60317695,,,,,,,,,,,,,,,
0.64451027,0.5815728,,,,,,,,,,,,,,,
0.65506595,0.54939985,,,,,,,,,,,,,,,
0.6868824,0.5496259,,,,,,,,,,,,,,,
0.6766348,0.5793906,,,,,,,,,,,,,,,
0.6727624,0.5736252,,,,,,,,,,,,,,,
0.6732724,0.5741467,,,,,,,,,,,,,,,
0.6533463,0.5683032,,,,,,,,,,,,,,,
0.6499526,0.5615285,,,,,,,,,,,,,,,
0.66783524,0.56296283,,,,,,,,,,,,,,,
0.666146,0.560716,,,,,,,,,,,,,,,
0.6643319,0.5469282,,,,,,,,,,,,,,,
0.6703114,0.51536995,,,,,,,,,,,,,,,
0.6760636,0.5233005,,,,,,,,,,,,,,,
0.6588973,0.51893663,,,,,,,,,,,,,,,
0.66623867,0.5147565,,,,,,,,,,,,,,,
0.65380275,0.5279197,,,,,,,,,,,,,,,
0.67253596,0.51795995,,,,,,,,,,,,,,,
0.6644724,0.4998716,,,,,,,,,,,,,,,
0.544724,2.1593692,,,,,,,,,,,,,,,
0.58168495,2.0731876,,,,,,,,,,,,,,,
0.355584,2.0064626,,,,,,,,,,,,,,,
0.34800112,1.9240463,,,,,,,,,,,,,,,
0.3420255,1.890482,,,,,,,,,,,,,,,
0.45517665,1.8779665,,,,,,,,,,,,,,,
0.39571014,1.9253374,,,,,,,,,,,,,,,
0.45144895,1.9800094,,,,,,,,,,,,,,,
0.44655454,2.1036396,,,,,,,,,,,,,,,
0.44276214,2.1982958,,,,,,,,,,,,,,,
0.44234467,2.289145,,,,,,,,,,,,,,,
0.44242203,2.4303443,,,,,,,,,,,,,,,
0.4476496,2.4929626,32768,1,74,438,,,,,,,,,,,
0.44701764,2.5547564,,,,,-5.6551384381949905,0.0037994934,0.2,0.020977783203125,0.9912223219871521,-0.0028426022581697907,5.662332534790039,0.0001,10,24.46154753342271,-0.015143871307373047
0.43720248,2.6937675,,,,,,,,,,,,,,,
0.4196388,2.852174,,,,,,,,,,,,,,,
0.43829656,3.0164611,,,,,,,,,,,,,,,
0.43558896,3.2019923,,,,,,,,,,,,,,,
0.43432224,3.3871346,,,,,,,,,,,,,,,
0.43336692,3.6717863,,,,,,,,,,,,,,,
0.43849924,3.6827216,,,,,,,,,,,,,,,
0.43842942,3.5864904,,,,,,,,,,,,,,,
0.4398801,3.4988308,,,,,,,,,,,,,,,
0.46099058,3.235786,,,,,,,,,,,,,,,
0.48362315,3.0543833,,,,,,,,,,,,,,,
0.47616372,2.9405415,,,,,,,,,,,,,,,
0.44936526,2.8882222,,,,,,,,,,,,,,,
0.4530494,2.8732855,,,,,,,,,,,,,,,
0.47963655,2.9242404,,,,,,,,,,,,,,,
0.4604208,2.900906,,,,,,,,,,,,,,,
0.46222308,2.9928014,,,,,,,,,,,,,,,
0.46211186,2.81181,,,,,,,,,,,,,,,
0.44778094,0.39115855,,,,,,,,,,,,,,,
0.4437637,0.39586824,,,,,,,,,,,,,,,
0.41332546,0.40635845,,,,,,,,,,,,,,,
0.40635073,0.39473027,,,,,,,,,,,,,,,
0.41709906,0.39637727,,,,,,,,,,,,,,,
0.41363057,0.39131084,,,,,,,,,,,,,,,
0.39281535,0.3423667,,,,,,,,,,,,,,,
0.37351358,0.3604667,,,,,,,,,,,,,,,
0.3975735,0.34276783,,,,,,,,,,,,,,,
0.38733232,0.3353505,,,,,,,,,,,,,,,
0.38169947,0.35627544,,,,,,,,,,,,,,,
0.37618357,0.359091,,,,,,,,,,,,,,,
0.3773196,0.35506263,,,,,,,,,,,,,,,
0.39039022,0.35323784,,,,,,,,,,,,,,,
0.383652,0.37335414,,,,,,,,,,,,,,,
0.39528412,0.36875913,,,,,,,,,,,,,,,
0.38611004,0.35393944,,,,,,,,,,,,,,,
0.40972647,0.3897949,,,,,,,,,,,,,,,
0.3939444,0.37151274,,,,,,,,,,,,,,,
0.3953169,0.34545383,,,,,,,,,,,,,,,
0.39914227,0.37288216,,,,,,,,,,,,,,,
0.4001916,0.37565228,,,,,,,,,,,,,,,
0.3956347,0.37699503,,,,,,,,,,,,,,,
0.39895362,0.38720635,,,,,,,,,,,,,,,
0.40773594,0.36676574,,,,,,,,,,,,,,,
0.4029647,0.34464756,,,,,,,,,,,,,,,
