time/fps,time/total_timesteps,rew_vec_envs,time/time_elapsed,time/iterations,train/approx_kl,train/n_updates,train/entropy_loss,train/value_loss,train/loss,train/explained_variance,train/clip_range,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/std
722,655360,-30.56909018754959,907,40,0.0004908113,390,-5.667921549081802,13.856174290180206,4.895542144775391,0.5890128314495087,0.2,1e-05,0.0,-0.000762519516138127,0.9980713129043579
722,671744,-45.244943141937256,929,41,0.0005656018,400,-5.668071147799492,48.53378635644913,15.871088027954102,0.4145515561103821,0.2,1e-05,0.00032958984375,-0.001288204713637242,0.9980872273445129
721,688128,-37.76742962002754,953,42,0.001692893,410,-5.668266016244888,7.801918950676918,3.794625759124756,0.7097994387149811,0.2,1e-05,0.0008544921875,-0.0010674166805983987,0.9981809854507446
718,704512,-39.877989411354065,980,43,0.000101097365,420,-5.66859712600708,135.9659054994583,65.80061340332031,0.2211766242980957,0.2,1e-05,0.0,-0.00029785987826471685,0.9982618689537048
713,720896,-36.188093692064285,1010,44,2.6253252e-05,430,-5.668824458122254,104.25570523142815,71.00904846191406,0.2925373315811157,0.2,1e-05,0.0,-0.00014676553619210608,0.9982913732528687
710,737280,-99.370629966259,1037,45,0.0011064876,440,-5.669501826167107,8.032246735692024,4.4386420249938965,0.6802021563053131,0.2,1e-05,0.000335693359375,-0.001233750569917902,0.9986616373062134
708,753664,-49.049859285354614,1063,46,0.00097506633,450,-5.670962226390839,88.77209617495537,19.08632469177246,0.21439433097839355,0.2,1e-05,0.000347900390625,-0.0012342825903033372,0.9989592432975769
706,770048,-24.58196911215782,1089,47,7.039425e-05,460,-5.671826449036598,64.96468197107315,25.990793228149414,0.3752085566520691,0.2,1e-05,0.0,-0.0003011248612892814,0.999093234539032
703,786432,-25.427716553211212,1118,48,5.3795797e-05,470,-5.6722922146320345,84.84914982318878,60.83293151855469,0.34058594703674316,0.2,1e-05,0.0,-0.00022399707086151466,0.9991741180419922
700,802816,-30.067996468394995,1146,49,0.00071527524,480,-5.672634121775627,89.25003848671913,5.472785472869873,0.26855558156967163,0.2,1e-05,0.000115966796875,-0.0007006221809206181,0.9992685317993164
697,819200,-48.48830246925354,1174,50,3.728597e-05,490,-5.672768867015838,142.46999850273133,94.20638275146484,0.28834354877471924,0.2,1e-05,0.0,-0.00017671206514933147,0.9992597699165344
693,835584,-40.557923287153244,1204,51,0.0006224453,500,-5.672881013154983,34.316160237789155,6.461544513702393,0.5750682651996613,0.2,1e-05,1.220703125e-05,-0.0006959750244277529,0.9993323683738708
691,851968,-26.976370006799698,1231,52,0.0016029573,510,-5.673340705037117,13.548047962784768,8.388639450073242,0.6518386900424957,0.2,1e-05,0.000433349609375,-0.001050317541375989,0.9995085000991821
689,868352,-29.91220784187317,1258,53,0.00010129639,520,-5.673888421058654,91.95645678043365,24.32628631591797,0.3401665687561035,0.2,1e-05,0.0,-0.0003800612925260793,0.9995766878128052
