time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rew_vec_envs,train/std,train/learning_rate,train/value_loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/loss,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_fraction
11,360448,551,653,1314.1705894470215,0.9549705982208252,0.001,3185.6447721481322,0.2,-0.005629721402874566,0.0055166394,866.5074462890625,-5.506512049585581,100,0.6933951675891876,0.0384613037109375
12,393216,549,715,1345.7177848815918,0.9473026394844055,0.001,2900.811594200134,0.2,-0.005918973195366562,0.0053766044,966.2265625,-5.47216444760561,110,0.7500831186771393,0.0408355712890625
13,425984,548,776,1486.3642044067383,0.9422736167907715,0.001,2952.513524436951,0.2,-0.005721574155177223,0.004877053,851.5648803710938,-5.444127783179283,120,0.7803409397602081,0.0367431640625
14,458752,546,839,1390.823860168457,0.9287475347518921,0.001,3527.0774711608888,0.2,-0.005736785111366771,0.005580453,789.8472900390625,-5.399189184606075,130,0.7519934773445129,0.039642333984375
15,491520,543,904,1343.7718124389648,0.9201022982597351,0.001,2731.225846862793,0.2,-0.005444285633348045,0.005531503,644.177978515625,-5.353341688960791,140,0.8134941607713699,0.03931884765625
16,524288,541,969,1417.227123260498,0.9106992483139038,0.001,1963.9698031425476,0.2,-0.006444691649812739,0.006882339,685.1192016601562,-5.307662045955658,150,0.859923467040062,0.049969482421875
17,557056,542,1026,1397.1709175109863,0.9054520726203918,0.001,2030.7727929115295,0.2,-0.006645230581489159,0.006565213,603.9769897460938,-5.276688269525766,160,0.8624162524938583,0.05087890625
18,589824,543,1084,1405.8656272888184,0.8959751725196838,0.001,2162.0691241264344,0.2,-0.0068713211807335025,0.0068114037,421.149658203125,-5.2386026054620745,170,0.8422345817089081,0.0550262451171875
19,622592,544,1143,1412.4532508850098,0.8903975486755371,0.001,2354.6935879707335,0.2,-0.0071605437991820505,0.007014191,538.6995849609375,-5.206449390947819,180,0.8571864813566208,0.056488037109375
20,655360,545,1201,1283.0950546264648,0.8797962665557861,0.001,2339.0195268630982,0.2,-0.0065943389938183826,0.006409031,909.556640625,-5.162093158811331,190,0.8449955880641937,0.0491973876953125
21,688128,544,1262,1424.699016571045,0.8728671073913574,0.001,1808.0915794372559,0.2,-0.006420424509997247,0.0063691824,459.34234619140625,-5.122531133890152,200,0.8840265423059464,0.0508026123046875
22,720896,546,1319,1424.2908744812012,0.8683333992958069,0.001,1851.4653864860534,0.2,-0.007126585983496625,0.0063464725,542.7041625976562,-5.099325565248728,210,0.8850927129387856,0.053753662109375
23,753664,547,1377,1517.981632232666,0.8619012832641602,0.001,1526.570798778534,0.2,-0.007419736102019669,0.0074288324,408.1002197265625,-5.069293799251318,220,0.8993436098098755,0.064642333984375
24,786432,547,1435,1601.186393737793,0.8504047393798828,0.001,1525.9420916557312,0.2,-0.008041673375191748,0.008058844,458.30615234375,-5.014723927527666,230,0.9032350182533264,0.070599365234375
25,819200,548,1493,1705.722068786621,0.8444805145263672,0.001,1834.2564476013183,0.2,-0.007149575978110079,0.007312201,397.9712219238281,-4.9814210049808025,240,0.882857196033001,0.0653289794921875
26,851968,549,1551,1592.462459564209,0.8371536731719971,0.001,1480.0787107467652,0.2,-0.007408401730208425,0.007363182,369.5497131347656,-4.942400807887315,250,0.9060213267803192,0.063909912109375
27,884736,549,1609,1568.3849601745605,0.828381359577179,0.001,1928.8740052223206,0.2,-0.0069365689960250165,0.0074241944,397.0907897949219,-4.900231595337391,260,0.8922698572278023,0.0600494384765625
28,917504,549,1669,1507.6015892028809,0.8212562799453735,0.001,1702.3934638023377,0.2,-0.00701654359982058,0.0075907996,423.4580078125,-4.860470465570688,270,0.8996853977441788,0.0616973876953125
29,950272,550,1724,1649.7949104309082,0.8203638792037964,0.001,1770.8672588348388,0.2,-0.008095863142079907,0.007326518,440.4350891113281,-4.845990881323814,280,0.8947381600737572,0.06517333984375
30,983040,552,1780,1686.5486793518066,0.8154476284980774,0.001,1648.2580261230469,0.2,-0.008182722112542251,0.0077759465,399.4413146972656,-4.827559804171324,290,0.9087743908166885,0.0703338623046875
31,1015808,552,1838,1738.87064743042,0.8079590797424316,0.001,2156.8312960624694,0.2,-0.008018537366297096,0.008513566,642.4857177734375,-4.781064280122519,300,0.8954442366957664,0.0713623046875
32,1048576,553,1895,1923.304973602295,0.8022542595863342,0.001,2137.9584175109862,0.2,-0.007841748384089442,0.008255257,444.03375244140625,-4.748152856528759,310,0.8948493003845215,0.070361328125
