rew_vec_envs,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/n_updates,train/loss,train/std,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/entropy_loss,train/clip_fraction,train/clip_range
1.2327023,,,,,4270,42.517494201660156,0.6410651803016663,-0.007299425976452767,120.30549903512001,0.009459814,0.0001,0.7667007148265839,-3.88080862313509,0.1197021484375,0.2
1.1905539,,,,,,,,,,,,,,,
,16,771,11665408,679,,,,,,,,,,,
1.0370593,,,,,4280,270.8962097167969,0.641814649105072,-0.005923361899112934,338.960337805748,0.007944008,0.0001,0.6434031128883362,-3.884248808026314,0.07425537109375,0.2
1.181474,,,,,,,,,,,,,,,
,17,819,11698176,680,,,,,,,,,,,
1.1869779,,,,,4290,78.2281265258789,0.6412494778633118,-0.00334437303172308,296.704841697216,0.0051983334,0.0001,0.6847425103187561,-3.8848566778004168,0.0414154052734375,0.2
1.116287,,,,,,,,,,,,,,,
,18,866,11730944,680,,,,,,,,,,,
1.2382178,,,,,4300,72.5999755859375,0.6402003169059753,-0.004633250887491158,165.42605412006378,0.006824394,0.0001,0.7623409181833267,-3.8783021088689567,0.071832275390625,0.2
1.3199565,,,,,,,,,,,,,,,
,19,915,11763712,680,,,,,,,,,,,
1.2816882,,,,,4310,307.64715576171875,0.6403348445892334,-0.003001293097258895,486.05266789197924,0.0063366825,0.0001,0.5842339396476746,-3.876495732367039,0.0330352783203125,0.2
1.0535915,,,,,,,,,,,,,,,
,20,963,11796480,680,,,,,,,,,,,
1.3284639,,,,,4320,64.24845886230469,0.6397489309310913,-0.002645311255764682,674.8708755016327,0.0049663167,0.0001,0.5465532839298248,-3.8751060232520103,0.0392364501953125,0.2
1.2737482,,,,,,,,,,,,,,,
,21,1012,11829248,679,,,,,,,,,,,
1.0084803,,,,,4330,57.2263069152832,0.6396530866622925,-0.003291044454817893,669.7276562094688,0.005389569,0.0001,0.6033570766448975,-3.8728823620826005,0.044293212890625,0.2
1.0585306,,,,,,,,,,,,,,,
,22,1060,11862016,679,,,,,,,,,,,
1.251472,,,,,4340,71.8176498413086,0.6391519904136658,-0.0037765861121442867,324.2768365621567,0.0058580544,0.0001,0.6022089421749115,-3.8723874151706696,0.061749267578125,0.2
1.389955,,,,,,,,,,,,,,,
,23,1107,11894784,680,,,,,,,,,,,
1.1166363,,,,,4350,170.015625,0.6375035643577576,-0.004227759546847665,330.1729417324066,0.00968962,0.0001,0.4644545912742615,-3.865019429475069,0.084674072265625,0.2
