rew_vec_envs,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/policy_gradient_loss,train/std,train/value_loss,train/clip_range,train/loss,train/entropy_loss,train/n_updates,train/learning_rate,train/clip_fraction,train/approx_kl
0.32728285,,,,,0.8735001683235168,-0.004316907539396198,0.9446736574172974,1.1236999719403684,0.2,0.2923313081264496,-5.44891840070486,730,0.0001,0.0667694091796875,0.007537512
0.25371814,,,,,,,,,,,,,,,
,2424832,354,1110,12,,,,,,,,,,,
0.28343785,,,,,0.37964361906051636,-0.0009980122405977454,0.9445234537124634,146.59324469715358,0.2,8.485017776489258,-5.446528217196464,740,0.0001,0.0408203125,0.0038383552
0.3233638,,,,,,,,,,,,,,,
,2457600,382,1113,13,,,,,,,,,,,
0.26440755,,,,,0.7748845964670181,-0.003543771803379059,0.9440196752548218,1.6519163927063345,0.2,0.27786949276924133,-5.445223511755467,750,0.0001,0.072998046875,0.0073496005
0.24500367,,,,,,,,,,,,,,,
,2490368,411,1115,14,,,,,,,,,,,
0.13464935,,,,,0.7347590029239655,-0.003461634783161571,0.9452157616615295,4.278419697470963,0.2,0.8528139591217041,-5.446692840754986,760,0.0001,0.0489959716796875,0.0056638466
0.26038688,,,,,,,,,,,,,,,
,2523136,440,1116,15,,,,,,,,,,,
0.26690224,,,,,0.09490233659744263,-0.0007229011702293064,0.9442620873451233,743.6832411531359,0.2,244.02993774414062,-5.448187926411629,770,0.0001,0.024530029296875,0.006416055
0.28932667,,,,,,,,,,,,,,,
,2555904,468,1118,16,,,,,,,,,,,
0.28940427,,,,,0.320088267326355,-0.0021360368042223853,0.9437854290008545,131.0667854309082,0.2,9.20991039276123,-5.444862729310989,780,0.0001,0.0257568359375,0.004321901
0.46221545,,,,,,,,,,,,,,,
,2588672,497,1119,17,,,,,,,,,,,
0.2060817,,,,,0.4059255123138428,-0.001001704101508949,0.9436154365539551,294.4595971122384,0.2,23.537370681762695,-5.443364916741848,790,0.0001,0.003216552734375,0.0015807254
0.22380298,,,,,,,,,,,,,,,
,2621440,526,1120,18,,,,,,,,,,,
0.10451241,,,,,0.1495288610458374,-0.001244219419459114,0.9432111978530884,684.341797555238,0.2,108.72708892822266,-5.442384703457355,800,0.0001,0.012847900390625,0.0038646683
0.34123027,,,,,,,,,,,,,,,
,2654208,555,1119,19,,,,,,,,,,,
0.2863732,,,,,0.8743626922369003,-0.0030331720226968173,0.9448071122169495,4.558120098337531,0.2,0.9181807041168213,-5.443537259101868,810,0.0001,0.03292236328125,0.004826621
0.36127958,,,,,,,,,,,,,,,
,2686976,585,1119,20,,,,,,,,,,,
0.41288024,,,,,0.15929275751113892,-0.0011176847929164069,0.9447904825210571,709.2395623743535,0.2,23.780183792114258,-5.448098400235176,820,0.0001,0.0266021728515625,0.0033623623
0.3271399,,,,,,,,,,,,,,,
,2719744,614,1119,21,,,,,,,,,,,
0.35790747,,,,,0.569977879524231,-0.002384563291707309,0.9450055360794067,35.56454496830702,0.2,3.0936439037323,-5.448667420446872,830,0.0001,0.0279266357421875,0.005121271
0.26795807,,,,,,,,,,,,,,,
,2752512,644,1118,22,,,,,,,,,,,
0.34454244,,,,,0.23354315757751465,-0.0008350603238795884,0.9444460868835449,772.9044659256936,0.2,404.82373046875,-5.448348389565945,840,0.0001,0.0184478759765625,0.0041398536
0.5142251,,,,,,,,,,,,,,,
,2785280,674,1117,23,,,,,,,,,,,
0.33341473,,,,,0.18847304582595825,-0.0013800990316667594,0.9451808929443359,662.5730735376477,0.2,17.110864639282227,-5.447919987142086,850,0.0001,0.0232574462890625,0.004659352
0.25926858,,,,,,,,,,,,,,,
,2818048,704,1116,24,,,,,,,,,,,
0.2612494,,,,,0.8456702828407288,-0.004200568799569737,0.9487680196762085,2.866674053110182,0.2,0.4204344153404236,-5.456160062551499,860,0.0001,0.082086181640625,0.007758767
0.3536985,,,,,,,,,,,,,,,
,2850816,734,1115,25,,,,,,,,,,,
0.24974585,,,,,0.564521998167038,-0.0014195002953783843,0.9488523006439209,116.04412145018577,0.2,1.5768928527832031,-5.466106596589088,870,0.0001,0.0441436767578125,0.0058414387
0.19892797,,,,,,,,,,,,,,,
,2883584,764,1114,26,,,,,,,,,,,
0.33205178,,,,,0.1829512119293213,-0.0005624304936645786,0.9484695196151733,1634.5456840068102,0.2,70.54850006103516,-5.464895440638065,880,0.0001,0.0112060546875,0.003549666
0.2696423,,,,,,,,,,,,,,,
,2916352,794,1114,27,,,,,,,,,,,
0.26709,,,,,0.24245232343673706,-0.0018562113706138915,0.9472247362136841,1589.2991677366197,0.2,3334.660400390625,-5.4614985406398775,890,0.0001,0.0285858154296875,0.004700848
0.32926103,,,,,,,,,,,,,,,
,2949120,824,1113,28,,,,,,,,,,,
0.27400777,,,,,0.8642233908176422,-0.002916771011223318,0.9473830461502075,8.481889225542545,0.2,1.8587108850479126,-5.459229862689972,900,0.0001,0.046954345703125,0.0060077547
0.38684714,,,,,,,,,,,,,,,
,2981888,854,1112,29,,,,,,,,,,,
0.2552675,,,,,0.2625380754470825,-0.001223440250760177,0.9485702514648438,1541.8577437855304,0.2,3509.601806640625,-5.46112258285284,910,0.0001,0.0385589599609375,0.0055293767
0.35109013,,,,,,,,,,,,,,,
,3014656,884,1111,30,,,,,,,,,,,
0.47296798,,,,,0.7121778726577759,-0.002088632090453757,0.9473469853401184,107.60416249334813,0.2,2.6995580196380615,-5.462544141709804,920,0.0001,0.035125732421875,0.0047083176
0.3533284,,,,,,,,,,,,,,,
,3047424,914,1110,31,,,,,,,,,,,
