time/time_elapsed,rew_vec_envs,time/total_timesteps,time/fps,time/iterations,train/clip_range,train/loss,train/entropy_loss,train/n_updates,train/clip_fraction,train/std,train/explained_variance,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/learning_rate
346,25.434959888458252,196608,567,12,0.2,0.4439527690410614,-5.536703306809068,110,0.0973388671875,0.9637084007263184,0.6278517544269562,0.008392071,1.4790531311417,-0.003925768139015418,0.0001
376,29.228976249694824,212992,566,13,0.2,7.249866008758545,-5.517688690871,120,0.088397216796875,0.9605716466903687,0.08770167827606201,0.0071004787,32.59413242368028,-0.002197986451756151,0.0001
406,28.785980701446533,229376,564,14,0.2,0.3930657207965851,-5.494188459217549,130,0.106365966796875,0.9534931182861328,0.6752386093139648,0.008422808,1.2079220523359253,-0.0036678084550658243,0.0001
437,31.095420837402344,245760,561,15,0.2,0.5607386827468872,-5.481805333867669,140,0.094580078125,0.9526021480560303,0.6469840407371521,0.00861847,1.7029385081492365,-0.0027193016986529982,0.0001
468,37.0118043422699,262144,559,16,0.2,1.3443984985351562,-5.476392655447126,150,0.086248779296875,0.9516465663909912,0.21570611000061035,0.008658452,46.75304168974981,-0.003127544443395891,0.0001
499,34.919036865234375,278528,558,17,0.2,1.0386189222335815,-5.462257646396756,160,0.09365234375,0.9464123249053955,0.7210510969161987,0.008088913,2.2481457299087197,-0.0017420426539501931,0.0001
530,32.93630504608154,294912,555,18,0.2,1.7308247089385986,-5.445099079981446,170,0.098712158203125,0.9440715312957764,0.7968270629644394,0.008058515,2.169715530099347,-0.0022026788328730618,0.0001
562,37.92581868171692,311296,553,19,0.2,1.0531811714172363,-5.445981990918517,180,0.108648681640625,0.945817232131958,0.6976301670074463,0.008885058,2.2289579382631928,-0.003408477079574368,0.0001
595,35.21470499038696,327680,550,20,0.2,0.5346859693527222,-5.447200412303209,190,0.09613037109375,0.9455074667930603,0.7617334127426147,0.008238836,2.5823077416513116,-0.0024462118359224404,0.0001
627,35.79605054855347,344064,548,21,0.2,0.9615495800971985,-5.441560561582446,200,0.099871826171875,0.9436433911323547,0.7780017107725143,0.009066686,2.476952640293166,-0.003348479451960884,0.0001
658,36.93813514709473,360448,547,22,0.2,0.938991129398346,-5.42277840077877,210,0.102191162109375,0.938103199005127,0.8049643486738205,0.0077612232,2.1605061308480797,-0.0011803053810581332,0.0001
690,39.02566719055176,376832,545,23,0.2,0.8722488880157471,-5.422508070990443,220,0.09241943359375,0.9418504238128662,0.17324143648147583,0.009110962,50.746547548286614,-0.0014631099174039265,0.0001
722,41.99998497962952,393216,544,24,0.2,1.4250179529190063,-5.42483643554151,230,0.092205810546875,0.9400269985198975,0.8037531226873398,0.008899771,3.072014504717663,-0.002473833295334771,0.0001
753,50.49948525428772,409600,543,25,0.2,1.2048183679580688,-5.418073538318277,240,0.09853515625,0.9380978345870972,0.8371081799268723,0.008128038,2.9664327357895672,-0.0017728145729051902,0.0001
784,43.81878352165222,425984,542,26,0.2,1.2496105432510376,-5.420933346822858,250,0.107080078125,0.9401484727859497,0.8326024264097214,0.008980306,2.9633274654857815,-0.0022092049515777036,0.0001
815,39.11025595664978,442368,542,27,0.2,1.235349178314209,-5.4233107447624205,260,0.137847900390625,0.9409734010696411,0.8613815456628799,0.01053888,2.7418370622675865,-0.003496030318456178,0.0001
851,44.74544095993042,458752,538,28,0.2,1.1445411443710327,-5.413761394843459,270,0.116192626953125,0.9353536367416382,0.8698015958070755,0.009351894,2.511296599637717,-0.002761566280241823,0.0001
886,45.65194320678711,475136,536,29,0.2,0.8946498036384583,-5.394312891364097,280,0.10699462890625,0.9318611025810242,0.8457495272159576,0.009310203,3.019383090781048,-0.0006942238928786537,0.0001
917,41.36113166809082,491520,535,30,0.2,0.7016908526420593,-5.395266174152494,290,0.129443359375,0.9343709945678711,0.9161552414298058,0.009094858,1.4389810998924077,-0.0014449899421379087,0.0001
949,55.417518615722656,507904,535,31,0.2,1.2295622825622559,-5.397245029732585,300,0.1171142578125,0.9341604113578796,0.8749784678220749,0.009641304,2.2784205273725093,-0.00310330324809911,0.0001
980,42.11497449874878,524288,534,32,0.2,2.8518877029418945,-5.40031889602542,310,0.125933837890625,0.936496376991272,0.8608595132827759,0.010886776,2.997200419800356,-0.004177845050617179,0.0001
1014,50.49165105819702,540672,533,33,0.2,1.016369104385376,-5.407485619187355,320,0.109039306640625,0.9368791580200195,0.8745656609535217,0.008791757,2.95489672687836,-0.001023646096291486,0.0001
1047,12.485826015472412,557056,531,34,0.2,0.8608898520469666,-5.402205369994045,330,0.12623291015625,0.9357210993766785,0.8654278218746185,0.010313423,3.1207816551905125,-0.0011621756639215164,0.0001
1077,50.30648684501648,573440,532,35,0.2,66.36600494384766,-5.398328542709351,340,0.1215087890625,0.9346891641616821,0.4084436297416687,0.014314314,21.347337704431265,-0.0005739922542488784,0.0001
1106,55.54722762107849,589824,532,36,0.2,0.705988883972168,-5.402624220028519,350,0.1163818359375,0.9378299713134766,0.8650263249874115,0.010198161,3.50029280455783,-0.0022313080959975194,0.0001
1136,55.148595333099365,606208,533,37,0.2,2.396259307861328,-5.406710629165173,360,0.1133056640625,0.936994731426239,0.8118252903223038,0.009436483,4.821962739806622,-0.0018365603828897291,0.0001
1166,82.23457765579224,622592,533,38,0.2,0.8071498274803162,-5.402630268037319,370,0.1307373046875,0.935431718826294,0.8802098780870438,0.009846583,3.1963904150296,-0.0006206098294569528,0.0001
1196,58.65629863739014,638976,534,39,0.2,1.1179064512252808,-5.398824194073677,380,0.11324462890625,0.9331909418106079,0.6259157061576843,0.010031884,18.644390024989843,-0.0018386314956842398,0.0001
1226,55.94268798828125,655360,534,40,0.2,1.5091242790222168,-5.387307438999414,390,0.112054443359375,0.9317342638969421,0.47832345962524414,0.009755082,44.96396330064162,-0.000978142159692652,0.0001
1258,69.97493600845337,671744,533,41,0.2,0.6331880688667297,-5.378232742100954,400,0.1356689453125,0.9299341440200806,0.8600491434335709,0.011192523,3.726269279560074,-0.0009976948611438274,0.0001
1291,62.7613959312439,688128,532,42,0.2,0.7190682888031006,-5.363940164819359,410,0.133392333984375,0.9260761737823486,0.8794572204351425,0.011124324,3.7611277331598103,-0.0009803037904930535,0.0001
1324,58.70544099807739,704512,531,43,0.2,0.8304908275604248,-5.345392078906298,420,0.1307861328125,0.9217941164970398,0.847698837518692,0.010355295,3.21699381377548,0.00011239782743359683,0.0001
1355,56.586588859558105,720896,531,44,0.2,1.1783487796783447,-5.335729503631592,430,0.1005859375,0.9208627939224243,0.7143179178237915,0.008989807,8.35230677947402,-0.00032384631813329177,0.0001
1386,57.187368392944336,737280,531,45,0.2,1.247445821762085,-5.325223924964666,440,0.12364501953125,0.9182214140892029,0.8344055861234665,0.011220653,3.6549831214360893,-0.00050354417435301,0.0001
1418,56.7649130821228,753664,531,46,0.2,1.1380950212478638,-5.313520359992981,450,0.11011962890625,0.914812445640564,0.8564620018005371,0.009231897,3.295267407549545,-0.0002564735225860204,0.0001
1450,60.16342544555664,770048,530,47,0.2,1.6648035049438477,-5.29446925483644,460,0.144561767578125,0.9100649356842041,0.8737692981958389,0.010736037,2.465534846484661,-0.0017893254920636537,0.0001
1482,55.4755597114563,786432,530,48,0.2,0.8523933291435242,-5.277628546208144,470,0.123211669921875,0.9072041511535645,0.8402864038944244,0.009139731,3.179841705225408,-0.00011212920308025786,0.0001
1514,94.69381713867188,802816,530,49,0.2,0.8725400567054749,-5.269933132082224,480,0.119146728515625,0.9067614674568176,0.595664918422699,0.010950594,15.962766301073135,-4.129729131818749e-06,0.0001
1545,63.03870248794556,819200,530,50,0.2,1.7204413414001465,-5.263674846291542,490,0.111907958984375,0.9050282835960388,0.34694963693618774,0.011087175,38.45782376867719,-0.0007757181096167187,0.0001
