rew_vec_envs,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/loss,train/clip_range,train/approx_kl,train/std,train/value_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance
0.8317094,,,,,2061.40673828125,0.2,0.0051101698,0.9716610908508301,4256.176527833939,0.0251434326171875,390,0.0001,-5.563448326289654,-0.0018667513271793724,0.4344252943992615
1.9914328,,,,,,,,,,,,,,,
,1079,9,273,1310720,,,,,,,,,,,
0.9234019,,,,,29.20513343811035,0.2,0.0062371846,0.967955470085144,68.77953987121582,0.0538238525390625,400,0.0001,-5.554412454366684,-0.0034176967194071038,0.9289986491203308
1.40418,,,,,,,,,,,,,,,
,1080,10,303,1343488,,,,,,,,,,,
1.1347997,,,,,4843.10888671875,0.2,0.0052140458,0.9672199487686157,7252.650900053978,0.0302520751953125,410,0.0001,-5.544291608035564,-0.0017986707891395782,0.30951279401779175
1.3426911,,,,,,,,,,,,,,,
,1083,11,332,1376256,,,,,,,,,,,
1.07032,,,,,327.7049865722656,0.2,0.0046005184,0.9675452709197998,2693.5285891413687,0.0369110107421875,420,0.0001,-5.54245155453682,-0.0021710635155614,0.48556774854660034
1.0977502,,,,,,,,,,,,,,,
,1085,12,362,1409024,,,,,,,,,,,
1.9010805,,,,,197.3385467529297,0.2,0.005003009,0.9652180671691895,1813.2048487305642,0.02955322265625,430,0.0001,-5.539685276150704,-0.0019611141968198355,0.5572708547115326
2.0879035,,,,,,,,,,,,,,,
,1086,13,391,1441792,,,,,,,,,,,
2.3317127,,,,,838.5706176757812,0.2,0.0040003248,0.9648439884185791,7743.310580158233,0.0181121826171875,440,0.0001,-5.533491803705692,-0.001519750859006308,0.5400494933128357
1.3643979,,,,,,,,,,,,,,,
,1086,14,422,1474560,,,,,,,,,,,
2.3433344,,,,,1354.6474609375,0.2,0.0032283012,0.9643752574920654,6477.072733879089,0.0129608154296875,450,0.0001,-5.532151389122009,-0.0012632058649614919,0.5232975780963898
1.1553258,,,,,,,,,,,,,,,
,1085,15,452,1507328,,,,,,,,,,,
1.4144458,,,,,11122.8359375,0.2,0.004309388,0.9625598788261414,14163.253476715088,0.0143280029296875,460,0.0001,-5.5276445403695105,-0.0015808126350748352,0.48194533586502075
1.5608128,,,,,,,,,,,,,,,
,1085,16,483,1540096,,,,,,,,,,,
1.3062243,,,,,6342.29296875,0.2,0.0037461314,0.9619971513748169,9599.64665503502,0.011932373046875,470,0.0001,-5.522032430768013,-0.0011146280521643348,0.5442492663860321
2.0548034,,,,,,,,,,,,,,,
,1084,17,513,1572864,,,,,,,,,,,
3.5873165,,,,,4341.19287109375,0.2,0.0038033272,0.9611605405807495,9692.671917915344,0.020355224609375,480,0.0001,-5.519396491348743,-0.002007437843712978,0.5337537825107574
1.3041244,,,,,,,,,,,,,,,
,1080,18,545,1605632,,,,,,,,,,,
1.1535113,,,,,8763.60546875,0.2,0.0048381058,0.9598836898803711,16740.116159629823,0.01673583984375,490,0.0001,-5.515155045688152,-0.001235277827072423,0.42527449131011963
3.1556158,,,,,,,,,,,,,,,
,1079,19,576,1638400,,,,,,,,,,,
2.2120972,,,,,4744.203125,0.2,0.0035507467,0.9579300880432129,11176.575742721558,0.015631103515625,500,0.0001,-5.508768227696419,-0.0013716922789171805,0.4722651243209839
1.2251769,,,,,,,,,,,,,,,
,1078,20,607,1671168,,,,,,,,,,,
2.126353,,,,,5156.412109375,0.2,0.0034592445,0.9551501870155334,10194.313832759857,0.009326171875,510,0.0001,-5.499242921173573,-0.0011242840257182252,0.5075523853302002
2.1450388,,,,,,,,,,,,,,,
,1078,21,638,1703936,,,,,,,,,,,
2.6786299,,,,,757.99560546875,0.2,0.0040795207,0.9519692659378052,3098.884566760063,0.0177886962890625,520,0.0001,-5.485941202938557,-0.001669304887764156,0.7390028238296509
1.4186567,,,,,,,,,,,,,,,
,1077,22,669,1736704,,,,,,,,,,,
2.0557635,,,,,12378.572265625,0.2,0.00397256,0.9516583681106567,18904.880012512207,0.01568603515625,530,0.0001,-5.47827078551054,-0.0013691856373043265,0.48670661449432373
0.92522794,,,,,,,,,,,,,,,
,1076,23,699,1769472,,,,,,,,,,,
2.0691075,,,,,14847.798828125,0.2,0.0037938827,0.950314998626709,17518.409881591797,0.012725830078125,540,0.0001,-5.475763508677483,-0.0014517369520035573,0.4776563048362732
1.8125849,,,,,,,,,,,,,,,
,1076,24,730,1802240,,,,,,,,,,,
3.4648728,,,,,9258.833984375,0.2,0.00521798,0.9502823352813721,6721.717255115509,0.0322509765625,550,0.0001,-5.471971467137337,-0.0019392567854083608,0.7061102390289307
1.7127271,,,,,,,,,,,,,,,
,1075,25,761,1835008,,,,,,,,,,,
1.6337216,,,,,3530.919189453125,0.2,0.0039231176,0.9491718411445618,21706.584325408934,0.018731689453125,560,0.0001,-5.4698554709553715,-0.0019745790974411647,0.5113165378570557
2.4426885,,,,,,,,,,,,,,,
,1075,26,792,1867776,,,,,,,,,,,
3.9975915,,,,,16239.6005859375,0.2,0.004274263,0.9479419589042664,26993.067767333985,0.0246185302734375,570,0.0001,-5.465058544278145,-0.002263137222325895,0.4824286103248596
1.472938,,,,,,,,,,,,,,,
,1075,27,822,1900544,,,,,,,,,,,
2.628501,,,,,3478.03271484375,0.2,0.0045235953,0.9482410550117493,21429.397177886964,0.016754150390625,580,0.0001,-5.462668420374394,-0.0016247683546680492,0.5246331989765167
3.141183,,,,,,,,,,,,,,,
,1074,28,854,1933312,,,,,,,,,,,
2.0568576,,,,,5758.33544921875,0.2,0.0031240229,0.9483054876327515,21844.69714202881,0.0071990966796875,590,0.0001,-5.463438612222672,-0.0010835234748810762,0.5577337443828583
2.1781356,,,,,,,,,,,,,,,
,1073,29,884,1966080,,,,,,,,,,,
1.5166502,,,,,6419.08251953125,0.2,0.0042625153,0.9460268020629883,16921.777600860594,0.0225250244140625,600,0.0001,-5.4597457438707355,-0.0019205247204808983,0.5826646685600281
1.2876613,,,,,,,,,,,,,,,
,1073,30,915,1998848,,,,,,,,,,,
3.491631,,,,,5697.2607421875,0.2,0.004464603,0.9452630281448364,18011.29122619629,0.0169830322265625,610,0.0001,-5.452483271062374,-0.0016966080613201485,0.5651889145374298
1.288945,,,,,,,,,,,,,,,
,1073,31,946,2031616,,,,,,,,,,,
