time/total_timesteps,rew_vec_envs,time/time_elapsed,time/fps,time/iterations,train/clip_fraction,train/learning_rate,train/value_loss,train/approx_kl,train/std,train/entropy_loss,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/loss,train/clip_range
2981888,1766.410431087017,1706,556,29,0.0907440185546875,0.001,180627.62457904816,0.009793708,0.45698538422584534,-2.5329027984291317,900,0.062153398990631104,-0.004518557044502813,10408.0068359375,0.2
3014656,724.2835693955421,1765,556,30,0.0716064453125,0.001,269403.10789451597,0.00976786,0.4530029594898224,-2.5080088429152965,910,0.013628602027893066,-0.004175438064339687,176474.8125,0.2
3047424,193.03174817562103,1820,557,31,0.0536407470703125,0.001,242138.37104415894,0.007606747,0.45076853036880493,-2.479357899352908,920,-0.045380592346191406,-0.004478962311623036,2418.68359375,0.2
3080192,3623.1776165366173,1877,558,32,0.04910888671875,0.001,298522.3008125305,0.0071299984,0.4489162266254425,-2.462181205675006,930,0.009796321392059326,-0.00319112125216634,94360.4609375,0.2
3112960,5.501276671886444,1938,557,33,0.0300537109375,0.001,503920.8500366211,0.005464956,0.4485386908054352,-2.4495920933783055,940,0.0848352313041687,-0.0031413667140441246,147198.265625,0.2
3145728,2083.2092121243477,1999,557,34,0.0475067138671875,0.001,233000.12656402588,0.0067299055,0.4498986601829529,-2.4517698835581543,950,-0.04896891117095947,-0.004218369739101035,44081.7578125,0.2
3178496,331.6041525006294,2059,556,35,0.0333953857421875,0.001,471046.5112449646,0.0058217663,0.4493030905723572,-2.4551620978862045,960,0.03945261240005493,-0.003384571345668519,447181.53125,0.2
3211264,1165.2743919491768,2120,556,36,0.0243896484375,0.001,519916.30833282473,0.005441246,0.4474336504936218,-2.445899625495076,970,-0.0012967586517333984,-0.0027961906944256043,330391.21875,0.2
3244032,1792.8492208123207,2180,555,37,0.0383758544921875,0.001,382299.1767974853,0.006723349,0.4466663599014282,-2.4329913675785066,980,-0.01560664176940918,-0.0031930816137901276,27263.888671875,0.2
3276800,1425.9636659622192,2240,555,38,0.0365081787109375,0.001,312890.5200164795,0.007401656,0.4475249648094177,-2.4315258782356977,990,-0.018908381462097168,-0.003256533155217767,342855.0625,0.2
3309568,867.9805822372437,2299,555,39,0.0557098388671875,0.001,283639.69751434325,0.0069706272,0.4458598494529724,-2.431207023561001,1000,-0.0029230117797851562,-0.003365777497674571,22562.015625,0.2
3342336,2475.9469982385635,2356,556,40,0.069256591796875,0.001,178754.5591152191,0.009560837,0.44445276260375977,-2.4156499557197093,1010,0.07500755786895752,-0.004657296142977429,2013.7261962890625,0.2
3375104,1089.188364624977,2413,556,41,0.0415496826171875,0.001,412931.9292640686,0.0057145013,0.4434118866920471,-2.4042090747505425,1020,-0.008363008499145508,-0.004338452680531191,100182.484375,0.2
3407872,228.0465855896473,2473,556,42,0.0404998779296875,0.001,258013.79648361207,0.006415533,0.4418121874332428,-2.392467129230499,1030,-0.06414210796356201,-0.00363653672975488,280111.25,0.2
3440640,2266.5559730529785,2528,557,43,0.042620849609375,0.001,336646.1446975708,0.0068050376,0.4401068389415741,-2.3782026298344134,1040,-0.024303793907165527,-0.00366315819301235,5486.76953125,0.2
3473408,242.22958528995514,2582,558,44,0.033056640625,0.001,338449.5687866211,0.007233533,0.43928271532058716,-2.364911250397563,1050,-0.015358328819274902,-0.0029709760230616665,187760.171875,0.2
3506176,1610.889599621296,2637,559,45,0.0512542724609375,0.001,249228.4971218109,0.007902093,0.4378798007965088,-2.3544018775224687,1060,0.00868237018585205,-0.004123483704643149,86840.0546875,0.2
3538944,1202.8678096234798,2693,559,46,0.055963134765625,0.001,186643.98627853394,0.0074503794,0.4349291920661926,-2.333171335607767,1070,-0.044515013694763184,-0.003571197501150891,23172.390625,0.2
3571712,1051.2779206037521,2751,559,47,0.0730865478515625,0.001,188008.87908477784,0.008060064,0.43134093284606934,-2.3055629063397647,1080,-0.015942811965942383,-0.0044105108132498575,1609.161376953125,0.2
3604480,1397.096673130989,2807,560,48,0.0484130859375,0.001,285511.7442504883,0.007180729,0.43027573823928833,-2.2806547593325375,1090,0.005037188529968262,-0.003940488780790475,509594.03125,0.2
3637248,147.3855288028717,2864,560,49,0.0373565673828125,0.001,362240.651020813,0.005740793,0.42928701639175415,-2.270451319217682,1100,0.036182522773742676,-0.0032040276488260132,43991.96484375,0.2
3670016,234.05691862106323,2927,559,50,0.0381805419921875,0.001,343128.466847229,0.0065097217,0.4278739392757416,-2.2607507698237894,1110,-0.0029855966567993164,-0.004033880568749737,205053.5,0.2
3702784,276.42741787433624,2988,559,51,0.026544189453125,0.001,419145.5131187439,0.0057146605,0.42722487449645996,-2.2506090991199015,1120,-0.03792858123779297,-0.0030725125259778,232314.984375,0.2
3735552,1581.0267888307571,3051,558,52,0.0621185302734375,0.001,110541.52975540161,0.008396463,0.42786991596221924,-2.2490375597029924,1130,-0.06593358516693115,-0.004451950018847128,73764.3359375,0.2
3768320,1193.4439120292664,3111,558,53,0.062158203125,0.001,228882.85408134462,0.008198714,0.42569175362586975,-2.2468191757798195,1140,-0.04098379611968994,-0.0037357535478804494,51375.765625,0.2
3801088,1827.1616012454033,3174,557,54,0.048828125,0.001,314677.11764831544,0.006618047,0.42477840185165405,-2.2293541222810744,1150,0.003930389881134033,-0.004270398114022101,227666.140625,0.2
3833856,1393.4684948921204,3237,556,55,0.049053955078125,0.001,215856.110521698,0.007124241,0.4236525297164917,-2.219526910409331,1160,0.01246100664138794,-0.0037270954497216737,39530.3359375,0.2
3866624,1426.0603112876415,3301,555,56,0.041046142578125,0.001,342829.7586212158,0.00621242,0.4225519895553589,-2.209967587515712,1170,-4.363059997558594e-05,-0.004125500384179759,492917.3125,0.2
3899392,1019.7308912873268,3366,554,57,0.0510406494140625,0.001,252790.68700561524,0.006503685,0.42163383960723877,-2.198563599959016,1180,-0.05529069900512695,-0.004045557164135971,70303.546875,0.2
3932160,905.9607549607754,3433,553,58,0.0403106689453125,0.001,188762.93078079223,0.0071735578,0.4214174747467041,-2.1942533180117607,1190,0.029143333435058594,-0.0042243099807819815,47654.71484375,0.2
3964928,141.96062767505646,3498,552,59,0.04652099609375,0.001,298235.8917816162,0.0055740047,0.4196331799030304,-2.1858167208731176,1200,0.04243123531341553,-0.003888051697140327,115680.71875,0.2
3997696,664.673198223114,3563,551,60,0.02003173828125,0.001,471613.27856140136,0.0047914097,0.4192690849304199,-2.174458285421133,1210,-0.02937185764312744,-0.0029476400475687116,13418.1240234375,0.2
4030464,1074.3820928484201,3627,551,61,0.03568115234375,0.001,378642.50542297366,0.005812832,0.41861847043037415,-2.1697723891586067,1220,0.007524549961090088,-0.003604536397688207,124631.2578125,0.2
4063232,265.5394003391266,3688,550,62,0.03955078125,0.001,281187.13868637086,0.006357162,0.4174151122570038,-2.161184469982982,1230,0.06913930177688599,-0.004342412170444732,90018.9453125,0.2
