rew_vec_envs,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_range,train/value_loss,train/entropy_loss,train/explained_variance,train/std,train/policy_gradient_loss,train/loss,train/n_updates,train/approx_kl,train/learning_rate,train/clip_fraction
42.57202619314194,1540096,94,657,2342,0.2,201.97365186214446,-2.6176193200051783,0.6637789905071259,0.4693338871002197,-0.02775464432052104,18.677013397216797,930,0.092581086,0.001,0.464007568359375
152.54196723550558,1556480,95,656,2370,0.2,187.76334058642388,-2.5940524742007254,0.686537891626358,0.4665159285068512,-0.022134970722254364,159.78948974609375,940,0.11238271,0.001,0.48245849609375
186.38276743888855,1572864,96,655,2399,0.2,162.1310460805893,-2.590152391046286,0.6714217066764832,0.46711426973342896,-0.024057223182899178,68.00194549560547,950,0.09484607,0.001,0.484088134765625
223.29377722740173,1589248,97,654,2427,0.2,204.55174598693847,-2.5741864763200284,0.6674560904502869,0.4655299484729767,-0.023700512950017582,20.042030334472656,960,0.08315934,0.001,0.462957763671875
165.32621932029724,1605632,98,653,2455,0.2,173.616905605793,-2.5405771546065807,0.6714553833007812,0.4610651135444641,-0.02644509141391609,114.76455688476562,970,0.1078198,0.001,0.495587158203125
119.1657767817378,1622016,99,652,2484,0.2,198.60238941907883,-2.519482734054327,0.6448623836040497,0.45863857865333557,-0.025092954416322755,69.1747055053711,980,0.082797796,0.001,0.46435546875
160.0062826871872,1638400,100,652,2512,0.2,257.6006572961807,-2.4945174872875215,0.6670634150505066,0.45660504698753357,-0.029998957067437004,44.80899429321289,990,0.07536494,0.001,0.43253173828125
139.1925801038742,1654784,101,651,2540,0.2,189.05728693008422,-2.458944393694401,0.6486891210079193,0.45307210087776184,-0.024949825536532445,81.48538970947266,1000,0.103846624,0.001,0.50123291015625
42.327181339263916,1671168,102,650,2569,0.2,191.90230732560158,-2.4452514708042146,0.595510870218277,0.4499167203903198,-0.018064091975975315,19.929929733276367,1010,0.12859023,0.001,0.527740478515625
290.66831946372986,1687552,103,649,2598,0.2,221.06691014766693,-2.4106959216296673,0.6407794952392578,0.4453209638595581,-0.022691926431434695,16.077892303466797,1020,0.1549582,0.001,0.54354248046875
251.1196005344391,1703936,104,648,2628,0.2,189.01735367774964,-2.3971908994019033,0.6882002949714661,0.447600781917572,-0.021420334788490435,33.07290267944336,1030,0.110415265,0.001,0.486895751953125
163.13723066449165,1720320,105,646,2659,0.2,223.4369901061058,-2.3938449315726755,0.67783984541893,0.4452584981918335,-0.02728748934678151,22.302064895629883,1040,0.09020141,0.001,0.452685546875
62.9945058003068,1736704,106,645,2691,0.2,189.35210592150688,-2.3709530398249625,0.6701300740242004,0.4427458643913269,-0.023972589770346532,20.60932159423828,1050,0.10775003,0.001,0.499456787109375
183.58445990085602,1753088,107,643,2724,0.2,225.05197454690932,-2.356982969492674,0.6959289312362671,0.4395798146724701,-0.02371567484224215,114.81279754638672,1060,0.10884575,0.001,0.51854248046875
243.21310144662857,1769472,108,641,2757,0.2,246.43808859586716,-2.316172628104687,0.6460112035274506,0.43595096468925476,-0.02790820861919201,42.210121154785156,1070,0.090793006,0.001,0.47745361328125
346.1593322753906,1785856,109,640,2789,0.2,308.4136382579803,-2.267789688706398,0.6269772946834564,0.43084952235221863,-0.02919787258215365,245.9179229736328,1080,0.0770168,0.001,0.4334228515625
114.2087094783783,1802240,110,638,2820,0.2,281.5577650666237,-2.2195037312805654,0.7304299473762512,0.4261522889137268,-0.03243687013455201,27.92709732055664,1090,0.07986385,0.001,0.456884765625
194.17203176021576,1818624,111,637,2852,0.2,205.69789317846298,-2.2154052264988424,0.6883687078952789,0.4258180856704712,-0.02870193601847859,21.280757904052734,1100,0.10254584,0.001,0.488214111328125
177.26145312935114,1835008,112,636,2883,0.2,213.93251173496247,-2.198162729293108,0.7138070464134216,0.42234522104263306,-0.02439918825693894,39.51387405395508,1110,0.12561738,0.001,0.50372314453125
144.75652647018433,1851392,113,634,2916,0.2,189.6834902524948,-2.1721694149076938,0.6704688370227814,0.42113545536994934,-0.020131836260770797,25.142805099487305,1120,0.17970736,0.001,0.5588623046875
119.53354740142822,1867776,114,633,2948,0.2,236.93842146396636,-2.15408166795969,0.7227956354618073,0.4177858531475067,-0.029375492303370266,82.85671997070312,1130,0.07841132,0.001,0.45994873046875
179.5584774017334,1884160,115,632,2979,0.2,188.510543179512,-2.1210281021893023,0.7080574333667755,0.41413113474845886,-0.02148645877277886,18.33978271484375,1140,0.11921129,0.001,0.525970458984375
121.8145467042923,1900544,116,630,3012,0.2,258.35356233119967,-2.104153712838888,0.6634971499443054,0.41258472204208374,-0.023413864268513863,35.95182800292969,1150,0.12681742,0.001,0.5223876953125
245.8193897008896,1916928,117,629,3044,0.2,248.73176913261415,-2.0992648757994177,0.6821564435958862,0.4116855561733246,-0.01859909903469088,177.94546508789062,1160,0.14958832,0.001,0.551519775390625
250.15673398971558,1933312,118,628,3077,0.2,213.19117999076843,-2.060903602838516,0.7420506179332733,0.40794599056243896,-0.029724606591480553,23.287717819213867,1170,0.10288298,0.001,0.497198486328125
66.24117338657379,1949696,119,626,3110,0.2,233.55260157585144,-2.033640564233065,0.5676831901073456,0.40593278408050537,-0.023723171251185705,112.81523132324219,1180,0.11180869,0.001,0.508685302734375
