time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rew_vec_envs,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/loss,train/std,train/clip_range,train/explained_variance,train/entropy_loss,train/approx_kl,train/clip_fraction,train/n_updates
11,742,2457600,485,1406.7073650360107,-0.007456632877074298,0.001,6985.361334037781,1378.0362548828125,0.594050407409668,0.2,0.6743361353874207,-3.568950466811657,0.009201204,0.075762939453125,740
12,808,2490368,486,1386.9685697555542,-0.007132561168327811,0.001,8596.213230133057,1267.853759765625,0.5927123427391052,0.2,0.6623044312000275,-3.5569805204868317,0.008928542,0.072210693359375,750
13,873,2523136,487,1529.740135192871,-0.007353635239633149,0.001,9244.273740386963,1447.6240234375,0.5950020551681519,0.2,0.6609195470809937,-3.5602719843387605,0.00761404,0.063092041015625,760
14,944,2555904,485,1644.0086755752563,-0.006787965703188093,0.001,9331.707855987548,1191.208251953125,0.5928376317024231,0.2,0.632979691028595,-3.560441055521369,0.0089475615,0.06578369140625,770
15,1010,2588672,486,1385.8889169692993,-0.007670589140616357,0.001,7703.671543693543,1243.4595947265625,0.5872998833656311,0.2,0.6541637182235718,-3.5323304533958435,0.00942953,0.0743377685546875,780
16,1076,2621440,486,1905.721778869629,-0.007122856460046023,0.001,9880.364246368408,1494.631103515625,0.5855947732925415,0.2,0.576799213886261,-3.508394940197468,0.007714362,0.068743896484375,790
17,1143,2654208,486,2133.218059539795,-0.008040816191351042,0.001,8670.898967552184,1085.3187255859375,0.5831828117370605,0.2,0.6298351585865021,-3.4948927208781244,0.008593035,0.0698211669921875,800
18,1210,2686976,487,1598.352289199829,-0.006494281120103551,0.001,8430.869998550415,1289.9219970703125,0.582266092300415,0.2,0.6563172936439514,-3.4845200922340154,0.008219484,0.0661376953125,810
19,1277,2719744,487,1208.198829650879,-0.00737646035013313,0.001,9540.82135810852,2545.183837890625,0.5791994333267212,0.2,0.6355272531509399,-3.4682242300361397,0.008725608,0.0652374267578125,820
20,1344,2752512,487,1793.6583137512207,-0.0068554393510567024,0.001,8555.633616638184,1380.6856689453125,0.5806624889373779,0.2,0.6642070114612579,-3.46422485858202,0.008602136,0.0669921875,830
21,1412,2785280,487,2386.3772497177124,-0.0075779238773975525,0.001,9134.805573272704,1601.21533203125,0.5775563716888428,0.2,0.6583460569381714,-3.457976969704032,0.009404141,0.07393798828125,840
22,1478,2818048,487,1382.7493228912354,-0.006924854710814543,0.001,9820.00048828125,1636.7706298828125,0.5739566087722778,0.2,0.618825763463974,-3.43288223259151,0.008313936,0.0592071533203125,850
23,1545,2850816,487,1375.0264248847961,-0.007071937432920094,0.001,8510.065280532837,1302.50927734375,0.5727606415748596,0.2,0.6333694458007812,-3.4144251883029937,0.008320286,0.07056884765625,860
24,1615,2883584,486,1496.2495803833008,-0.006666962991948822,0.001,9877.419093322755,1533.24658203125,0.5709375143051147,0.2,0.6380514800548553,-3.4021400354802607,0.008226219,0.065667724609375,870
25,1685,2916352,486,1782.2937791347504,-0.0066541210919240255,0.001,9476.504233169555,1281.5111083984375,0.5692760944366455,0.2,0.6290709972381592,-3.3903747078031303,0.008895187,0.072216796875,880
26,1754,2949120,485,1853.7871055603027,-0.006927817295945715,0.001,11365.950967025758,1721.6859130859375,0.5676532983779907,0.2,0.5617149472236633,-3.3768836710602046,0.009005154,0.0652099609375,890
27,1824,2981888,484,1986.65336227417,-0.00802028491962119,0.001,10038.492630004883,1670.6708984375,0.5652925372123718,0.2,0.6340552568435669,-3.3630639355629683,0.009075757,0.0756561279296875,900
28,1896,3014656,483,1962.7880249023438,-0.008132453630241798,0.001,10104.43330154419,1425.492919921875,0.5647380352020264,0.2,0.6180144548416138,-3.3512401685118673,0.00846204,0.0714996337890625,910
29,1969,3047424,482,1805.695514678955,-0.007753157124534482,0.001,9742.409234619141,1997.9190673828125,0.5644858479499817,0.2,0.6556174457073212,-3.3489913985133173,0.009376988,0.0746002197265625,920
30,2043,3080192,481,2281.2360610961914,-0.0071708216386468845,0.001,11013.528177642822,1646.4649658203125,0.5619534254074097,0.2,0.5991091132164001,-3.3359327875077724,0.007945765,0.0665130615234375,930
31,2115,3112960,480,1554.6850452423096,-0.0065557437534153,0.001,10334.941694259644,1921.80615234375,0.5569045543670654,0.2,0.6198225319385529,-3.3083162512630224,0.008966984,0.0697296142578125,940
32,2189,3145728,478,1661.8250913619995,-0.007554205871929298,0.001,9589.553732681274,1857.4171142578125,0.5538575649261475,0.2,0.602957546710968,-3.279908326640725,0.008503813,0.07047119140625,950
