ang_vel,ang_pos,lin_vel,lin_pos,agent_aux_state,past_actions,ally_ang_vel,ally_delta_ang_pos,ally_delta_lin_vel,ally_delta_lin_pos,target_ang_vel,target_delta_ang_pos,target_delta_lin_vel,target_delta_lin_pos,target_distance,hit_probability
[-0.86154439 -0.54768414  0.79121637],[-0.01949448  0.21973453  1.97493599],[-0.5183586  -3.73164757 -1.40526955],[-0.38980972 -1.61901447  6.55888539],[0.70057356 0.58798021 0.74090084 0.67843063],[ 1.75726581  1.59037614  0.55601782 -1.43520629],[False False False],[False False False],[False False False],[False False False],[-0.01407962 -0.18521166  0.11300563],[-0.01769924  0.2168818   1.96480872],[ 2.84768357 -1.98154919  2.00080516],[ 2.6754336  -7.39833189 -2.49087046],8.25213278076639,0.4988363814874469
[-1.17134001 -1.57987905  1.26139094],[-0.02673016  0.20703581  1.98573572],[-0.55291004 -3.7140962  -1.27573492],[-0.35856478 -1.61247761  6.55002637],[0.46967399 0.52047835 0.494181   0.51220041],[ 1.75726581  1.59037614  0.55601782 -1.43520629],[False False False],[False False False],[False False False],[False False False],[-0.31745163 -0.17875756 -0.38696988],[-0.02340161  0.20570151  1.97788843],[ 2.84108691 -2.0520024   1.85329907],[ 2.57125327 -7.37003843 -2.58447094],8.222426645521358,0.5031624998454106
[-0.73738002 -0.94705198  1.13004326],[-0.03215161  0.1976921   1.99623121],[-0.58291586 -3.69829577 -1.26232106],[-0.32744481 -1.60569981  6.54165687],[0.19398662 0.37366981 0.21861071 0.25290683],[ 1.75726581  1.59037614  0.55601782 -1.43520629],[False False False],[False False False],[False False False],[False False False],[-0.64952129  0.02708255 -0.55868306],[-0.02378311  0.19650825  1.99310755],[ 2.80606217 -2.11586185  1.83200084],[ 2.47699142 -7.3446782  -2.65339292],8.192696649433596,0.5035835284760988
[-0.22595789 -0.191591    0.78632681],[-0.03336309  0.19500077  2.00366336],[-0.59539957 -3.68915154 -1.31408211],[-0.29636736 -1.59883501  6.53300171],[0.12318147 0.25288667 0.10586945 0.15950458],[ 1.75726581  1.59037614  0.55601782 -1.43520629],[False False False],[False False False],[False False False],[False False False],[-0.53366427  0.13301485 -0.44503781],[-0.02018496  0.19285311  2.00455252],[ 2.7833234  -2.14866333  1.81543866],[ 2.42123508 -7.3244376  -2.66918673],8.162984952146793,0.5039190692278323
[-0.049722    0.22751666  0.55215664],[-0.03293483  0.1963787   2.0087979 ],[-0.59484873 -3.68377755 -1.37969938],[-0.26530671 -1.59192582  6.52382801],[0.17564818 0.19494877 0.06658263 0.1386798 ],[ 2.02022958  0.85975313  0.65071088 -1.20941985],[False False False],[False False False],[False False False],[False False False],[-0.25091334  0.13348127 -0.18785155],[-0.01685619  0.19313408  2.01202409],[ 2.76141884 -2.16256206  1.84288168],[ 2.39226876 -7.3044078  -2.65941396],8.133253080265924,0.5033027987058505
[-0.14819339  0.35307593  0.34288079],[-0.03326361  0.19928369  2.01200568],[-0.58504961 -3.67893537 -1.45141248],[-0.23425762 -1.58498031  6.51408966],[0.16403025 0.14127669 0.05443327 0.11412985],[ 2.02022958  0.85975313  0.65071088 -1.20941985],[False False False],[False False False],[False False False],[False False False],[ 0.58773691 -0.06234115  0.40586978],[-0.02020208  0.19596413  2.01319459],[ 2.72555465 -2.1671363   1.97038502],[ 2.38095501 -7.27891775 -2.64785945],8.10325552005824,0.49997034383147887
[-0.29637579  0.36572997  0.1972994 ],[-0.03504217  0.20238368  2.0138635 ],[-0.56962804 -3.672971   -1.52963275],[-0.2032172  -1.57800283  6.50376071],[0.17445263 0.1478627  0.10079838 0.14406918],[ 2.02022958  0.85975313  0.65071088 -1.20941985],[False False False],[False False False],[False False False],[False False False],[ 0.96793578 -0.2703691   0.65976191],[-0.02986668  0.20108974  2.00970342],[ 2.69421787 -2.16526275  2.09028825],[ 2.37969479 -7.24721122 -2.64325695],8.072906856664082,0.4966293953051244
[-0.50240788  0.34941292  0.10499583],[-0.03851749  0.20541802  2.01481141],[-0.55057898 -3.66481972 -1.60119564],[-0.17219245 -1.57098384  6.49289765],[0.29834466 0.26349739 0.26342042 0.28496685],[ 2.02022958  0.85975313  0.65071088 -1.20941985],[False False False],[False False False],[False False False],[False False False],[ 0.79380159 -0.22654542  0.50971726],[-0.04041518  0.20617649  2.00599601],[ 2.68279134 -2.15611826  2.11096458],[ 2.38473148 -7.20942949 -2.64933839],8.04250034100538,0.49650888439186985
[-0.68234531  0.01207322  0.2048535 ],[-0.04377485  0.20682151  2.01599125],[-0.5345123  -3.6531584  -1.65402241],[-0.14121008 -1.56388695  6.48171385],[0.29260316 0.17375721 0.34303529 0.26944024],[ 1.52112246  1.52127421  0.19107385 -1.57012463],[False False False],[False False False],[False False False],[False False False],[ 0.29564183 -0.18327636  0.13530944],[-0.04957962  0.20924603  2.00500898],[ 2.67038644 -2.15185631  2.11802831],[ 2.3841773  -7.1672014  -2.67230159],8.012132869215677,0.49687764562740444
[-0.76962349 -0.7518297   0.63588089],[-0.04912758  0.2021817   2.02055642],[-0.53977216 -3.63794598 -1.69589729],[-0.110281   -1.55670044  6.47027902],[0.33404694 0.28714528 0.42343284 0.37564802],[ 1.52112246  1.52127421  0.19107385 -1.57012463],[False False False],[False False False],[False False False],[False False False],[-0.46902623 -0.21255753 -0.43674524],[-0.05266508  0.20626706  2.01226559],[ 2.63809664 -2.1782254   2.17274548],[ 2.34521043 -7.12996849 -2.71469871],7.981607087076506,0.49493866412126714
