ang_vel,ang_pos,lin_vel,lin_pos,agent_aux_state,past_actions,ally_ang_vel,ally_delta_ang_pos,ally_delta_lin_vel,ally_delta_lin_pos,target_ang_vel,target_delta_ang_pos,target_delta_lin_vel,target_delta_lin_pos,target_distance,hit_probability
[-1.67857192  1.42338091  2.14681388],[-0.26150365  0.13408192  1.45266958],[-1.4866004   0.19689418 -0.47911091],[2.85369775 0.83430029 4.44932906],[0.22314873 0.31401256 0.40296911 0.18402172],[ 0.96901345 -2.73219681 -2.88228893 -0.63586199],[False False False],[False False False],[False False False],[False False False],[0.08748147 0.59888508 0.50220682],[-0.25826782  0.136722    1.45799241],[-0.08192666 -1.57580537  0.048357  ],[0.91460618 1.28328419 0.71173887],1.7291312863643988,0.7429001335868317
[-0.44018984  0.61780446  1.67900773],[-0.2658755   0.14468445  1.46670868],[-1.46881207  0.24407246 -0.50172679],[2.8515481  0.82166367 4.4465941 ],[0.47178299 0.50972916 0.3582096  0.09273363],[ 0.5442791   0.59751463 -0.38521942 -0.15945357],[False False False],[False False False],[False False False],[False False False],[0.03959307 0.34393792 0.1995809 ],[-0.26302844  0.14373606  1.46943799],[-0.1539555  -1.55704753  0.02246207],[0.94279134 1.26184714 0.729623  ],1.735933014646738,0.7438688625812291
[ 0.59632258  0.04416547 -0.40213347],[-0.26248128  0.14624112  1.46781169],[-1.45617886  0.26524479 -0.48639073],[2.849218   0.80914958 4.44390046],[0.53911473 0.53555214 0.23585527 0.06663413],[ 0.5442791   0.59751463 -0.38521942 -0.15945357],[False False False],[False False False],[False False False],[False False False],[ 0.04217719 -0.27809571 -0.61595939],[-0.25996015  0.14661487  1.47399532],[-0.18689191 -1.5613475   0.0845765 ],[0.95590797 1.26057716 0.73075489],1.7426467071149445,0.7436165233344325
[ 0.83344826 -0.43949208 -2.51946608],[-0.2580279   0.13922015  1.45148922],[-1.45027523  0.25734256 -0.47942203],[2.84670738 0.79676031 4.44124509],[0.39519564 0.39182382 0.17105493 0.05669124],[ 0.5442791   0.59751463 -0.38521942 -0.15945357],[False False False],[False False False],[False False False],[False False False],[ 0.11282122 -0.72964938 -1.01095758],[-0.25646595  0.14541622  1.46600372],[-0.1586121  -1.57009598  0.14440579],[0.94769397 1.27961972 0.7242239 ],1.7493000749322314,0.7431435639491069
[ 1.04759483 -0.48272065 -3.66472969],[-0.25346423  0.12770236  1.42452107],[-1.4484672   0.23181878 -0.51227702],[2.84409911 0.78444074 4.43831403],[0.17035551 0.26542169 0.13212739 0.14013839],[ 0.5442791   0.59751463 -0.38521942 -0.15945357],[False False False],[False False False],[False False False],[False False False],[ 0.04029128 -0.6139111  -0.83022195],[-0.25244876  0.13938333  1.44647566],[-0.08594706 -1.56439779  0.1486825 ],[0.92559902 1.3101799  0.71408098],1.7559090403810762,0.7437102496070169
[ 1.01131124 -0.11445467 -3.98243194],[-0.24824371  0.11767751  1.39243998],[-1.44655116  0.19842756 -0.56262684],[2.84144367 0.77215621 4.43491423],[0.12660518 0.12137445 0.32913502 0.44015722],[ 1.00539434 -2.33624935 -2.31149673 -0.35182393],[False False False],[False False False],[False False False],[False False False],[-0.04140066 -0.28963945 -0.34576206],[-0.24717232  0.13269238  1.41864812],[-0.00251268 -1.56001     0.17926803],[0.89468114 1.34510389 0.70484072],1.7625434114242333,0.7436009885000244
[ 0.12487106  0.63759361 -2.88654676],[-0.24835294  0.11450328  1.36501442],[-1.44020361  0.17704281 -0.5841199 ],[2.8386935  0.75994008 4.43125807],[0.11117314 0.07369037 0.47546516 0.59448333],[ 1.00539434 -2.33624935 -2.31149673 -0.35182393],[False False False],[False False False],[False False False],[False False False],[-0.13673999  0.22864661  0.49316119],[-0.24614504  0.12851329  1.38869789],[ 0.05327227 -1.55935554  0.23352106],[0.8672372  1.36953725 0.70873195],1.7691901040397415,0.7429826945809435
[-0.68507419  1.31538793 -0.79267141],[-0.25459461  0.12173749  1.3519693 ],[-1.42704479  0.1838782  -0.59149585],[2.83579368 0.74783318 4.42759784],[0.08948887 0.05894212 0.46017835 0.47948067],[ 1.00539434 -2.33624935 -2.31149673 -0.35182393],[False False False],[False False False],[False False False],[False False False],[-0.25031659  0.68641278  0.99950531],[-0.25021991  0.13032322  1.36762191],[ 0.05460902 -1.55399704  0.25510913],[0.85704117 1.37373937 0.72918558],1.7757789894300768,0.7432432438775431
[-0.72636749  1.16336338  0.69116648],[-0.26080265  0.13271647  1.35285212],[-1.41006641  0.21277155 -0.63031355],[2.83278233 0.73581172 4.42376672],[0.07731639 0.05532742 0.29566428 0.22108243],[ 1.00539434 -2.33624935 -2.31149673 -0.35182393],[False False False],[False False False],[False False False],[False False False],[-0.24684512  0.56111202  0.79948533],[-0.25430657  0.13615447  1.36125517],[ 0.01693363 -1.54013686  0.23005055],[0.86615292 1.36418418 0.75185625],1.782275846647572,0.7444835258862982
[-0.32769174  0.50964373  1.00524838],[-0.26377354  0.14069771  1.35941138],[-1.39318745  0.24738635 -0.68630558],[2.82972048 0.72383262 4.41949176],[0.34980053 0.33755248 0.31666237 0.10561297],[ 0.28620017  1.35492384 -0.2277368  -0.34070349],[False False False],[False False False],[False False False],[False False False],[-0.09458906  0.3470323   0.20852327],[-0.25594269  0.14069761  1.36440606],[-0.03745144 -1.53732413  0.24659743],[0.88463791 1.35203888 0.76758075],1.788791098724259,0.7441026821477914
[ 0.2649474  -0.27411309 -0.0249519 ],[-0.26227163  0.14062147  1.36230854],[-1.38161587  0.27094465 -0.7011492 ],[2.82656148 0.71193581 4.41496658],[0.48347448 0.48136519 0.26687079 0.06824185],[ 0.28620017  1.35492384 -0.2277368  -0.34070349],[False False False],[False False False],[False False False],[False False False],[ 0.17741672  0.04052551 -0.86729821],[-0.25567253  0.1398953   1.37248905],[-0.07764554 -1.55081287  0.32583005],[0.90053981 1.34817911 0.77119217],1.7953540722147643,0.7417423592886769
[ 0.72144888 -0.73962983 -1.78661509],[-0.25838099  0.13242342  1.35249855],[-1.37714903  0.27197775 -0.6976254 ],[2.82326238 0.70015757 4.41037123],[0.40305138 0.41064714 0.1852124  0.05466855],[ 0.28620017  1.35492384 -0.2277368  -0.34070349],[False False False],[False False False],[False False False],[False False False],[ 0.2294141  -0.29966061 -1.07513079],[-0.25368404  0.13405366  1.37181922],[-0.0636571  -1.55434311  0.36747351],[0.90056322 1.3600774  0.76551288],1.8018975082316728,0.7407832721838388
[ 1.02471618 -0.76472798 -2.96515964],[-0.2530963   0.12009912  1.3319638 ],[-1.37743922  0.25519263 -0.72381318],[2.8198672  0.68846081 4.40552407],[0.1925781  0.30038943 0.09956936 0.12055254],[ 0.28620017  1.35492384 -0.2277368  -0.34070349],[False False False],[False False False],[False False False],[False False False],[ 0.18986759 -0.27118708 -0.80875   ],[-0.25007733  0.12412721  1.35863253],[-0.00610754 -1.5431532   0.35977611],[0.8858538  1.38412365 0.75479149],1.8083819965586048,0.7416910535597188
[ 1.02352559 -0.04868238 -3.26022151],[-0.24684026  0.11086947  1.30578582],[-1.3764011   0.23048978 -0.73683527],[2.81639209 0.6768306  4.40036794],[0.44895678 0.47741244 0.56038267 0.68799835],[ 0.98958957 -2.11206293 -2.23273778 -0.50991321],[False False False],[False False False],[False False False],[False False False],[ 0.12638113 -0.11142729 -0.18394644],[-0.24507194  0.11635769  1.33583164],[ 0.06337522 -1.52648481  0.35537877],[0.86081889 1.41302907 0.7456048 ],1.8148241834238898,0.7429510891351756
