step_count,agent_id,ang_vel,ang_pos,lin_vel,lin_pos,agent_aux_state,past_actions,ally_ang_vel,ally_delta_ang_pos,ally_delta_lin_vel,ally_delta_lin_pos,target_ang_vel,target_delta_ang_pos,target_delta_lin_vel,target_delta_lin_pos,target_distance,hit_probability
5,0,[ 1.6885776   1.65238422 -0.48932238],[-0.43322529  0.07610258 -2.55770082],[ 0.11749432  1.38885584 -0.42119942],[4.05488451 4.63907128 2.94009545],[0.31593956 0.32388061 0.34972387 0.29265817],[-2.86083674 -1.7676568  -0.32219234 -0.48651507],[False False False],[False False False],[False False False],[False False False],[0.23922624 0.45244583 0.09133752],[-0.42835021  0.08408328 -2.55465357],[0.83815282 0.81872562 0.82726561],[ 6.50051188  0.26564472 -0.0876921 ],6.5065283960768925,0.7593213299032646
5,0,[ 1.77167854  1.12708973 -0.46051574],[-0.41899006  0.08420445 -2.56573299],[ 0.12292888  1.41712108 -0.46687161],[4.05961901 4.63120435 2.93178978],[0.20303897 0.1379707  0.20917206 0.14489752],[-2.86083674 -1.7676568  -0.32219234 -0.48651507],[False False False],[False False False],[False False False],[False False False],[0.39550929 0.50624352 0.24072454],[-0.41763442  0.08756872 -2.56454121],[0.83835671 0.81356623 0.9196556 ],[ 6.49904045  0.27877496 -0.01878507],6.505043817564539,0.751996288292879
5,0,[ 1.57566312  0.63142981 -0.41903696],[-0.40593696  0.08850249 -2.571606  ],[ 0.12792004  1.44389049 -0.52982364],[4.0643916  4.62324554 2.92301487],[0.31162511 0.27235793 0.32481181 0.31034917],[-2.86083674 -1.7676568  -0.32219234 -0.48651507],[False False False],[False False False],[False False False],[False False False],[0.26292653 0.3281803  0.22038907],[-0.40702429  0.08877261 -2.57237631],[0.8475843  0.84365965 0.93004094],[6.4970139  0.29063913 0.02190982],6.503548320490946,0.7511129379944301
6,0,[ 1.31609294  0.43415794 -0.3070883 ],[-0.39483383  0.09092166 -2.57561389],[ 0.13335672  1.47021446 -0.57832056],[4.06922172 4.61513923 2.91390842],[0.14263808 0.13599809 0.15634257 0.16254641],[-2.9348557  -1.76456141 -0.37055725 -0.41738412],[False False False],[False False False],[False False False],[False False False],[0.09863971 0.1503941  0.07390881],[-0.39716156  0.08949665 -2.57746323],[0.86006538 0.87285604 0.9354443 ],[6.49510024 0.29695059 0.0467994 ],6.502053291433194,0.7499768776089597
6,0,[ 1.25064306  0.47087808 -0.24044365],[-0.38477686  0.0935584  -2.57905768],[ 0.14005469  1.49542787 -0.64353926],[4.07407803 4.60696016 2.90429514],[0.26709202 0.30524628 0.3039643  0.28182428],[-2.9348557  -1.76456141 -0.37055725 -0.41738412],[False False False],[False False False],[False False False],[False False False],[-0.10013628 -0.26985933 -0.11841802],[-0.386415    0.0934367  -2.58007371],[0.86246206 0.85499639 1.04967078],[6.49317722 0.29950556 0.07248553],6.500485225973196,0.7415802653874702
6,0,[ 1.46177161  0.53683476 -0.22364975],[-0.37337888  0.09688807 -2.58240823],[ 0.14776639  1.51895068 -0.65671701],[4.07900077 4.59859123 2.89447407],[0.46605051 0.51131031 0.48326014 0.47875557],[-2.9348557  -1.76456141 -0.37055725 -0.41738412],[False False False],[False False False],[False False False],[False False False],[-0.25158145 -0.61236002 -0.19548205],[-0.37297523  0.10152305 -2.5817436 ],[0.86843459 0.85732029 1.11659857],[6.49106722 0.3000471  0.10239146],6.498804964492712,0.734819296594114
6,0,[ 1.60944644  0.74004131 -0.31527155],[-0.36040101  0.10160355 -2.58682403],[ 0.15563654  1.54134397 -0.62596426],[4.08405153 4.58984139 2.88494397],[0.36116442 0.38415664 0.35606945 0.37245755],[-2.9348557  -1.76456141 -0.37055725 -0.41738412],[False False False],[False False False],[False False False],[False False False],[-0.18097202 -0.53647305 -0.16853079],[-0.35837028  0.11098116 -2.58468211],[0.88696217 0.9161718  1.04009585],[6.48840286 0.3046438  0.14190241],6.497100569266228,0.7372839135926398
7,0,[ 1.43485261  0.32595226 -0.36564285],[-0.34841194  0.1051483  -2.5913335 ],[ 0.16234294  1.56321987 -0.63148726],[4.08918764 4.58081736 2.87544754],[0.47880015 0.33391332 0.45518253 0.31932844],[-3.0456779  -1.76362896 -0.31408209 -0.54191601],[False False False],[False False False],[False False False],[False False False],[-0.06338092 -0.28571163 -0.08002339],[-0.34550362  0.11759112 -2.58826283],[0.901207   0.95810968 1.0022348 ],[6.48549517 0.31320529 0.17408831],6.495386974945412,0.7378162416529973
7,0,[ 1.30600991 -0.93515969 -0.47451187],[-0.3376512   0.09773817 -2.59274689],[ 0.16089554  1.58527372 -0.63504645],[4.09440149 4.57151884 2.86600281],[0.34734903 0.35462483 0.3383254  0.33533643],[-3.0456779  -1.76362896 -0.31408209 -0.54191601],[False False False],[False False False],[False False False],[False False False],[0.14798984 0.25118581 0.11197489],[-0.3358546   0.10928416 -2.59013098],[0.91096198 0.97667214 1.03096182],[6.48402408 0.32667113 0.13290814],6.4936081513391635,0.7331593583421101
7,0,[ 1.31083744 -0.65090868 -0.57786177],[-0.32704659  0.08999061 -2.59494183],[ 0.15749986  1.60634578 -0.65984886],[4.099673   4.56201029 2.85645407],[0.27274464 0.38440321 0.28536252 0.34580011],[-3.0456779  -1.76362896 -0.31408209 -0.54191601],[False False False],[False False False],[False False False],[False False False],[0.35543816 0.51998774 0.1556445 ],[-0.32805024  0.09735247 -2.59359228],[0.9165913  0.99101019 1.07689593],[6.48195992 0.3443688  0.09150303],6.491746074236921,0.7280504745320608
7,0,[ 1.52315412  0.31049481 -0.62879769],[-0.31529117  0.08870796 -2.60008287],[ 0.156808    1.6256032  -0.67636681],[4.10500202 4.5523011  2.84679992],[0.37049099 0.47367979 0.4031524  0.4813348 ],[-3.0456779  -1.76362896 -0.31408209 -0.54191601],[False False False],[False False False],[False False False],[False False False],[0.30526576 0.44441967 0.10857653],[-0.31901338  0.09217734 -2.59976027],[0.92439039 1.03816685 1.03022958],[6.47884269 0.36627348 0.09464785],6.4898780496442425,0.7293712703324804
8,0,[ 0.82283059  1.44332329 -0.40972999],[-0.30608762  0.09700672 -2.60701049],[ 0.16384724  1.64588269 -0.64003221],[4.11041978 4.54228363 2.83738716],[0.51003697 0.43361576 0.44315168 0.60585829],[-2.98153186 -1.67563152 -0.40275133 -0.48739803],[False False False],[False False False],[False False False],[False False False],[0.11177319 0.21008754 0.03397339],[-0.31130715  0.09800045 -2.60718655],[0.93379709 1.08813314 0.96235683],[6.47487386 0.38025867 0.16008291],6.488005446643662,0.7308622344163134
8,0,[-0.40220726  1.64062599 -0.03757141],[-0.30937782  0.11055177 -2.61212745],[ 0.17888274  1.67269524 -0.59507537],[4.11592697 4.53192684 2.82833335],[0.24043931 0.22931115 0.3199075  0.23612347],[-2.98153186 -1.67563152 -0.40275133 -0.48739803],[False False False],[False False False],[False False False],[False False False],[-0.39088687 -0.35404721 -0.22136968],[-0.31217669  0.11339393 -2.61101523],[0.94202264 1.09012938 1.01760618],[6.47025727 0.37081925 0.25892006],6.486044688549694,0.7250874001259106
8,0,[0.06086141 1.03753437 0.11694546],[-0.31035304  0.12017385 -2.61437483],[ 0.19556896  1.69795876 -0.63252916],[4.12146139 4.52144496 2.8189723 ],[0.1834213  0.22322392 0.27830374 0.11052825],[-2.98153186 -1.67563152 -0.40275133 -0.48739803],[False False False],[False False False],[False False False],[False False False],[-0.20250318 -0.48777392 -0.20937809],[-0.31097531  0.12702167 -2.61139241],[0.94846337 1.07136022 1.12641297],[6.46615118 0.35126479 0.32798151],6.483985650229032,0.7177880791681454
8,0,[0.92208162 0.52137719 0.03256406],[-0.30497496  0.12555345 -2.61537363],[ 0.21029097  1.71921754 -0.66770785],[4.12701478 4.51085405 2.80924413],[0.41102991 0.4718616  0.46849966 0.32966861],[-2.98153186 -1.67563152 -0.40275133 -0.48739803],[False False False],[False False False],[False False False],[False False False],[-0.03845601 -0.39610902 -0.1257044 ],[-0.30500518  0.1359198  -2.61119765],[0.96867852 1.09030794 1.11860833],[6.46289567 0.33451994 0.36637849],6.481909994911021,0.7174504682559009
