time/fps,time/total_timesteps,time/time_elapsed,rew_vec_envs,time/iterations,train/clip_range,train/approx_kl,train/loss,train/std,train/learning_rate,train/clip_fraction,train/n_updates,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/entropy_loss
466,4947968,1616,2431.988338470459,23,0.2,0.010993351,2337.101318359375,0.42936551570892334,0.001,0.0994110107421875,1500,12775.443926239013,-0.009619838762955624,0.5755214691162109,-2.278201709315181
466,4980736,1687,2302.7395844459534,24,0.2,0.013258725,2014.5980224609375,0.427014023065567,0.001,0.1155120849609375,1510,12073.302741241456,-0.011522232706920477,0.5546678006649017,-2.2611375357955694
465,5013504,1758,1780.1152057647705,25,0.2,0.010822859,2540.873291015625,0.42579105496406555,0.001,0.0967041015625,1520,13637.98530960083,-0.009997801071585854,0.550316333770752,-2.2463159929960965
465,5046272,1830,1906.8442687988281,26,0.2,0.010304633,2514.592529296875,0.42328909039497375,0.001,0.0919342041015625,1530,15592.9262008667,-0.010469988721888512,0.4999579191207886,-2.2277030911296607
465,5079040,1902,2083.604106903076,27,0.2,0.011457674,2098.922607421875,0.42087259888648987,0.001,0.09476318359375,1540,12679.15456237793,-0.01046150895235769,0.5568393766880035,-2.2065396387130023
464,5111808,1974,2104.25532913208,28,0.2,0.0119224,2616.7646484375,0.41931596398353577,0.001,0.105084228515625,1550,13311.885794448852,-0.010226572831379599,0.49312472343444824,-2.187241182103753
464,5144576,2047,1557.382375717163,29,0.2,0.012009239,2088.19775390625,0.41814863681793213,0.001,0.10699462890625,1560,14734.436978149413,-0.010353914309234824,0.51634681224823,-2.1726621624082325
463,5177344,2120,1826.2690105438232,30,0.2,0.013213048,2630.0712890625,0.4152834415435791,0.001,0.112518310546875,1570,13561.809641647338,-0.01144061296072323,0.5016819834709167,-2.152101871743798
463,5210112,2193,1695.941948890686,31,0.2,0.012719672,1981.9576416015625,0.41557013988494873,0.001,0.1087799072265625,1580,13268.642184829712,-0.010209276532623334,0.536652684211731,-2.1418610766530035
462,5242880,2267,2276.0387573242188,32,0.2,0.01330911,2437.59716796875,0.41407331824302673,0.001,0.116229248046875,1590,14439.749659729005,-0.010874895127199125,0.5227771699428558,-2.135582435503602
