time/time_elapsed,time/total_timesteps,rew_vec_envs,time/fps,time/iterations,train/explained_variance,train/value_loss,train/approx_kl,train/learning_rate,train/std,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/loss,train/n_updates
1473,557056,-650.7619333267212,378,17,0.1766994595527649,4333.360992431641,0.005248473,0.001,0.9523974061012268,0.03536376953125,-0.0059868736163480206,-5.4857592523097995,0.2,1929.980712890625,160
1561,589824,-669.70241355896,377,18,0.1842929720878601,4415.130859375,0.004932717,0.001,0.9521068930625916,0.031390380859375,-0.006087031985225621,-5.478820309042931,0.2,2203.755126953125,170
1649,622592,-661.6906213760376,377,19,0.18260955810546875,4215.5303756713865,0.0055584083,0.001,0.9476388692855835,0.0368621826171875,-0.006374949715245748,-5.4675696194171906,0.2,2053.333251953125,180
1735,655360,-630.0533676147461,377,20,0.18791311979293823,4036.265115356445,0.0056990376,0.001,0.9407832622528076,0.038360595703125,-0.006683335651905509,-5.443488848209381,0.2,1775.395751953125,190
1822,688128,-618.1066493988037,377,21,0.17254561185836792,4330.436671447754,0.0046648276,0.001,0.9401788711547852,0.0295684814453125,-0.00524919192539528,-5.428482222557068,0.2,2138.63427734375,200
1907,720896,-629.1908740997314,377,22,0.19592326879501343,4045.410789489746,0.004963867,0.001,0.9353545904159546,0.032171630859375,-0.005693161302042426,-5.416327026486397,0.2,1832.174560546875,210
1996,753664,-582.025908946991,377,23,0.1977078914642334,4041.979699707031,0.0050139064,0.001,0.9291673898696899,0.0325836181640625,-0.0057887470153218604,-5.392501223087311,0.2,2070.9130859375,220
2085,786432,-695.1791076660156,377,24,0.2016240358352661,4082.846189880371,0.0048125586,0.001,0.927252471446991,0.0280670166015625,-0.005345060493709752,-5.37711378633976,0.2,1902.9271240234375,230
2171,819200,-571.7335748672485,377,25,0.1933801770210266,3801.1384719848634,0.0053691454,0.001,0.9263188242912292,0.0392822265625,-0.006641699590545613,-5.37169169485569,0.2,1758.62939453125,240
2258,851968,-629.0387687683105,377,26,0.21039676666259766,3742.836015319824,0.0049856273,0.001,0.9245281219482422,0.0322540283203125,-0.005779507548140828,-5.364456605911255,0.2,1702.3736572265625,250
2343,884736,-610.189334154129,377,27,0.2082587480545044,3732.8791381835936,0.0051433523,0.001,0.9200130701065063,0.036834716796875,-0.005926616232318338,-5.350248461961746,0.2,1693.6280517578125,260
2433,917504,-544.8271617889404,377,28,0.19656091928482056,3764.242510986328,0.0055671837,0.001,0.9193129539489746,0.0357391357421875,-0.006537851519533433,-5.341115814447403,0.2,1765.06591796875,270
2521,950272,-658.4427509307861,376,29,0.2160382866859436,3831.9347747802735,0.0054288763,0.001,0.9118262529373169,0.041424560546875,-0.006262549293751363,-5.31999925673008,0.2,1653.1741943359375,280
2605,983040,-586.2558507919312,377,30,0.2176712155342102,3812.512335205078,0.005233081,0.001,0.9089715480804443,0.036956787109375,-0.006487501616356894,-5.300256237387657,0.2,1695.434326171875,290
2694,1015808,-656.5295238494873,377,31,0.21410107612609863,3645.2087265014648,0.0054557016,0.001,0.904143750667572,0.0364501953125,-0.005971289621083997,-5.280473598837853,0.2,1514.6307373046875,300
2778,1048576,-561.6730632781982,377,32,0.20498985052108765,3544.6333587646486,0.005730572,0.001,0.9003415107727051,0.0386138916015625,-0.006371833458251786,-5.262930521368981,0.2,1516.2662353515625,310
2868,1081344,-699.4024305343628,377,33,0.1894492506980896,3303.1227493286133,0.0055062454,0.001,0.9003000259399414,0.0395965576171875,-0.006487107551220106,-5.254001495242119,0.2,1502.855712890625,320
2957,1114112,-748.8655271530151,376,34,0.19423037767410278,3433.688766479492,0.0053607267,0.001,0.8953844308853149,0.03677978515625,-0.006238779131672345,-5.242038080096245,0.2,1514.3699951171875,330
3046,1146880,-705.2880525588989,376,35,0.16351956129074097,3594.3229568481447,0.004835638,0.001,0.8962558507919312,0.0352264404296875,-0.005497001409094082,-5.236600908637047,0.2,1540.1209716796875,340
3135,1179648,-607.3440618515015,376,36,0.1938025951385498,3383.1429748535156,0.005328753,0.001,0.8935991525650024,0.0340728759765625,-0.005869436252396554,-5.231631419062614,0.2,1425.677490234375,350
