time/total_timesteps,time/fps,time/time_elapsed,rew_vec_envs,time/iterations,train/explained_variance,train/std,train/clip_range,train/loss,train/approx_kl,train/n_updates,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss
196608,623,315,131.51046562194824,12,0.4222937226295471,0.9693795442581177,0.2,105.89179992675781,0.006005875,110,-5.551244825124741,106.47579629421234,0.0001,0.05318603515625,-0.00407766168609669
212992,624,341,134.56431007385254,13,0.7082190811634064,0.9680060148239136,0.2,18.61528778076172,0.005151294,120,-5.547635997831821,40.91625225543976,0.0001,0.037255859375,-0.003664785450382624
229376,624,367,108.43843841552734,14,0.4992069602012634,0.9679975509643555,0.2,29.130556106567383,0.0040758858,130,-5.5446113988757135,122.67991030216217,0.0001,0.026934814453125,-0.002439481986948522
245760,623,394,124.78555870056152,15,0.2605046033859253,0.9680730104446411,0.2,17.141246795654297,0.0060051437,140,-5.5448361068964,365.9145332336426,0.0001,0.063482666015625,-0.0038711011333361967
262144,621,422,143.16685485839844,16,0.6289277076721191,0.9670003056526184,0.2,22.417896270751953,0.0045457324,150,-5.54291924238205,80.83561326265335,0.0001,0.035760498046875,-0.0034342629580351057
278528,619,449,134.2569751739502,17,0.39410948753356934,0.9676879048347473,0.2,32.37420654296875,0.004606262,160,-5.541649989783764,332.42762998342516,0.0001,0.039642333984375,-0.002769399545650231
294912,617,477,197.03351879119873,18,0.8367659896612167,0.9675503969192505,0.2,24.975114822387695,0.0057788035,170,-5.542943130433559,49.33785213232041,0.0001,0.05198974609375,-0.004291252744224039
311296,616,505,157.71632862091064,19,0.36814820766448975,0.9676503539085388,0.2,49.714637756347656,0.0060784933,180,-5.542623269557953,463.87020859718325,0.0001,0.044940185546875,-0.0037466204037627905
327680,614,533,170.02566051483154,20,0.8350136429071426,0.9675638675689697,0.2,22.95486068725586,0.0044361195,190,-5.543328024446964,50.624718779325484,0.0001,0.03316650390625,-0.0027722971146431517
344064,612,561,152.62579441070557,21,0.41136032342910767,0.9669395089149475,0.2,435.06964111328125,0.0053325146,200,-5.540672037005424,611.5330120801925,0.0001,0.031951904296875,-0.0020210940741890227
360448,610,590,198.00352096557617,22,0.7635815441608429,0.9673887491226196,0.2,29.8382625579834,0.0055434303,210,-5.540891261398793,103.11688315868378,0.0001,0.047039794921875,-0.003869070501968963
376832,608,618,161.60860061645508,23,0.7872789949178696,0.965747058391571,0.2,54.60255432128906,0.0055964803,220,-5.537875945866108,149.44977601766587,0.0001,0.04776611328125,-0.002828554612096923
393216,606,647,151.1095733642578,24,0.5764708518981934,0.9630512595176697,0.2,28.14240074157715,0.005730915,230,-5.529493625462055,370.2874745130539,0.0001,0.045892333984375,-0.002757869510878663
409600,605,676,215.1605339050293,25,0.49041175842285156,0.9619181156158447,0.2,820.3233032226562,0.0049141645,240,-5.521284180879593,527.1178488492966,0.0001,0.0425537109375,-0.002114660728329909
425984,603,705,151.48637866973877,26,0.595695972442627,0.9624541997909546,0.2,54.26515579223633,0.006721019,250,-5.519838602840901,374.44115097522734,0.0001,0.056378173828125,-0.0024345303056179544
442368,602,734,155.7294569015503,27,0.7013316452503204,0.9612009525299072,0.2,134.1417236328125,0.006230405,260,-5.518681877851487,253.49133373498915,0.0001,0.0566162109375,-0.003519318308099173
458752,601,762,186.10703468322754,28,0.8075188398361206,0.9599999189376831,0.2,70.4448471069336,0.0056361724,270,-5.513395547866821,153.12377134561538,0.0001,0.053607177734375,-0.0035509508499671936
475136,601,790,322.7899570465088,29,0.7628901451826096,0.9586687684059143,0.2,249.079833984375,0.005445627,280,-5.50813629180193,251.6793359041214,0.0001,0.04832763671875,-0.003151909909411188
491520,600,817,156.07399654388428,30,0.8362282514572144,0.9567153453826904,0.2,45.71613311767578,0.0048157834,290,-5.501442892849445,149.7107688307762,0.0001,0.051123046875,-0.002720670180497109
507904,600,846,157.7019920349121,31,0.6208312511444092,0.9559358954429626,0.2,358.5660705566406,0.0058991564,300,-5.495417782664299,470.10373463630674,0.0001,0.059375,-0.0032059387012850493
524288,599,873,192.3074712753296,32,0.5357027649879456,0.9537957906723022,0.2,376.7470703125,0.005268899,310,-5.489738312363625,696.9974152803421,0.0001,0.0472900390625,-0.0026456049763510237
540672,599,901,214.31940269470215,33,0.594329297542572,0.9512329697608948,0.2,461.2198181152344,0.0068205153,320,-5.479588390886784,611.4643931150437,0.0001,0.069146728515625,-0.0025330030715849717
557056,599,929,385.9940414428711,34,0.6612963080406189,0.9492350816726685,0.2,199.46205139160156,0.004774856,330,-5.46954175978899,436.41131875514986,0.0001,0.044464111328125,-0.002612939735263353
573440,598,957,222.55126857757568,35,0.42532461881637573,0.9496122598648071,0.2,824.8550415039062,0.0055375057,340,-5.466223280131817,1508.6466105937957,0.0001,0.053741455078125,-0.0024342295018868754
589824,598,985,300.682279586792,36,0.6914497017860413,0.9501083493232727,0.2,124.04989624023438,0.005132787,350,-5.468716086447239,460.14468562602997,0.0001,0.051422119140625,-0.002556859064861783
606208,598,1013,160.92494106292725,37,0.7008808553218842,0.9493614435195923,0.2,313.1432189941406,0.005390145,360,-5.468217584490776,493.40116679668427,0.0001,0.0453369140625,-0.001794056105427444
622592,597,1041,263.63298320770264,38,0.6699682176113129,0.9467644691467285,0.2,100.50029754638672,0.0056205774,370,-5.460593037307262,533.0977288722992,0.0001,0.06412353515625,-0.004121801921792212
638976,598,1067,194.27302408218384,39,0.5556797683238983,0.9456115961074829,0.2,227.59268188476562,0.0045131035,380,-5.452416510879994,1010.2385272979736,0.0001,0.044805908203125,-0.0025749860786163483
655360,598,1094,331.2098274230957,40,0.5300487279891968,0.9452603459358215,0.2,415.305908203125,0.0047954065,390,-5.449311949312687,1019.7914338588714,0.0001,0.049560546875,-0.0021527992821575026
671744,599,1120,195.6761827468872,41,0.6234188377857208,0.9431226253509521,0.2,184.76498413085938,0.005355105,400,-5.444167801737786,858.4941076278686,0.0001,0.0479736328125,-0.0023339428025792586
688128,600,1146,208.73743200302124,42,0.6682784557342529,0.9398478269577026,0.2,102.91793060302734,0.006585918,410,-5.432132226228714,577.2056117296219,0.0001,0.05628662109375,-0.0032256414826406397
704512,600,1172,230.703462600708,43,0.613646924495697,0.9385817050933838,0.2,485.583740234375,0.0047298544,420,-5.422694806754589,982.7677600860595,0.0001,0.0375244140625,-0.0018263304278661962
720896,601,1198,248.51397323608398,44,0.5722209215164185,0.9379956126213074,0.2,455.861328125,0.005110991,430,-5.418357317149639,1214.011152601242,0.0001,0.0450927734375,-0.0020555639541271374
