ang_vel,ang_pos,lin_vel,lin_pos,agent_aux_state,past_actions,ally_ang_vel,ally_delta_ang_pos,ally_delta_lin_vel,ally_delta_lin_pos,target_ang_vel,target_delta_ang_pos,target_delta_lin_vel,target_delta_lin_pos,target_distance,hit_probability
[-0.50071926 -0.02262272 -0.13214409],[ 0.15061767 -0.38768231 -0.07168534],[-2.69015544 -1.93430449  0.65601432],[10.68805474  5.98052808  1.17767054],[0.19872356 0.24974547 0.23994307 0.23115454],[-5.  -2.   0.   0.8],[ 1.18529761 -0.1673063   0.03654464],[ 0.43496143 -0.67735189 -0.03281647],[ 4.50062944  4.4957     -2.60429564],[-2.47734085  2.1624085   0.5878255 ],[-0.02024824  0.34689459 -0.09927533],[ 0.14972399 -0.38171891 -0.07634957],[ 2.1208375   1.86950627 -1.83952215],[-0.98994087  3.93710273 -0.46018759],4.085649698122213,0.5622304787401596
[-0.07826656  0.66485859  0.30642932],[ 0.20930557 -0.17400052 -0.02013155],[-2.37857376 -2.21108636  0.74005205],[2.6879102  2.80616082 1.23266296],[0.2727944  0.20223998 0.21849862 0.24736265],[-3.  -3.   0.   0.8],[ 1.40719786  0.55287478 -0.43603888],[ 0.4828865  -0.46632647  0.0223308 ],[ 4.75323078  4.60886228 -1.81433126],[ 5.31903727  5.19058868 -2.22374771],[-0.07378489 -0.20295197 -0.16694315],[ 0.204472   -0.16917091 -0.01537946],[ 2.15708572  1.97299404 -1.60121059],[-2.64630066 -2.75946183  0.74681407],3.895544635392749,0.5669205339256969
[ 1.40719786  0.55287478 -0.43603888],[-0.27358093  0.29232595 -0.04246235],[2.54170722 2.57609637 0.75818602],[8.22690552 8.23511807 1.073364  ],[0.71455018 0.70419207 0.66033201 0.69388244],[4.  4.  0.  0.8],[-0.15742326  0.15263841 -0.06120123],[-0.42212035  0.67904472  0.02984749],[-4.81738212 -4.14433599 -2.78886967],[ 2.39635086 -2.30637124  0.20858486],[ 0.03659596  0.30312378 -0.04240636],[-0.27469127  0.29565332 -0.04669633],[-2.10207313 -2.18854046 -2.11815423],[1.67232911 1.67640067 0.83665359],2.511372748160514,0.5302515160621815
[-0.15742326  0.15263841 -0.06120123],[ 0.14853942 -0.38671877 -0.07230983],[-2.71923274 -1.94836292  0.64744215],[10.6648909   5.96533998  1.17179219],[0.51154516 0.55419135 0.57342013 0.54330929],[-5.  -2.   0.   0.8],[ 1.40719786  0.55287478 -0.43603888],[ 0.42212035 -0.67904472 -0.02984749],[ 4.59872384  4.57939132 -2.45792586],[-2.44104012  2.19610581  0.56903058],[ 0.03659596  0.30312378 -0.04240636],[ 0.14742908 -0.3833914  -0.07654382],[ 2.12854218  1.88300946 -1.88983646],[-0.96978558  3.95367451 -0.45730049],4.096480186135024,0.559272453221225
[-0.43265635  0.47041194  0.24199677],[ 0.20582667 -0.17023935 -0.01703288],[-2.39955571 -2.22364279  0.67009737],[2.6675971  2.78722925 1.23106481],[0.1856434  0.10222679 0.1033349  0.12057989],[-3.  -3.   0.   0.8],[ 0.54894563  0.19527219 -0.67938983],[ 0.47445806 -0.46457674  0.03203021],[ 4.83074425  4.69799949 -1.59370939],[ 5.3802002   5.2238547  -2.20403033],[ 0.00884476 -0.02047788 -0.09648397],[ 0.20121304 -0.16460534 -0.01126573],[ 2.19291315  1.98988316 -1.56599708],[-2.63577203 -2.73734434  0.72103143],3.8678462445861577,0.5660616019510467
[ 0.54894563  0.19527219 -0.67938983],[-0.26863138  0.29433738 -0.04906308],[2.54616198 2.61737622 0.89727625],[8.24863839 8.25700948 1.0684483 ],[0.4507234  0.27811261 0.38838391 0.3734374 ],[4.  4.  0.  0.8],[0.21493952 0.19962366 0.17413689],[-0.41825062  0.67955486  0.0218847 ],[-4.80438024 -4.22334862 -2.84341353],[ 2.36678666 -2.32606849  0.21004547],[-0.01212348  0.14405748 -0.00144009],[-0.26989335  0.29597346 -0.05318417],[-2.03140784 -2.20790032 -2.29174863],[1.63893638 1.6697487  0.82335262],2.480339230995901,0.5239853226675191
[0.21493952 0.19962366 0.17413689],[ 0.14961923 -0.38521747 -0.07094778],[-2.75233444 -1.9548244   0.74023878],[10.64122746  5.94999709  1.16644959],[0.46733092 0.46871213 0.48467783 0.4887467 ],[-5.  -2.   0.   0.8],[ 0.54894563  0.19527219 -0.67938983],[ 0.41825062 -0.67955486 -0.0218847 ],[ 4.65649785  4.62496753 -2.43525084],[-2.40005471  2.23708538  0.53998079],[-0.01212348  0.14405748 -0.00144009],[ 0.14835726 -0.38358139 -0.07506886],[ 2.11208604  1.86562556 -2.02836776],[-0.94228716  3.97014628 -0.47169919],4.107610826199247,0.5543898621487269
[-0.76486386  0.08181725  0.04530167],[ 0.20011092 -0.1685687  -0.01565498],[-2.41574708 -2.24030155  0.6264648 ],[2.64724612 2.76824927 1.22905346],[0.59878194 0.534064   0.53056745 0.51172151],[-3.  -3.   0.   0.8],[-0.27124477 -0.80205379 -0.56604639],[ 0.47080631 -0.45675262  0.03718191],[ 4.87174985  4.75452869 -1.54605992],[ 5.43015357  5.26942261 -2.18298325],[-0.07482097  0.34889186  0.14662098],[ 0.19559851 -0.16531296 -0.01069633],[ 2.23101641  2.03281117 -1.45379564],[-2.61986033 -2.71999612  0.69558575],3.840037311037265,0.5646309026704651
[-0.27124477 -0.80205379 -0.56604639],[-0.27069539  0.28818392 -0.05283689],[2.55975308 2.64938208 0.88177473],[8.2705922  8.27909275 1.06358094],[0.28731123 0.12990807 0.28660687 0.25412743],[4.  4.  0.  0.8],[0.06759129 0.2260571  0.29523167],[-0.42040318  0.67190694  0.01534304],[-4.85292024 -4.28757323 -2.81184363],[ 2.33759757 -2.34918301  0.17307608],[ 0.04740986 -0.17449989  0.14276587],[-0.27188778  0.29095926 -0.05780711],[-2.06428918 -2.26595633 -2.22668115],[1.6132142  1.65536953 0.80925769],2.4490010899445953,0.5211981007076139
[0.06759129 0.2260571  0.29523167],[ 0.14970778 -0.38372302 -0.06817993],[-2.78803509 -1.95795205  0.76253693],[10.61717786  5.93453509  1.16137517],[0.24490645 0.20144232 0.19722961 0.25139332],[-5.  -2.   0.   0.8],[-0.27124477 -0.80205379 -0.56604639],[ 0.42040318 -0.67190694 -0.01534304],[ 4.70094295  4.64157194 -2.48948365],[-2.3556039   2.28098618  0.51108796],[ 0.04740986 -0.17449989  0.14276587],[ 0.1485154  -0.38094769 -0.07315015],[ 2.16673631  1.86698475 -2.00634865],[-0.90913208  3.98806019 -0.48451432],4.118968240820552,0.5508842823906309
