time/time_elapsed,time/fps,time/iterations,time/total_timesteps,rew_vec_envs,train/explained_variance,train/approx_kl,train/loss,train/entropy_loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/std,train/clip_fraction,train/value_loss,train/learning_rate
768,426,20,327680,-0.04926452215295285,0.676497757434845,0.008358931,0.003719854634255171,-5.307640919089318,190,0.2,-0.0011098765113274566,0.9135029315948486,0.107220458984375,0.0011235365425704912,0.0001
799,430,21,344064,-0.19870685297064483,0.660500556230545,0.011357709,-0.01333482563495636,-5.298689153790474,200,0.2,-0.0022600266283916426,0.9124637246131897,0.122979736328125,0.0014386871723218065,0.0001
831,433,22,360448,-0.08637233008630574,0.7258513271808624,0.012726378,-0.004018837120383978,-5.271515436843037,210,0.2,-0.0035475868320645533,0.9042115211486816,0.1299560546875,0.0011373767810027857,0.0001
863,436,23,376832,-0.03896086383610964,0.5699033737182617,0.010856597,0.014484119601547718,-5.250699009373784,220,0.2,-0.0012799085136066424,0.9029656052589417,0.130731201171875,0.0011075564739030596,0.0001
896,438,24,393216,-0.08617944945581257,0.6116670370101929,0.010554451,-0.005986829753965139,-5.27148199826479,230,0.2,-0.0027349863587005528,0.9112205505371094,0.13265380859375,0.0010336013562437074,0.0001
929,440,25,409600,-0.08746729302220047,0.6385810673236847,0.011256025,-0.010384876281023026,-5.277901400998235,240,0.2,-0.0006123509079770884,0.9082509279251099,0.1173583984375,0.0008795925622393952,0.0001
962,442,26,425984,-0.27251201402395964,0.6538553833961487,0.012128752,-0.003094129730015993,-5.259460224211216,250,0.2,-0.0022453716679592616,0.9040932059288025,0.132958984375,0.0008666231013194192,0.0001
995,444,27,442368,-0.10939315869472921,0.6467499136924744,0.010335756,0.0031455422285944223,-5.252345380187035,260,0.2,-0.0002468383418090525,0.9044593572616577,0.125152587890625,0.0010236710221761315,0.0001
1028,446,28,458752,-0.14514661231078207,0.7438490986824036,0.010713594,-0.009929725900292397,-5.228554750606418,270,0.2,-0.0005877815547137288,0.8962912559509277,0.12996826171875,0.0007292591247960445,0.0001
1060,447,29,475136,0.025664960965514183,0.7114817500114441,0.0095594525,0.0007456280873157084,-5.2130096040666105,280,0.2,-0.0008703264053110616,0.8967638611793518,0.130560302734375,0.0006964933547578767,0.0001
1093,449,30,491520,0.03441937197931111,0.6640975773334503,0.011661415,-0.03147235885262489,-5.206684136018157,290,0.2,-0.003893942442300613,0.8948560953140259,0.146270751953125,0.0005387988009829314,0.0001
1126,450,31,507904,-0.17647781665436924,0.7130624651908875,0.0111042205,0.013773752376437187,-5.199046626314521,300,0.2,0.00015273420758603605,0.8933260440826416,0.1398193359375,0.0006007807158482592,0.0001
1159,452,32,524288,-0.005571650108322501,0.6195433735847473,0.011036666,-0.008954811841249466,-5.190728173404932,310,0.2,-0.0003055048386158887,0.890985906124115,0.16024169921875,0.0007540162539839912,0.0001
1191,453,33,540672,-0.04974732385016978,0.719043493270874,0.010643471,-0.008562128990888596,-5.155192609131336,320,0.2,-0.0010357130966440308,0.8814770579338074,0.137750244140625,0.0004969941138256217,0.0001
1223,455,34,557056,0.03655847907066345,0.6014648973941803,0.011143118,0.0026179749984294176,-5.130057515576482,330,0.2,-0.0009252813262719429,0.8791122436523438,0.160003662109375,0.0006789935453355156,0.0001
1256,456,35,573440,-0.09926726203411818,0.7273022532463074,0.01157509,-0.007292094174772501,-5.1318678926676515,340,0.2,-1.6417939696111718e-05,0.8807693123817444,0.12919921875,0.0003579337246947034,0.0001
1289,457,36,589824,-0.08866609027609229,0.6313155591487885,0.013911884,-0.016212191432714462,-5.152157586067915,350,0.2,0.0002957442620754591,0.8871445059776306,0.160089111328125,0.0006665275016530358,0.0001
1322,458,37,606208,-0.05839259154163301,0.7201018035411835,0.010440804,0.006737887393683195,-5.148378544300795,360,0.2,-0.001647631821106188,0.8810698986053467,0.155413818359375,0.0003947560861263355,0.0001
1354,459,38,622592,-0.07128781592473388,0.6788119077682495,0.01070763,0.008048398420214653,-5.133064260333777,370,0.2,0.0005862429206899833,0.8800525665283203,0.151995849609375,0.0006407557714169343,0.0001
1387,460,39,638976,0.014070559060201049,0.8040524870157242,0.008581741,0.003449987154453993,-5.134456249326467,380,0.2,-0.0005875887291040272,0.8801401257514954,0.12069091796875,0.00024905373101944404,0.0001
1419,461,40,655360,0.04320087609812617,0.7162876129150391,0.010010714,0.007715255953371525,-5.126427138224244,390,0.2,-0.001051420287512883,0.8770713806152344,0.14605712890625,0.0004235351132535925,0.0001
1452,462,41,671744,-0.08710579294711351,0.6159541010856628,0.013233089,0.007056672591716051,-5.126944052800536,400,0.2,-0.0007299934317416046,0.8795485496520996,0.157012939453125,0.0005970550562437893,0.0001
1483,463,42,688128,0.0047973699402064085,0.7396834194660187,0.011199711,-0.005827079061418772,-5.12728018425405,410,0.2,-0.0006862541213195072,0.8787801265716553,0.143988037109375,0.00042332091391585893,0.0001
1512,465,43,704512,0.007343341130763292,0.7498260140419006,0.010048003,-0.023296579718589783,-5.1233677521348,420,0.2,-0.001460185358519084,0.87684565782547,0.144329833984375,0.0002872138496968546,0.0001
1542,467,44,720896,0.042672512819990516,0.7904603332281113,0.010488639,-0.009638705290853977,-5.1144767861813305,430,0.2,-0.00019586967027862556,0.874931812286377,0.134283447265625,0.000272509901532203,0.0001
1575,467,45,737280,0.0051148931961506605,0.5953407883644104,0.01203602,0.012029055505990982,-5.105831683427096,440,0.2,-0.0008895812916307477,0.8733561038970947,0.16358642578125,0.00024482479359164697,0.0001
1608,468,46,753664,-0.00853152689523995,0.7301377952098846,0.009550301,-0.0010569656733423471,-5.094410875812173,450,0.2,-0.0008129730391374324,0.8714468479156494,0.1330810546875,0.00018674784634811203,0.0001
1641,469,47,770048,0.04796728934161365,0.6628347933292389,0.011418187,-0.0002841114765033126,-5.07890163436532,460,0.2,-0.00038558050619030837,0.8677152395248413,0.156903076171875,0.00028486476356306414,0.0001
1674,469,48,786432,0.0797560338396579,0.805281937122345,0.011311428,0.010594356805086136,-5.060117979720235,470,0.2,-0.0008668977741763228,0.8629919290542603,0.13875732421875,0.0001699745319115209,0.0001
1706,470,49,802816,-0.019772099913097918,0.5388249456882477,0.010881642,-0.018391678109765053,-5.043008748814463,480,0.2,0.0002843756881702575,0.8611302375793457,0.15535888671875,0.00032900833448650245,0.0001
1738,471,50,819200,0.015569821698591113,0.5275170207023621,0.013150154,-0.005532823968678713,-5.044519956409931,490,0.2,7.735785620752723e-05,0.8640366196632385,0.18544921875,0.0006421529020030903,0.0001
1780,469,51,835584,-0.022656225599348545,0.7832957804203033,0.009524821,0.0018254828173667192,-5.044618266448379,500,0.2,-0.00026478762556507717,0.8615327477455139,0.1407470703125,0.00027860028467614485,0.0001
1814,469,52,851968,0.041279178112745285,0.7112168967723846,0.012288358,0.0009425390162505209,-5.032314777746796,510,0.2,-0.000631143410828372,0.8588505983352661,0.15826416015625,0.00026227148816815316,0.0001
1848,469,53,868352,-0.0666822511702776,0.7948873341083527,0.0115604885,-0.013012835755944252,-5.015286573767662,520,0.2,5.5420913122361525e-05,0.8545898199081421,0.13504638671875,0.00019038766719745582,0.0001
1883,469,54,884736,-0.014003932476043701,0.6501610279083252,0.010739086,-0.02923225611448288,-5.011539380997419,530,0.2,-0.000537035042179923,0.8562698364257812,0.14727783203125,0.0003703443628239711,0.0001
1917,469,55,901120,0.020490059861913323,0.6403354704380035,0.013471468,-0.013374061323702335,-5.024128869920969,540,0.2,0.0005138352147696423,0.8608614802360535,0.177886962890625,0.0004326694787778251,0.0001
1953,469,56,917504,0.013744710944592953,0.6607283055782318,0.01340806,0.0020730900578200817,-5.0258854273706675,550,0.2,-7.755782899039332e-05,0.8586875796318054,0.161151123046875,0.0004084069280509084,0.0001
1987,469,57,933888,-4.392070695757866e-05,0.5762291252613068,0.011816,0.0038538898807018995,-5.013993388786912,560,0.2,0.0008845208496495616,0.8559441566467285,0.1638916015625,0.0005418266898431056,0.0001
2023,469,58,950272,0.04999063303694129,0.6413251459598541,0.012975305,-0.004448373336344957,-5.007249198481441,570,0.2,-0.000880273814254906,0.8549094796180725,0.16011962890625,0.00036427206142093383,0.0001
2056,470,59,966656,0.044008547673001885,0.6921959817409515,0.011621856,-0.0035311810206621885,-5.022102245315909,580,0.2,0.0004099659294297453,0.8611451387405396,0.1694091796875,0.0004333856318112339,0.0001
2089,470,60,983040,0.05567176663316786,0.6448488831520081,0.010230584,0.021191971376538277,-5.027684288099408,590,0.2,-0.00038879635067132765,0.85792076587677,0.149835205078125,0.0002582494371097255,0.0001
2123,470,61,999424,0.03825792670249939,0.5874933898448944,0.013312615,-0.0024041805882006884,-5.028836347535252,600,0.2,-4.7699882634333336e-05,0.8592988848686218,0.188568115234375,0.0004353072856417839,0.0001
2156,470,62,1015808,-0.1081432297360152,0.7860446721315384,0.013483203,0.016041303053498268,-5.013968528434634,610,0.2,-0.002447341707011219,0.8538141846656799,0.147723388671875,8.987029009546176e-05,0.0001
2190,471,63,1032192,0.05350853758864105,0.665732353925705,0.011873895,-0.0010621335823088884,-4.998811055719853,620,0.2,-5.487588678079192e-05,0.8524284362792969,0.166259765625,0.0002979715144306283,0.0001
2224,471,64,1048576,0.03609999478794634,0.747766762971878,0.0131156575,-0.0026030559092760086,-4.983826506137848,630,0.2,-0.00024069296596280766,0.850303590297699,0.151971435546875,0.00019430627507688314,0.0001
2257,471,65,1064960,0.016325217206031084,0.7547634541988373,0.011981869,-0.0031374404206871986,-4.964684036001563,640,0.2,-0.001581882734899409,0.8462108373641968,0.149713134765625,0.0001316767102025551,0.0001
2288,472,66,1081344,0.03973699011839926,0.7380851805210114,0.012687947,-0.001535522285848856,-4.942740222066641,650,0.2,-0.0014655640014098025,0.8430072069168091,0.177239990234375,0.00021655742755797292,0.0001
2323,472,67,1097728,0.044625341426581144,0.8321322500705719,0.0112894345,0.020201658830046654,-4.90106117464602,660,0.2,-0.0024723821497900644,0.831434428691864,0.15079345703125,0.00012960315473264927,0.0001
2359,472,68,1114112,0.006290250224992633,0.7280769944190979,0.014166967,-0.0003959618043154478,-4.875532827526331,670,0.2,-0.00042097200857824644,0.8301413059234619,0.16524658203125,0.00041293629867311665,0.0001
2393,472,69,1130496,0.049890825524926186,0.7829851806163788,0.010779174,-0.00813467986881733,-4.862027801945805,680,0.2,-0.0006611060045543127,0.8266758918762207,0.1452880859375,0.00011910473200344995,0.0001
2427,472,70,1146880,0.0499472226947546,0.6353002488613129,0.011145951,0.0007845371728762984,-4.836696100980044,690,0.2,-0.0005052035270637134,0.8204487562179565,0.15125732421875,0.0001863430363400198,0.0001
2461,472,71,1163264,0.01224598754197359,0.4352104067802429,0.012725227,0.022141028195619583,-4.806601550057531,700,0.2,9.12822153622983e-05,0.8145345449447632,0.17073974609375,0.00038335489367682387,0.0001
2496,472,72,1179648,0.007058451185002923,0.751396581530571,0.010293695,0.0061008865013718605,-4.789886341616511,710,0.2,0.0008129298610583646,0.8139519095420837,0.14957275390625,0.00015014313128602907,0.0001
2531,472,73,1196032,-0.00044685928151011467,0.7239855825901031,0.013192146,0.006797141395509243,-4.791302009299398,720,0.2,-0.000734964008370298,0.8150489926338196,0.156768798828125,0.0002410990532212054,0.0001
2565,472,74,1212416,0.04937896877527237,0.4460911154747009,0.012416905,-0.005812494084239006,-4.807930007949471,730,0.2,-0.0007743596015643561,0.8196962475776672,0.205328369140625,0.0006437932573533089,0.0001
2599,472,75,1228800,0.041250686859712005,0.6913157999515533,0.014192702,-0.025723882019519806,-4.805536498874426,740,0.2,-0.0012417010446370113,0.8142726421356201,0.174237060546875,0.00038244026904123987,0.0001
2632,472,76,1245184,0.0055801100097596645,0.5366100668907166,0.012750568,-0.015769721940159798,-4.77526786737144,750,0.2,-0.00014870561499265024,0.8062925338745117,0.15589599609375,0.0003993479650205245,0.0001
2665,473,77,1261568,0.06508048437535763,0.8510121703147888,0.011471962,-0.013272075913846493,-4.7539669696241615,760,0.2,-0.0008334765061590588,0.8038842082023621,0.1530029296875,0.00013294928377831637,0.0001
2699,473,78,1277952,0.04693045176099986,0.7763352692127228,0.012492854,-0.003728545969352126,-4.7554137833416465,770,0.2,0.00011648611980490387,0.8057432174682617,0.15303955078125,0.00021483083639282086,0.0001
