rew_vec_envs,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/value_loss,train/explained_variance,train/std,train/approx_kl,train/clip_fraction,train/n_updates,train/loss
-224.4823236465454,458752,14,969,473,0.001,-0.006370556427282281,0.2,-5.5204517364501955,2924.933950805664,0.48422741889953613,0.963280200958252,0.0047052,0.0288543701171875,130,1193.51806640625
-311.47229957580566,491520,15,1032,476,0.001,-0.008023000627144939,0.2,-5.515118247270584,2576.5512786865233,0.46413689851760864,0.9601283669471741,0.0051570334,0.0419464111328125,140,1159.256591796875
-308.9348763227463,524288,16,1094,479,0.001,-0.007494843563472386,0.2,-5.493250894546509,2745.623359680176,0.4853367805480957,0.9539916515350342,0.005274265,0.037188720703125,150,1256.796630859375
-296.6718828678131,557056,17,1156,481,0.001,-0.007461295225948561,0.2,-5.4790856540203094,2371.848851013184,0.5272009968757629,0.9520893096923828,0.0054033906,0.040411376953125,160,1099.7373046875
-312.780192732811,589824,18,1216,484,0.001,-0.007389432819763897,0.2,-5.463391777873039,2492.4030128479003,0.5093772113323212,0.9467117786407471,0.0057168724,0.043798828125,170,985.578857421875
-365.4794145822525,622592,19,1274,488,0.001,-0.007591661974583985,0.2,-5.433766320347786,2095.6021018981933,0.5799106359481812,0.9396109580993652,0.0055602146,0.0384246826171875,180,890.0746459960938
-278.52849662303925,655360,20,1332,491,0.001,-0.007885829507722519,0.2,-5.418259003758431,1975.7851097106934,0.5986811518669128,0.9367978572845459,0.005939574,0.04610595703125,190,716.423583984375
-166.50653785467148,688128,21,1387,495,0.001,-0.00826575735991355,0.2,-5.398691064119339,2010.1866065979004,0.6128564774990082,0.9318969249725342,0.005852718,0.0479888916015625,200,804.5121459960938
-288.5477064847946,720896,22,1442,499,0.001,-0.007829640187264886,0.2,-5.382831925153733,2018.544490814209,0.5994469821453094,0.9298444390296936,0.0054010507,0.0414093017578125,210,784.0310668945312
-119.64621090888977,753664,23,1495,504,0.001,-0.00934694422976463,0.2,-5.356848558783531,1758.6270164489747,0.6293434202671051,0.9219582676887512,0.0066537033,0.0520233154296875,220,698.761962890625
-169.0821750164032,786432,24,1547,508,0.001,-0.008412991337536369,0.2,-5.334665781259536,1762.9035163879394,0.6541555225849152,0.9175339937210083,0.005460919,0.047113037109375,230,715.9046630859375
-152.01862144470215,819200,25,1600,511,0.001,-0.00790311933524208,0.2,-5.314496052265167,1767.510326385498,0.6711630821228027,0.9125344753265381,0.005931304,0.0451568603515625,240,726.5750122070312
-95.46227550506592,851968,26,1649,516,0.001,-0.008536032926349435,0.2,-5.285066840052605,1369.6471073150635,0.7047744989395142,0.9052681922912598,0.0057956036,0.04515380859375,250,577.6051635742188
-221.42624378204346,884736,27,1698,520,0.001,-0.008666289241227787,0.2,-5.261464551091194,1645.0943557739258,0.675682932138443,0.9007012248039246,0.00643586,0.0555389404296875,260,650.8370971679688
-144.23401021957397,917504,28,1745,525,0.001,-0.008653260838764254,0.2,-5.243859502673149,1338.3916389465332,0.7260737717151642,0.8975006341934204,0.005792749,0.045294189453125,270,531.75732421875
-40.07619905471802,950272,29,1791,530,0.001,-0.008470753284927923,0.2,-5.214908853173256,1290.6415245056153,0.7194763422012329,0.8884783983230591,0.0064890925,0.047216796875,280,393.44091796875
23.56447523832321,983040,30,1836,535,0.001,-0.00861040429881541,0.2,-5.184664794802666,1278.3618125915527,0.6947056353092194,0.8836574554443359,0.0058541405,0.04552001953125,290,470.9122619628906
-19.951433420181274,1015808,31,1882,539,0.001,-0.007106615469092503,0.2,-5.16310707628727,1048.9444702148437,0.7258766889572144,0.8789446353912354,0.005481671,0.0345672607421875,300,395.9852600097656
65.07677900791168,1048576,32,1925,544,0.001,-0.008389646778232418,0.2,-5.139579576253891,1196.4387580871582,0.7375795841217041,0.8734045624732971,0.005856673,0.0472869873046875,310,413.7718811035156
58.89867639541626,1081344,33,1966,549,0.001,-0.00835234218975529,0.2,-5.1012273788452145,1127.1410423278808,0.7319874167442322,0.8641643524169922,0.0057680756,0.0439453125,320,432.4490966796875
94.34278374910355,1114112,34,2007,554,0.001,-0.008830176646006294,0.2,-5.074185341596603,816.3223405838013,0.7266271412372589,0.8598204851150513,0.006460228,0.0534088134765625,330,316.95172119140625
54.75115045905113,1146880,35,2050,559,0.001,-0.009226820956246228,0.2,-5.047614133358001,836.7298496246337,0.7654567658901215,0.8539400696754456,0.006881235,0.057110595703125,340,255.1663055419922
44.14150661230087,1179648,36,2091,564,0.001,-0.010475483859772794,0.2,-5.020283907651901,854.1034742355347,0.7526606023311615,0.8489130735397339,0.0069740834,0.067047119140625,350,331.0393981933594
66.30855143070221,1212416,37,2129,569,0.001,-0.009417364158434794,0.2,-4.9984148144721985,774.6770421981812,0.7791412472724915,0.8452038764953613,0.006451783,0.0574310302734375,360,238.48365783691406
116.7513805553317,1245184,38,2167,574,0.001,-0.00974381342821289,0.2,-4.9862090170383455,540.2065726280213,0.7240953147411346,0.8421234488487244,0.0068544745,0.0691375732421875,370,112.87593078613281
78.265958070755,1277952,39,2205,579,0.001,-0.009517385704384651,0.2,-4.960198873281479,528.3022945404052,0.715984046459198,0.8361868858337402,0.007757758,0.075067138671875,380,150.00308227539062
67.54137301445007,1310720,40,2245,583,0.001,-0.009453043347457423,0.2,-4.926222702860832,600.0750692367553,0.7493849992752075,0.829268753528595,0.009229977,0.0770050048828125,390,216.55007934570312
23.879695296287537,1343488,41,2288,587,0.001,-0.010513733596599194,0.2,-4.900690272450447,578.9031005859375,0.7268316745758057,0.8247411847114563,0.007963559,0.0831939697265625,400,171.64715576171875
89.21175691485405,1376256,42,2329,590,0.001,-0.009467879228759557,0.2,-4.885730895400047,684.5238695144653,0.7032579779624939,0.8223167061805725,0.008765555,0.073504638671875,410,237.19308471679688
99.26975429058075,1409024,43,2370,594,0.001,-0.010477132674714085,0.2,-4.859615835547447,591.1761930465698,0.7169712483882904,0.8158729076385498,0.009012596,0.077923583984375,420,233.55235290527344
123.0630259513855,1441792,44,2410,598,0.001,-0.009108015963283833,0.2,-4.83298844397068,586.691199874878,0.722198098897934,0.8110001087188721,0.008023023,0.071368408203125,430,147.5477294921875
94.41548817977309,1474560,45,2451,601,0.001,-0.009288933232892305,0.2,-4.81523146033287,697.2114223480224,0.6797987222671509,0.8077250719070435,0.006933485,0.062701416015625,440,207.75807189941406
89.28362053632736,1507328,46,2494,604,0.001,-0.008778656565118581,0.2,-4.785407608747482,893.2364486694336,0.6748964786529541,0.7993313074111938,0.006950503,0.06002197265625,450,273.9548645019531
134.97897624969482,1540096,47,2534,607,0.001,-0.008902739525365178,0.2,-4.757661277055741,772.6485197067261,0.640738308429718,0.7969565391540527,0.0077565145,0.063861083984375,460,232.2013702392578
113.86931002140045,1572864,48,2576,610,0.001,-0.009909555785998236,0.2,-4.729351949691773,743.8796337127685,0.6840413212776184,0.7895077466964722,0.007901903,0.0750732421875,470,188.93296813964844
133.20761668682098,1605632,49,2617,613,0.001,-0.00897635432338575,0.2,-4.694039583206177,650.9875589370728,0.7041789591312408,0.782820999622345,0.0075204642,0.0589813232421875,480,224.4119873046875
115.14628839492798,1638400,50,2665,614,0.001,-0.010002907703164966,0.2,-4.678335806727409,741.0805625915527,0.6904146671295166,0.7808337807655334,0.009401072,0.08131103515625,490,249.9230499267578
139.2186700105667,1671168,51,2706,617,0.001,-0.009888252608652693,0.2,-4.646717718243599,723.3105646133423,0.6612126231193542,0.7730917930603027,0.007572543,0.073565673828125,500,172.93067932128906
143.55895137786865,1703936,52,2748,619,0.001,-0.010617856885073707,0.2,-4.621993932127952,815.6888023376465,0.6895909011363983,0.7688726186752319,0.009479248,0.08262939453125,510,298.7402038574219
117.8548868894577,1736704,53,2789,622,0.001,-0.010390290687792004,0.2,-4.588126561045646,751.8468215942382,0.6916758120059967,0.7625548243522644,0.008878959,0.0910247802734375,520,228.36940002441406
98.8173543214798,1769472,54,2832,624,0.001,-0.00945228839700576,0.2,-4.569972935318947,755.8855569839477,0.6404329240322113,0.7598314881324768,0.0097742025,0.07928466796875,530,231.9756317138672
66.77510404586792,1802240,55,2875,626,0.001,-0.009292125134379603,0.2,-4.538097858428955,774.5236328125,0.7021844685077667,0.7541122436523438,0.008717632,0.0840850830078125,540,260.88665771484375
135.96547937393188,1835008,56,2915,629,0.001,-0.009198529738932848,0.2,-4.525504639744758,884.6066986083985,0.6644597351551056,0.7523074746131897,0.008700661,0.0753997802734375,550,275.05902099609375
193.26653671264648,1867776,57,2955,631,0.001,-0.009464932810806204,0.2,-4.51538932621479,623.1130077362061,0.6964759528636932,0.7494689226150513,0.008874271,0.0774444580078125,560,177.70262145996094
229.0008671283722,1900544,58,2998,633,0.001,-0.0084306150150951,0.2,-4.502547016739845,758.4834655761719,0.5924118757247925,0.7480659484863281,0.009015286,0.100921630859375,570,198.42860412597656
96.14179539680481,1933312,59,3042,635,0.001,-0.008836097473977133,0.2,-4.489293506741523,936.9678161621093,0.6034912467002869,0.7448363304138184,0.007951425,0.0717376708984375,580,259.5641174316406
173.1563904285431,1966080,60,3086,637,0.001,-0.009831672694417648,0.2,-4.460558617115021,881.7607208251953,0.602580726146698,0.7401572465896606,0.010261804,0.095245361328125,590,242.8011016845703
103.56682503223419,1998848,61,3128,638,0.001,-0.009786042966879904,0.2,-4.447314727306366,902.1285051345825,0.6842132806777954,0.7378731966018677,0.008589597,0.07989501953125,600,232.19508361816406
245.70393753051758,2031616,62,3172,640,0.001,-0.00966870965930866,0.2,-4.429090586304665,893.28175907135,0.6701526641845703,0.7342732548713684,0.00873,0.073016357421875,610,280.3145751953125
256.27469635009766,2064384,63,3218,641,0.001,-0.009975534732802771,0.2,-4.4068407118320465,1030.159094619751,0.6724251508712769,0.7304481267929077,0.008141503,0.07142333984375,620,281.8896789550781
122.23576712608337,2097152,64,3263,642,0.001,-0.009955836126755458,0.2,-4.3749242454767225,919.4566585540772,0.6616295576095581,0.7232692241668701,0.0101292,0.088482666015625,630,303.7928771972656
70.14374148845673,2129920,65,3307,643,0.001,-0.009334995382232592,0.2,-4.357951334118843,1098.86141166687,0.6183597147464752,0.7220386862754822,0.008086685,0.0799407958984375,640,392.1919250488281
219.52884829044342,2162688,66,3354,644,0.001,-0.01049234154052101,0.2,-4.330335131287574,972.8291694641114,0.7027930915355682,0.7158149480819702,0.010495388,0.078460693359375,650,264.26715087890625
