rew_vec_envs,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/value_loss,train/approx_kl,train/std
357.0826253890991,1718,877,46,1507328,-4.947506022453308,-0.005161328906251583,0.0546661376953125,0.2,0.44190311431884766,450,303.855224609375,0.001,796.9762767791748,0.005580439,0.833181619644165
353.7746810913086,1759,875,47,1540096,-4.935633516311645,-0.005215081834467128,0.0428619384765625,0.2,0.4492509961128235,460,238.73439025878906,0.001,738.6863008499146,0.0048878486,0.8330613970756531
376.7967119216919,1801,873,48,1572864,-4.920562851428985,-0.005060760752530769,0.0470458984375,0.2,0.43622761964797974,470,264.0274353027344,0.001,721.7606266021728,0.0057357512,0.8272404074668884
456.16220903396606,1845,869,49,1605632,-4.895859947800636,-0.0052604801763664,0.0547882080078125,0.2,0.40785568952560425,480,207.17323303222656,0.001,807.1559516906739,0.0062021017,0.8233827948570251
419.0944023132324,1889,867,50,1638400,-4.866319894790649,-0.00603288751153741,0.0498443603515625,0.2,0.4315183758735657,490,252.94866943359375,0.001,711.1550941467285,0.0059679113,0.8154802322387695
373.0711717605591,1933,864,51,1671168,-4.842213052511215,-0.005407267999544274,0.047247314453125,0.2,0.4956902861595154,500,225.90003967285156,0.001,764.2112535476684,0.0053703724,0.8128591179847717
479.77938652038574,1977,861,52,1703936,-4.8217128068208694,-0.004583043405727949,0.051904296875,0.2,0.44374698400497437,510,297.71881103515625,0.001,716.3052127838134,0.006086533,0.8077988624572754
432.3152093887329,2022,858,53,1736704,-4.794659173488617,-0.006393591006053611,0.0631317138671875,0.2,0.47200483083724976,520,202.98239135742188,0.001,693.616568183899,0.006909008,0.8021846413612366
429.67571353912354,2065,856,54,1769472,-4.765595701336861,-0.0054074328727438115,0.050225830078125,0.2,0.498318612575531,530,227.92538452148438,0.001,703.4163787841796,0.005602032,0.7965453863143921
459.73605155944824,2110,853,55,1802240,-4.754210552573204,-0.005431127511837985,0.0486419677734375,0.2,0.5260630249977112,540,261.68902587890625,0.001,643.9294431686401,0.0053832177,0.7969760298728943
