rew_vec_envs,time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/loss,train/explained_variance,train/policy_gradient_loss,train/std,train/approx_kl,train/clip_fraction,train/n_updates,train/entropy_loss,train/clip_range,train/value_loss
1.0418864,,,,,0.0001,1.3697667121887207,0.28759145736694336,-0.005297715065535158,1.0091363191604614,0.010053365,0.071435546875,3150,-5.711060166358948,0.2,3.4510642170906065
0.26505697,,,,,,,,,,,,,,,
,647168,191,3378,316,,,,,,,,,,,
0.2696542,,,,,0.0001,2.8734323978424072,0.8064728379249573,-0.007628156896680593,1.0090274810791016,0.0123643875,0.108935546875,3160,-5.712038588523865,0.2,7.314762663841248
0.31704238,,,,,,,,,,,,,,,
,649216,191,3388,317,,,,,,,,,,,
0.43367532,,,,,0.0001,1.0713391304016113,0.6396849453449249,-0.004095635889098048,1.0086910724639893,0.0065471325,0.09033203125,3170,-5.7107635021209715,0.2,2.6574744880199432
0.421284,,,,,,,,,,,,,,,
,651264,191,3399,318,,,,,,,,,,,
0.4226951,,,,,0.0001,3.1334409713745117,0.8413155376911163,-0.0038891642936505376,1.0084152221679688,0.00865444,0.02685546875,3180,-5.709671139717102,0.2,9.599876856803894
0.45836684,,,,,,,,,,,,,,,
,653312,191,3410,319,,,,,,,,,,,
0.2275449,,,,,0.0001,4.663877487182617,0.6046419143676758,-0.001915363676380366,1.0082261562347412,0.0017041845,0.0009765625,3190,-5.708663201332092,0.2,17.443969106674196
0.3931179,,,,,,,,,,,,,,,
,655360,191,3421,320,,,,,,,,,,,
0.27880386,,,,,0.0001,2.1041347980499268,0.9568215124309063,-0.004577163478825241,1.007864236831665,0.00633905,0.02548828125,3200,-5.707758545875549,0.2,4.502044248580932
0.29179847,,,,,,,,,,,,,,,
,657408,191,3431,321,,,,,,,,,,,
0.54462314,,,,,0.0001,0.29882416129112244,0.8992170318961143,-0.004102029814384877,1.0071930885314941,0.0056317644,0.038818359375,3210,-5.70586850643158,0.2,1.9077385246753693
0.4430046,,,,,,,,,,,,,,,
,659456,191,3442,322,,,,,,,,,,,
0.29783896,,,,,0.0001,2.057553768157959,0.8783881142735481,-0.003909738198854029,1.0065025091171265,0.007166231,0.042529296875,3220,-5.702810788154602,0.2,5.047247958183289
0.16671601,,,,,,,,,,,,,,,
,661504,191,3452,323,,,,,,,,,,,
0.48436284,,,,,0.0001,1.4025734663009644,0.9344915226101875,-0.007380710425786674,1.005998134613037,0.008439472,0.085791015625,3230,-5.7005021333694454,0.2,3.2018036365509035
1.968284,,,,,,,,,,,,,,,
,663552,191,3463,324,,,,,,,,,,,
0.24299192,,,,,0.0001,1.532723307609558,0.9715018160641193,-0.006943298951955512,1.006144404411316,0.0122086145,0.075732421875,3240,-5.6993821382522585,0.2,4.086935210227966
