time/iterations,time/total_timesteps,rew_vec_envs,time/time_elapsed,time/fps,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,train/explained_variance,train/std,train/learning_rate,train/clip_range,train/value_loss
22,7012352,2015.9393558502197,1782,404,-0.010863095167587744,-1.3212360210716725,0.01418996,2686.194580078125,0.1433624267578125,2130,0.4320715069770813,0.33820220828056335,0.001,0.2,15663.446970367431
23,7045120,2302.3420333862305,1868,403,-0.011618899707536911,-1.309427484124899,0.016474806,2572.624755859375,0.147076416015625,2140,0.42996466159820557,0.33645570278167725,0.001,0.2,15060.427060317994
24,7077888,2497.148727416992,1952,402,-0.011687067328603007,-1.289172456972301,0.0150876455,2686.607666015625,0.1410888671875,2150,0.45734483003616333,0.33506709337234497,0.001,0.2,15665.175665283203
25,7110656,2396.5875701904297,2029,403,-0.01087460815506347,-1.2726272020488978,0.01649728,3528.979248046875,0.1436859130859375,2160,0.4391510486602783,0.33353182673454285,0.001,0.2,15440.363040161134
26,7143424,2354.0251693725586,2107,404,-0.0109013950543158,-1.258799172565341,0.015084427,3961.843505859375,0.1407073974609375,2170,0.47352755069732666,0.33291804790496826,0.001,0.2,15402.772263336181
27,7176192,2232.3810081481934,2187,404,-0.010360661507002078,-1.247793154232204,0.015876774,2530.084716796875,0.1424560546875,2180,0.4300069212913513,0.33191704750061035,0.001,0.2,16098.469452667236
28,7208960,2571.270851135254,2265,404,-0.011588574147754115,-1.2281993322074414,0.015989646,2638.74267578125,0.1458160400390625,2190,0.4402933716773987,0.3298178017139435,0.001,0.2,14717.760984802246
29,7241728,2350.037534713745,2347,404,-0.010868594365092576,-1.2143495695665478,0.016430117,2622.2685546875,0.1497100830078125,2200,0.45590847730636597,0.32921022176742554,0.001,0.2,14445.361303710937
30,7274496,2357.214822769165,2425,405,-0.01068569631606806,-1.203495907969773,0.015783634,2971.627685546875,0.149420166015625,2210,0.48232507705688477,0.3280748724937439,0.001,0.2,16306.622005462646
31,7307264,2660.3709030151367,2504,405,-0.011706118562142365,-1.1881096815690397,0.016696747,3873.7109375,0.1444091796875,2220,0.4385431408882141,0.326541006565094,0.001,0.2,16591.503286743166
32,7340032,2421.1193809509277,2582,405,-0.011364767370105255,-1.1673113159835338,0.016561285,3064.54736328125,0.14862060546875,2230,0.4028797745704651,0.3246024250984192,0.001,0.2,15954.145278167725
