time/total_timesteps,time/iterations,time/fps,rew_vec_envs,time/time_elapsed,train/learning_rate,train/entropy_loss,train/value_loss,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/std,train/loss,train/clip_fraction,train/n_updates,train/approx_kl
491520,15,669,1480.0308265686035,734,0.001,-5.341677318513393,2040.8299850463868,0.8630889654159546,0.2,-0.007031479178112932,0.9195246696472168,603.2550659179688,0.0509368896484375,140,0.006144086
524288,16,668,1329.2855072021484,784,0.001,-5.310601192712784,1807.7444915771484,0.870124951004982,0.2,-0.00726107553964539,0.9121115207672119,526.7135620117188,0.05517578125,150,0.007020791
557056,17,667,1582.1652069091797,834,0.001,-5.267028869688511,1853.055748653412,0.8731130212545395,0.2,-0.00838829601125326,0.9008040428161621,544.9110107421875,0.058380126953125,160,0.007288592
589824,18,665,1487.9326782226562,886,0.001,-5.227378437668085,1757.3507740974426,0.890828087925911,0.2,-0.008068863366861478,0.8950376510620117,696.6796875,0.0596221923828125,170,0.007095312
622592,19,663,1519.7202529907227,938,0.001,-5.193545468896628,2216.632477092743,0.8659376502037048,0.2,-0.006890361163459602,0.8863391876220703,413.27349853515625,0.0554229736328125,180,0.006744901
655360,20,660,1338.5791320800781,992,0.001,-5.1527550719678405,2162.372244644165,0.8735823929309845,0.2,-0.0073243166734755505,0.8779849410057068,818.9452514648438,0.0671630859375,190,0.007267851
688128,21,658,1628.3600616455078,1045,0.001,-5.120212379097938,1459.2953680992127,0.9088562205433846,0.2,-0.008551939267636043,0.8730711340904236,509.71533203125,0.0705322265625,200,0.0076926723
720896,22,656,1537.6253662109375,1098,0.001,-5.093446603417396,1433.85960521698,0.9067299962043762,0.2,-0.008230161116080126,0.8670450448989868,369.101318359375,0.0760040283203125,210,0.008059679
753664,23,653,1758.1301040649414,1152,0.001,-5.051074814796448,1560.3794939041138,0.9087620675563812,0.2,-0.008155022779101273,0.8578882217407227,333.49334716796875,0.068328857421875,220,0.007628992
786432,24,651,1462.0355987548828,1206,0.001,-5.01654242053628,1496.2660181999206,0.9037034213542938,0.2,-0.007799016881472198,0.8521283864974976,349.59478759765625,0.0714569091796875,230,0.008250948
819200,25,649,1776.9832344055176,1261,0.001,-4.987805119156837,1831.2910471916198,0.8989769071340561,0.2,-0.00869207044961513,0.8444501161575317,400.8403015136719,0.0804962158203125,240,0.008424813
851968,26,646,1751.6262702941895,1317,0.001,-4.958106881380081,2280.209666633606,0.8917009606957436,0.2,-0.008503828715765849,0.8409271836280823,378.31048583984375,0.0760833740234375,250,0.008679848
884736,27,644,1616.420265197754,1373,0.001,-4.930092614889145,2993.753937149048,0.8794170171022415,0.2,-0.007910013395667192,0.8339462876319885,448.3009033203125,0.0725494384765625,260,0.008552771
917504,28,641,1782.6902084350586,1429,0.001,-4.89790382757783,1821.106640625,0.9030874669551849,0.2,-0.008762104386187275,0.8287238478660583,601.3663940429688,0.080401611328125,270,0.008521348
950272,29,639,1718.789134979248,1486,0.001,-4.876098257303238,1756.0817912101745,0.9077578261494637,0.2,-0.009494704932149035,0.8262971639633179,446.9542236328125,0.0901275634765625,280,0.009284837
983040,30,637,1739.3444271087646,1543,0.001,-4.843761254101992,1988.1460448265075,0.8970903977751732,0.2,-0.00936970524235221,0.8179659247398376,387.86126708984375,0.0865631103515625,290,0.009656997
1015808,31,635,1716.6144943237305,1597,0.001,-4.813606625795364,2626.506372451782,0.8848645910620689,0.2,-0.008532089558138977,0.8119874000549316,365.03289794921875,0.0802337646484375,300,0.008592885
1048576,32,634,2028.401653289795,1651,0.001,-4.7671083368361,2988.070515060425,0.8718624711036682,0.2,-0.007914031632753903,0.8036866188049316,459.0206604003906,0.0799224853515625,310,0.008738968
