time/iterations,rew_vec_envs,time/total_timesteps,time/fps,time/time_elapsed,train/entropy_loss,train/clip_range,train/approx_kl,train/learning_rate,train/std,train/explained_variance,train/policy_gradient_loss,train/loss,train/n_updates,train/clip_fraction,train/value_loss
14,36.53538680076599,229376,799,286,-5.329498967528343,0.2,0.01915888,0.001,0.915655255317688,0.7542828768491745,-0.01676630685615237,0.14615590870380402,130,0.19610595703125,0.6362165587022901
15,46.02351212501526,245760,791,310,-5.307296267151832,0.2,0.012737247,0.001,0.9098726511001587,0.5215754508972168,-0.008995534184214194,0.2606280446052551,140,0.15772705078125,2.091258767992258
16,22.106688737869263,262144,785,333,-5.288474842905998,0.2,0.013477832,0.001,0.9052915573120117,0.4158168435096741,-0.008596851171751041,0.47724971175193787,150,0.13873291015625,10.764940414950251
17,29.44724416732788,278528,779,357,-5.269382408261299,0.2,0.020153323,0.001,0.9012523889541626,0.7822389602661133,-0.016178644359024476,0.24021175503730774,160,0.193743896484375,0.8717711949720979
18,35.77762973308563,294912,772,381,-5.248021173477173,0.2,0.009760831,0.001,0.8925522565841675,0.2327338457107544,-0.003212310579692712,5.177151679992676,170,0.2086669921875,40.29565517678857
19,32.283920884132385,311296,766,406,-5.207269218564034,0.2,0.012205275,0.001,0.8868018388748169,0.5783264338970184,-0.00946181501931278,12.442484855651855,180,0.1244873046875,11.838613680005073
20,33.372907876968384,327680,760,430,-5.1860739380121235,0.2,0.013045702,0.001,0.8822255730628967,0.5192875564098358,-0.009581327320483978,1.1998026371002197,190,0.12442626953125,7.136890824884176
21,35.145532965660095,344064,755,455,-5.163253971934319,0.2,0.014873799,0.001,0.877822756767273,0.7348986864089966,-0.015229671319684713,0.4279979169368744,200,0.164971923828125,1.6745389554649592
22,27.951098203659058,360448,752,478,-5.1462772488594055,0.2,0.014346112,0.001,0.873938798904419,0.411782443523407,-0.008450745753361844,5.661779880523682,210,0.1250244140625,19.51598432958126
23,39.783198833465576,376832,750,502,-5.129420721530915,0.2,0.0127354115,0.001,0.8693476915359497,0.2810252904891968,-0.005864885281334864,1.1189440488815308,220,0.134271240234375,43.233146123215555
24,37.95773220062256,393216,748,525,-5.106711235642433,0.2,0.014018226,0.001,0.8666743040084839,0.24534589052200317,-0.007135152653336263,27.648616790771484,230,0.137335205078125,38.24667626954615
25,31.59978175163269,409600,746,548,-5.100852680206299,0.2,0.0072755534,0.001,0.8656964302062988,0.6464284956455231,-0.008859786423272453,4.937213897705078,240,0.0771728515625,10.088087049871683
26,29.47795855998993,425984,745,571,-5.096361833810806,0.2,0.021443008,0.001,0.8655737638473511,0.23834383487701416,-0.006743812672357308,0.5298081040382385,250,0.19093017578125,14.017929576709866
27,32.58624005317688,442368,743,594,-5.078934118151665,0.2,0.014974103,0.001,0.8581221103668213,0.3899954557418823,-0.006782781186484499,31.223718643188477,260,0.1377197265625,33.66282903179526
28,81.59156155586243,458752,738,620,-5.050239488482475,0.2,0.022705771,0.001,0.8516672253608704,0.18571609258651733,-0.003978215289316722,28.586633682250977,270,0.117340087890625,34.440129128843544
29,37.4741370677948,475136,736,645,-5.007368007302285,0.2,0.018862952,0.001,0.8435044884681702,0.2577853798866272,-0.00588255136681255,31.23674964904785,280,0.200067138671875,29.71709300354123
30,43.0855131149292,491520,734,669,-4.982725229859352,0.2,0.009815765,0.001,0.8386207222938538,0.2519732713699341,-0.005827763763954863,35.907135009765625,290,0.118798828125,57.27186109647155
31,35.750821352005005,507904,732,693,-4.964987742900848,0.2,0.008214264,0.001,0.8360217809677124,0.3403491973876953,-0.006101188372849719,38.45121383666992,300,0.0645751953125,74.90123531520366
32,62.80161905288696,524288,732,715,-4.944818323850631,0.2,0.009081071,0.001,0.8296177983283997,0.5277248620986938,-0.008530785318725975,4.829893112182617,310,0.117431640625,22.929259929060937
33,94.25380229949951,540672,729,741,-4.914746755361557,0.2,0.009147099,0.001,0.8250269889831543,0.7985317707061768,-0.009760966897010804,14.013415336608887,320,0.086749267578125,41.14311354011297
