time/total_timesteps,rew_vec_envs,time/fps,time/iterations,time/time_elapsed,train/clip_range,train/std,train/entropy_loss,train/learning_rate,train/value_loss,train/loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/n_updates,train/policy_gradient_loss
557056,-26.450600385665894,422,34,1318,0.2,0.8915847539901733,-5.206476197019219,0.0001,1034.1772399663926,578.6150512695312,0.5843891501426697,0.0052963537,0.034197998046875,330,-0.001705958673119312
573440,-100.17739629745483,423,35,1354,0.2,0.891063928604126,-5.192833378911018,0.0001,709.7339451789856,446.7234191894531,0.5755328834056854,0.0062446315,0.05855712890625,340,-0.0038963417515333275
589824,-44.912856101989746,423,36,1392,0.2,0.8838549852371216,-5.171715933084488,0.0001,661.9182555675507,169.10427856445312,0.6463249623775482,0.0059663313,0.05828857421875,350,-0.002581656508300512
606208,-21.29313349723816,422,37,1434,0.2,0.879990816116333,-5.148960079997778,0.0001,341.5212157011032,406.4970703125,0.7577527165412903,0.0052680597,0.06217041015625,360,-0.0029872267186874524
622592,9.908640146255493,421,38,1475,0.2,0.8726435899734497,-5.119787713885307,0.0001,441.2911687940359,118.80230712890625,0.6166119575500488,0.005882919,0.063494873046875,370,-0.0017330547198071145
638976,-75.03898429870605,420,39,1517,0.2,0.8676363229751587,-5.090830834954977,0.0001,301.91450661718847,160.6815948486328,0.7479569017887115,0.0056698853,0.0690673828125,380,-0.0021687543601728978
655360,-84.15206456184387,420,40,1559,0.2,0.8623356819152832,-5.067835942655802,0.0001,386.6837193906307,192.2705535888672,0.6498008370399475,0.0069494704,0.08167724609375,390,-0.002010549308397458
671744,-33.93262183666229,419,41,1601,0.2,0.8621575236320496,-5.056000778824091,0.0001,376.9248238503933,59.416263580322266,0.6671715974807739,0.008991817,0.06829833984375,400,-0.0022609263480262596
688128,-162.20321702957153,418,42,1644,0.2,0.864143431186676,-5.05789644382894,0.0001,460.8641868084669,87.62410736083984,0.507583498954773,0.006783471,0.074249267578125,410,-0.0030159715686750134
704512,-132.82347297668457,417,43,1688,0.2,0.86467444896698,-5.0628390472382305,0.0001,532.347030287981,398.7817077636719,0.7080796658992767,0.004697473,0.054058837890625,420,-0.0016915843601964299
720896,-163.26643323898315,416,44,1730,0.2,0.8678867816925049,-5.071998860314489,0.0001,248.9975796788931,85.07505798339844,0.7752663493156433,0.0058754683,0.074627685546875,430,-0.001454513251519529
737280,-63.104116439819336,417,45,1765,0.2,0.8658139109611511,-5.070939353108406,0.0001,443.88406909108164,73.27847290039062,0.601171225309372,0.006071601,0.080047607421875,440,-0.0018950526286062087
753664,-71.90311789512634,416,46,1807,0.2,0.8649365305900574,-5.068192690983414,0.0001,166.70637059509755,46.785884857177734,0.6818208396434784,0.006817641,0.116796875,450,-0.001022034421475837
770048,19.343772411346436,416,47,1847,0.2,0.8655790090560913,-5.066613939031958,0.0001,406.58167741000653,80.90658569335938,0.7014997005462646,0.0064143646,0.06439208984375,460,-0.002443309447153297
786432,31.257190942764282,417,48,1885,0.2,0.8672761917114258,-5.071340525150299,0.0001,346.84971012175083,57.08512878417969,0.636092871427536,0.0063049886,0.060260009765625,470,-0.001468690371257253
802816,-46.24636912345886,417,49,1923,0.2,0.8632198572158813,-5.06703582406044,0.0001,161.07025114297866,76.57234191894531,0.7789741456508636,0.0070208437,0.0755126953125,480,-0.0004804658248758642
819200,-19.00239109992981,417,50,1960,0.2,0.8625510931015015,-5.0515054509043695,0.0001,347.8840828418732,27.69208526611328,0.5876248180866241,0.0071469494,0.09554443359375,490,-0.002590649614467111
835584,22.370399951934814,417,51,1999,0.2,0.8579859137535095,-5.039345126226545,0.0001,194.75089906603097,197.57220458984375,0.7633234113454819,0.0093765855,0.09796142578125,500,-0.00031480407669732814
851968,-46.51852071285248,418,52,2037,0.2,0.8525480031967163,-5.015333952382207,0.0001,198.79128728061914,118.30847930908203,0.7108254432678223,0.010149142,0.0900390625,510,-0.0016087003699794878
868352,41.01560115814209,417,53,2079,0.2,0.8483784198760986,-4.991638499870897,0.0001,258.5334385022521,34.83010482788086,0.7212157547473907,0.006803011,0.081640625,520,-0.0014285652341641253
884736,39.755818367004395,417,54,2117,0.2,0.8461687564849854,-4.972136196121573,0.0001,341.1776507481933,175.10922241210938,0.6364438235759735,0.008396487,0.098150634765625,530,-0.0013656653580255806
901120,0.7943745851516724,418,55,2154,0.2,0.8399044275283813,-4.95227335691452,0.0001,137.35557657778264,16.782756805419922,0.7541414499282837,0.011845781,0.102655029296875,540,-0.0017487696413809317
917504,21.17832660675049,418,56,2192,0.2,0.8369429707527161,-4.927029672265053,0.0001,141.46900769993664,9.959183692932129,0.6144570112228394,0.011324886,0.143389892578125,550,-0.00027555712822504577
933888,34.32638096809387,418,57,2230,0.2,0.8295180797576904,-4.900648618862033,0.0001,139.53472091704606,17.134531021118164,0.6849238276481628,0.010902869,0.150732421875,560,-0.0003119143540970981
950272,16.7372088432312,419,58,2267,0.2,0.8263752460479736,-4.876014570519328,0.0001,154.6819508202374,86.61385345458984,0.7003951072692871,0.013450714,0.14305419921875,570,0.0004696399877502699
966656,44.37540602684021,419,59,2305,0.2,0.8234583139419556,-4.862367903441191,0.0001,209.7102299064398,266.0594177246094,0.6499592363834381,0.0073066843,0.076800537109375,580,-0.0015965331793267978
983040,35.32634115219116,418,60,2348,0.2,0.8241952657699585,-4.8558403860777615,0.0001,191.28350553289056,18.455617904663086,0.696082204580307,0.009751081,0.11986083984375,590,-0.0022844814398922607
999424,76.60029149055481,418,61,2389,0.2,0.8196310997009277,-4.84751809425652,0.0001,57.60713214352727,30.52796173095703,0.8113576471805573,0.010719018,0.118310546875,600,0.0004860005825321423
1015808,34.13622689247131,419,62,2423,0.2,0.8231260776519775,-4.844227461516857,0.0001,167.3057958856225,20.97667121887207,0.6390673220157623,0.010311476,0.12076416015625,610,-0.002173487265463336
