rew_vec_envs,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/loss,train/clip_range,train/value_loss,train/approx_kl,train/learning_rate,train/entropy_loss,train/n_updates,train/std
1.4296813,,,,,,,,,,,,,,,
1.6988875,,,,,,,,,,,,,,,
1.6923114,,,,,,,,,,,,,,,
1.4971976,,,,,,,,,,,,,,,
1.5843701,,,,,,,,,,,,,,,
1.1779065,,,,,,,,,,,,,,,
1.569183,,,,,,,,,,,,,,,
1.5487952,,,,,,,,,,,,,,,
2.042462,,,,,,,,,,,,,,,
1.5608131,,,,,,,,,,,,,,,
1.6949109,,,,,,,,,,,,,,,
1.7175871,,,,,,,,,,,,,,,
1.9159182,,,,,,,,,,,,,,,
1.8437958,,,,,,,,,,,,,,,
,421,777,5,1343488,,,,,,,,,,,
1.4804529,,,,,0.07064872980117798,-0.0016295019763674645,0.01749725341796875,897.8807983398438,0.2,27627.889153039454,0.003313127,0.0001,-5.420759341865778,360,0.9389880895614624
1.6143882,,,,,,,,,,,,,,,
1.7061741,,,,,,,,,,,,,,,
1.6588016,,,,,,,,,,,,,,,
1.5477643,,,,,,,,,,,,,,,
1.3847916,,,,,,,,,,,,,,,
1.5215418,,,,,,,,,,,,,,,
1.5887408,,,,,,,,,,,,,,,
1.4133035,,,,,,,,,,,,,,,
1.2105961,,,,,,,,,,,,,,,
1.1857982,,,,,,,,,,,,,,,
1.551369,,,,,,,,,,,,,,,
1.6597347,,,,,,,,,,,,,,,
1.5618507,,,,,,,,,,,,,,,
1.5313606,,,,,,,,,,,,,,,
1.2948093,,,,,,,,,,,,,,,
1.7362685,,,,,,,,,,,,,,,
1.8256278,,,,,,,,,,,,,,,
1.5365505,,,,,,,,,,,,,,,
1.3927895,,,,,,,,,,,,,,,
1.5218667,,,,,,,,,,,,,,,
1.6024377,,,,,,,,,,,,,,,
2.1187346,,,,,,,,,,,,,,,
1.4427011,,,,,,,,,,,,,,,
1.2491486,,,,,,,,,,,,,,,
1.6377228,,,,,,,,,,,,,,,
1.8554202,,,,,,,,,,,,,,,
1.7690871,,,,,,,,,,,,,,,
1.2129849,,,,,,,,,,,,,,,
1.5751348,,,,,,,,,,,,,,,
1.8163855,,,,,,,,,,,,,,,
1.560582,,,,,,,,,,,,,,,
1.1596618,,,,,,,,,,,,,,,
1.1162615,,,,,,,,,,,,,,,
1.3043368,,,,,,,,,,,,,,,
1.8035274,,,,,,,,,,,,,,,
1.892554,,,,,,,,,,,,,,,
1.3209274,,,,,,,,,,,,,,,
1.3170862,,,,,,,,,,,,,,,
1.5207516,,,,,,,,,,,,,,,
1.9531696,,,,,,,,,,,,,,,
1.7458278,,,,,,,,,,,,,,,
1.5842603,,,,,,,,,,,,,,,
1.9340919,,,,,,,,,,,,,,,
1.8651626,,,,,,,,,,,,,,,
1.8028705,,,,,,,,,,,,,,,
1.7222748,,,,,,,,,,,,,,,
1.2943522,,,,,,,,,,,,,,,
1.5673534,,,,,,,,,,,,,,,
1.4787889,,,,,,,,,,,,,,,
1.5279922,,,,,,,,,,,,,,,
1.4355515,,,,,,,,,,,,,,,
1.2621605,,,,,,,,,,,,,,,
1.3627822,,,,,,,,,,,,,,,
1.667531,,,,,,,,,,,,,,,
2.3346562,,,,,,,,,,,,,,,
1.5247349,,,,,,,,,,,,,,,
1.7184339,,,,,,,,,,,,,,,
1.6904323,,,,,,,,,,,,,,,
1.9407442,,,,,,,,,,,,,,,
1.9137156,,,,,,,,,,,,,,,
1.581404,,,,,,,,,,,,,,,
1.4581918,,,,,,,,,,,,,,,
1.6420149,,,,,,,,,,,,,,,
,511,769,6,1409024,,,,,,,,,,,
1.9267492,,,,,0.0937507152557373,-0.0019005567952262935,0.02355194091796875,3254.53857421875,0.2,29374.646002578735,0.004837145,0.0001,-5.416162014007568,370,0.934238076210022
1.8247935,,,,,,,,,,,,,,,
1.368412,,,,,,,,,,,,,,,
1.7102593,,,,,,,,,,,,,,,
1.6649342,,,,,,,,,,,,,,,
1.5342135,,,,,,,,,,,,,,,
1.4861908,,,,,,,,,,,,,,,
1.0266628,,,,,,,,,,,,,,,
0.9202178,,,,,,,,,,,,,,,
1.2335751,,,,,,,,,,,,,,,
1.5934122,,,,,,,,,,,,,,,
1.3640412,,,,,,,,,,,,,,,
1.3006824,,,,,,,,,,,,,,,
1.5018917,,,,,,,,,,,,,,,
2.1511447,,,,,,,,,,,,,,,
1.8748375,,,,,,,,,,,,,,,
1.5228274,,,,,,,,,,,,,,,
1.5286878,,,,,,,,,,,,,,,
1.5840412,,,,,,,,,,,,,,,
1.9243689,,,,,,,,,,,,,,,
1.7448444,,,,,,,,,,,,,,,
1.2633157,,,,,,,,,,,,,,,
1.0925127,,,,,,,,,,,,,,,
1.502221,,,,,,,,,,,,,,,
2.0054073,,,,,,,,,,,,,,,
1.9806753,,,,,,,,,,,,,,,
1.6608512,,,,,,,,,,,,,,,
1.7003707,,,,,,,,,,,,,,,
2.0090399,,,,,,,,,,,,,,,
2.2303572,,,,,,,,,,,,,,,
2.0048895,,,,,,,,,,,,,,,
1.224374,,,,,,,,,,,,,,,
1.4283805,,,,,,,,,,,,,,,
2.0357432,,,,,,,,,,,,,,,
2.7990856,,,,,,,,,,,,,,,
1.5457692,,,,,,,,,,,,,,,
1.9199828,,,,,,,,,,,,,,,
1.6073132,,,,,,,,,,,,,,,
1.8555491,,,,,,,,,,,,,,,
1.2573951,,,,,,,,,,,,,,,
1.520479,,,,,,,,,,,,,,,
1.0400994,,,,,,,,,,,,,,,
1.3644266,,,,,,,,,,,,,,,
1.6036316,,,,,,,,,,,,,,,
1.941787,,,,,,,,,,,,,,,
1.6462588,,,,,,,,,,,,,,,
1.8289533,,,,,,,,,,,,,,,
2.6712012,,,,,,,,,,,,,,,
2.0928965,,,,,,,,,,,,,,,
1.5963821,,,,,,,,,,,,,,,
1.2667685,,,,,,,,,,,,,,,
1.9632688,,,,,,,,,,,,,,,
1.886169,,,,,,,,,,,,,,,
1.8321192,,,,,,,,,,,,,,,
1.2195861,,,,,,,,,,,,,,,
1.2547913,,,,,,,,,,,,,,,
1.397059,,,,,,,,,,,,,,,
1.8430226,,,,,,,,,,,,,,,
2.4688926,,,,,,,,,,,,,,,
1.9656465,,,,,,,,,,,,,,,
1.7038997,,,,,,,,,,,,,,,
1.8342935,,,,,,,,,,,,,,,
1.8816786,,,,,,,,,,,,,,,
1.7341383,,,,,,,,,,,,,,,
,600,763,7,1474560,,,,,,,,,,,
1.1551685,,,,,0.08885353803634644,-0.0019019190334802261,0.02138824462890625,2525.359619140625,0.2,32480.45221170187,0.0044415034,0.0001,-5.392116700857878,380,0.9279280304908752
1.3776433,,,,,,,,,,,,,,,
1.5069185,,,,,,,,,,,,,,,
1.3965557,,,,,,,,,,,,,,,
1.4933431,,,,,,,,,,,,,,,
1.2650366,,,,,,,,,,,,,,,
1.6887867,,,,,,,,,,,,,,,
1.9852872,,,,,,,,,,,,,,,
1.751859,,,,,,,,,,,,,,,
1.489287,,,,,,,,,,,,,,,
1.57199,,,,,,,,,,,,,,,
2.0380008,,,,,,,,,,,,,,,
224.77078,,,,,,,,,,,,,,,
1.6632063,,,,,,,,,,,,,,,
1.626838,,,,,,,,,,,,,,,
1.1773133,,,,,,,,,,,,,,,
1.4286144,,,,,,,,,,,,,,,
1.7774085,,,,,,,,,,,,,,,
1.8537409,,,,,,,,,,,,,,,
1.4549454,,,,,,,,,,,,,,,
1.7394826,,,,,,,,,,,,,,,
2.2150576,,,,,,,,,,,,,,,
1.7660134,,,,,,,,,,,,,,,
1.8148992,,,,,,,,,,,,,,,
1.5138336,,,,,,,,,,,,,,,
1.9237839,,,,,,,,,,,,,,,
2.0993981,,,,,,,,,,,,,,,
1.8300132,,,,,,,,,,,,,,,
2.0407205,,,,,,,,,,,,,,,
1.4889473,,,,,,,,,,,,,,,
1.7908803,,,,,,,,,,,,,,,
2.0560603,,,,,,,,,,,,,,,
1.7988665,,,,,,,,,,,,,,,
1.7407815,,,,,,,,,,,,,,,
2.2170346,,,,,,,,,,,,,,,
2.6175566,,,,,,,,,,,,,,,
2.2983491,,,,,,,,,,,,,,,
1.5287589,,,,,,,,,,,,,,,
1.5474224,,,,,,,,,,,,,,,
1.7004547,,,,,,,,,,,,,,,
2.157546,,,,,,,,,,,,,,,
2.451715,,,,,,,,,,,,,,,
2.0080233,,,,,,,,,,,,,,,
1.927762,,,,,,,,,,,,,,,
2.5587718,,,,,,,,,,,,,,,
2.7474954,,,,,,,,,,,,,,,
2.1079946,,,,,,,,,,,,,,,
1.6199522,,,,,,,,,,,,,,,
1.5616937,,,,,,,,,,,,,,,
2.146267,,,,,,,,,,,,,,,
2.819499,,,,,,,,,,,,,,,
2.1087177,,,,,,,,,,,,,,,
1.8906765,,,,,,,,,,,,,,,
1.6188011,,,,,,,,,,,,,,,
1.710422,,,,,,,,,,,,,,,
1.8941882,,,,,,,,,,,,,,,
1.7888973,,,,,,,,,,,,,,,
1.8308834,,,,,,,,,,,,,,,
2.0507495,,,,,,,,,,,,,,,
1.5382955,,,,,,,,,,,,,,,
2.182554,,,,,,,,,,,,,,,
1.6300869,,,,,,,,,,,,,,,
1.6062945,,,,,,,,,,,,,,,
1.4494487,,,,,,,,,,,,,,,
,691,758,8,1540096,,,,,,,,,,,
1.5065904,,,,,0.085457444190979,-0.0011734066525605157,0.00659942626953125,25604.92578125,0.2,44289.1696416378,0.0029143172,0.0001,-5.374818721413613,390,0.9264847636222839
1.6295431,,,,,,,,,,,,,,,
1.5733056,,,,,,,,,,,,,,,
1.6373794,,,,,,,,,,,,,,,
1.9472144,,,,,,,,,,,,,,,
1.6622591,,,,,,,,,,,,,,,
1.7286179,,,,,,,,,,,,,,,
1.5073954,,,,,,,,,,,,,,,
1.6423225,,,,,,,,,,,,,,,
1.5544693,,,,,,,,,,,,,,,
1.9183512,,,,,,,,,,,,,,,
1.9749578,,,,,,,,,,,,,,,
2.196506,,,,,,,,,,,,,,,
1.6921763,,,,,,,,,,,,,,,
1.7286954,,,,,,,,,,,,,,,
2.0996928,,,,,,,,,,,,,,,
2.5034235,,,,,,,,,,,,,,,
2.2685685,,,,,,,,,,,,,,,
2.038227,,,,,,,,,,,,,,,
1.4126267,,,,,,,,,,,,,,,
1.7797719,,,,,,,,,,,,,,,
2.0859995,,,,,,,,,,,,,,,
1.5864563,,,,,,,,,,,,,,,
2.1447854,,,,,,,,,,,,,,,
2.134264,,,,,,,,,,,,,,,
1.9647909,,,,,,,,,,,,,,,
1.7959081,,,,,,,,,,,,,,,
1.3421673,,,,,,,,,,,,,,,
1.9482704,,,,,,,,,,,,,,,
2.0227401,,,,,,,,,,,,,,,
2.3156557,,,,,,,,,,,,,,,
1.5767078,,,,,,,,,,,,,,,
1.7383049,,,,,,,,,,,,,,,
1.7657175,,,,,,,,,,,,,,,
2.261268,,,,,,,,,,,,,,,
129.46063,,,,,,,,,,,,,,,
1.4761069,,,,,,,,,,,,,,,
1.5581686,,,,,,,,,,,,,,,
1.3167601,,,,,,,,,,,,,,,
1.5265992,,,,,,,,,,,,,,,
1.3414395,,,,,,,,,,,,,,,
1.2861412,,,,,,,,,,,,,,,
1.7669235,,,,,,,,,,,,,,,
1.6782947,,,,,,,,,,,,,,,
1.8333455,,,,,,,,,,,,,,,
1.7767882,,,,,,,,,,,,,,,
1.5888549,,,,,,,,,,,,,,,
1.7669263,,,,,,,,,,,,,,,
2.0539765,,,,,,,,,,,,,,,
2.1682715,,,,,,,,,,,,,,,
1.7081513,,,,,,,,,,,,,,,
1.74052,,,,,,,,,,,,,,,
2.338282,,,,,,,,,,,,,,,
2.5272167,,,,,,,,,,,,,,,
2.2783914,,,,,,,,,,,,,,,
1.8107135,,,,,,,,,,,,,,,
1.7265556,,,,,,,,,,,,,,,
1.4835136,,,,,,,,,,,,,,,
2.0347583,,,,,,,,,,,,,,,
1.4855723,,,,,,,,,,,,,,,
1.5472691,,,,,,,,,,,,,,,
1.6777489,,,,,,,,,,,,,,,
1.3475244,,,,,,,,,,,,,,,
1.4097977,,,,,,,,,,,,,,,
,779,756,9,1605632,,,,,,,,,,,
1.6065986,,,,,0.08759444952011108,-0.0015606410719556153,0.016094970703125,15139.734375,0.2,55633.43039367199,0.0040433635,0.0001,-5.359471301361919,400,0.9203005433082581
1.770207,,,,,,,,,,,,,,,
2.2100291,,,,,,,,,,,,,,,
2.3791413,,,,,,,,,,,,,,,
2.3642626,,,,,,,,,,,,,,,
1.6898676,,,,,,,,,,,,,,,
1.6854047,,,,,,,,,,,,,,,
2.3172922,,,,,,,,,,,,,,,
1.6416175,,,,,,,,,,,,,,,
2.328901,,,,,,,,,,,,,,,
1.8101324,,,,,,,,,,,,,,,
2.4269633,,,,,,,,,,,,,,,
2.136315,,,,,,,,,,,,,,,
2.3645785,,,,,,,,,,,,,,,
1.7247467,,,,,,,,,,,,,,,
2.0901988,,,,,,,,,,,,,,,
1.3687136,,,,,,,,,,,,,,,
1.5087188,,,,,,,,,,,,,,,
1.7609513,,,,,,,,,,,,,,,
1.6549697,,,,,,,,,,,,,,,
1.8419254,,,,,,,,,,,,,,,
1.6561222,,,,,,,,,,,,,,,
1.5918704,,,,,,,,,,,,,,,
2.1263006,,,,,,,,,,,,,,,
1.7164605,,,,,,,,,,,,,,,
1.8000513,,,,,,,,,,,,,,,
1.4751424,,,,,,,,,,,,,,,
1.7463111,,,,,,,,,,,,,,,
2.1175299,,,,,,,,,,,,,,,
1.7425511,,,,,,,,,,,,,,,
1.4083662,,,,,,,,,,,,,,,
1.8477697,,,,,,,,,,,,,,,
2.089547,,,,,,,,,,,,,,,
2.6977456,,,,,,,,,,,,,,,
2.1017418,,,,,,,,,,,,,,,
1.5009646,,,,,,,,,,,,,,,
1.4698118,,,,,,,,,,,,,,,
