time/total_timesteps,time/iterations,rew_vec_envs,time/time_elapsed,time/fps,train/explained_variance,train/value_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/entropy_loss,train/loss,train/n_updates,train/std
4325376,264,547.0410671234131,13449,321,0.5598863959312439,408.8808901414275,0.22982177734375,0.2,-0.012578939195373095,0.0001,0.026652329,-1.704273325065151,35.064002990722656,2630,0.3741235136985779
4341760,265,676.2083911895752,13518,321,0.6125117838382721,431.17249328494074,0.22943115234375,0.2,-0.013221543553117953,0.0001,0.025176406,-1.7029840699862688,38.77750015258789,2640,0.3745826482772827
4358144,266,451.5777425765991,13585,320,0.5874529182910919,405.5114594116807,0.240606689453125,0.2,-0.01120441462353483,0.0001,0.027507572,-1.705328976502642,69.37017822265625,2650,0.3749265670776367
4374528,267,775.3248977661133,13651,320,0.6653568148612976,342.01642682254317,0.243133544921875,0.2,-0.012846421863287105,0.0001,0.03006245,-1.7015448599588126,48.88525390625,2660,0.37408334016799927
4390912,268,459.88071632385254,13714,320,0.6455602645874023,320.02766835689545,0.24334716796875,0.2,-0.012662317317881389,0.0001,0.027031748,-1.6881625435315073,24.769207000732422,2670,0.3726970851421356
4407296,269,670.9990367889404,13780,319,0.6598682105541229,359.5203094214201,0.223370361328125,0.2,-0.013614508259342984,0.0001,0.024028582,-1.6787426799535752,60.141845703125,2680,0.3718525767326355
4423680,270,632.6460113525391,13845,319,0.6615916192531586,301.61261628419163,0.247967529296875,0.2,-0.011982768813322765,0.0001,0.025929723,-1.6734022937715054,37.389041900634766,2690,0.3714275360107422
4440064,271,574.9891319274902,13909,319,0.6528955399990082,399.3199331983924,0.2348876953125,0.2,-0.01157945652721537,0.0001,0.027379598,-1.6646226415410639,58.9301872253418,2700,0.3705657124519348
4456448,272,694.3708305358887,13976,318,0.6677060723304749,322.9572579920292,0.252545166015625,0.2,-0.013801203471848567,0.0001,0.027232645,-1.6561934831086547,159.4204864501953,2710,0.369863897562027
4472832,273,675.8775424957275,14039,318,0.606036514043808,435.91199707239866,0.22021484375,0.2,-0.01349228484195919,0.0001,0.026179874,-1.6477325172163546,40.5286750793457,2720,0.3685639202594757
4489216,274,428.114315032959,14101,318,0.6980548799037933,302.17150496542456,0.239141845703125,0.2,-0.01129815281747142,0.0001,0.02630559,-1.6282547523267568,74.63644409179688,2730,0.366742342710495
4505600,275,561.8005447387695,14165,318,0.6370485723018646,363.352380207181,0.23792724609375,0.2,-0.010288254862462053,0.0001,0.025663957,-1.6275810450781136,54.67953872680664,2740,0.3681105077266693
4521984,276,510.60710525512695,14230,317,0.5775410234928131,428.8007911860943,0.22750244140625,0.2,-0.012350955849433376,0.0001,0.02548599,-1.6404701182618737,59.51509475708008,2750,0.36916834115982056
4538368,277,673.6942481994629,14297,317,0.6158638894557953,314.11591129750013,0.24930419921875,0.2,-0.01149123149280058,0.0001,0.029389849,-1.6333245806396008,44.47164535522461,2760,0.36706990003585815
4554752,278,623.6122283935547,14362,317,0.5747188031673431,356.8400460585952,0.24923095703125,0.2,-0.011528795070080377,0.0001,0.027725324,-1.6213432256132365,69.91322326660156,2770,0.3667777478694916
4571136,279,647.8290367126465,14427,316,0.6617456674575806,297.9205714777112,0.2520263671875,0.2,-0.01219098107649188,0.0001,0.027237732,-1.6124169177841394,52.16011428833008,2780,0.36607491970062256
4587520,280,560.3868217468262,14497,316,0.6257780492305756,306.3442234799266,0.250482177734375,0.2,-0.011552236578427254,0.0001,0.028243717,-1.601766823651269,31.149904251098633,2790,0.364620566368103
4603904,281,519.1164855957031,14564,316,0.6647511124610901,286.3764603495598,0.2525146484375,0.2,-0.010408003858719895,0.0001,0.028763518,-1.5935779624152928,26.17470932006836,2800,0.3646681308746338
4620288,282,767.6043281555176,14637,315,0.6662656366825104,321.47728357315066,0.227178955078125,0.2,-0.01178822201272851,0.0001,0.0261658,-1.5894528055097907,169.7156524658203,2810,0.3637026250362396
4636672,283,538.7943210601807,14706,315,0.6842054128646851,339.0888464227319,0.24012451171875,0.2,-0.012330191600631224,0.0001,0.027139347,-1.5756910212337971,32.98999786376953,2820,0.36217039823532104
4653056,284,708.9372673034668,14780,314,0.661080926656723,325.10000705868003,0.2291748046875,0.2,-0.013797919721218932,0.0001,0.02644117,-1.5673544581513852,58.27920913696289,2830,0.36250409483909607
4669440,285,568.6113662719727,14851,314,0.6359206140041351,347.14479731470345,0.249432373046875,0.2,-0.01313964792407205,0.0001,0.029083304,-1.5694311930332332,71.04158782958984,2840,0.3618634045124054
4685824,286,533.3854885101318,14923,313,0.6031810343265533,430.9029219537973,0.22596435546875,0.2,-0.013251002695869828,0.0001,0.027364314,-1.5566649620421231,80.71110534667969,2850,0.36073166131973267
4702208,287,637.3597793579102,14997,313,0.667969822883606,307.9208228737116,0.2527099609375,0.2,-0.012217899756251427,0.0001,0.028228972,-1.5565061592962592,56.03086471557617,2860,0.3618142008781433
4718592,288,715.9092407226562,15070,313,0.6383331120014191,321.8168740078807,0.237701416015625,0.2,-0.012273164823636763,0.0001,0.028312333,-1.570375884976238,30.141563415527344,2870,0.36214351654052734
4734976,289,621.9237937927246,15145,312,0.5317678451538086,374.33841525763273,0.247247314453125,0.2,-0.010874542977762757,0.0001,0.030540597,-1.5605443231761456,28.27992820739746,2880,0.36067116260528564
