time/time_elapsed,time/iterations,time/fps,rew_vec_envs,time/total_timesteps,train/std,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/clip_fraction,train/loss,train/approx_kl,train/entropy_loss
1460,23,515,6953.608734130859,15433728,0.1939271241426468,0.001,0.0017917405104526552,0.8176730871200562,4700,0.2,10286.048796081543,0.2863922119140625,2450.30859375,0.031346697,1.6920662205666304
1524,24,515,6656.557342529297,15466496,0.19374695420265198,0.001,0.004201549211211386,0.8151765912771225,4710,0.2,10977.759134674072,0.2951507568359375,2010.714599609375,0.031140927,1.6907295238226652
1588,25,515,6677.729080200195,15499264,0.1935444176197052,0.001,0.004351061566558201,0.8183712065219879,4720,0.2,10778.799131774902,0.2882843017578125,1942.52880859375,0.02624052,1.694129240885377
1652,26,515,6912.813232421875,15532032,0.1933917999267578,0.001,0.0031758981460370704,0.7838489264249802,4730,0.2,11263.90110244751,0.278173828125,2901.71728515625,0.023690913,1.6981036104261875
1715,27,515,6583.097427368164,15564800,0.19314943253993988,0.001,0.0019342354531545424,0.8270771950483322,4740,0.2,10528.777735519408,0.2759796142578125,3941.744384765625,0.029445414,1.70413427464664
1780,28,515,7115.425933837891,15597568,0.1927987039089203,0.001,0.002953012967554969,0.8069426268339157,4750,0.2,11296.870051574708,0.278594970703125,2716.82373046875,0.032075286,1.708559062331915
1844,29,515,7218.027252197266,15630336,0.19252440333366394,0.001,0.004101258880109526,0.8138111084699631,4760,0.2,10121.03426246643,0.2719818115234375,1953.2532958984375,0.023233369,1.7139465974643826
1909,30,514,6688.916717529297,15663104,0.19276836514472961,0.001,0.002963771470967913,0.8121056258678436,4770,0.2,11213.569924163818,0.26270751953125,2274.241943359375,0.028254772,1.7173978289589287
1974,31,514,6727.481262207031,15695872,0.19239310920238495,0.001,0.001126221397498739,0.8131566494703293,4780,0.2,10710.349333190918,0.2633087158203125,1935.523193359375,0.029899504,1.7195094037801026
2038,32,514,6994.237060546875,15728640,0.1924431174993515,0.001,0.0025739979446370853,0.8103213608264923,4790,0.2,11504.420658493042,0.26715087890625,2427.39794921875,0.02655368,1.7243846056982874
