time/total_timesteps,time/fps,rew_vec_envs,time/time_elapsed,time/iterations,train/learning_rate,train/entropy_loss,train/clip_range,train/explained_variance,train/loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/std
3915776,489,-154.95571947097778,7996,239,0.001,-3.6204902224242685,0.2,0.4112470746040344,13.159248352050781,2380,0.015597942766908091,0.709051513671875,0.36319602,152.14435005784034,0.5971683263778687
3932160,489,-179.5690393447876,8032,240,0.001,-3.596802359074354,0.2,0.4707973003387451,76.3140869140625,2390,-0.016265067936910783,0.518914794921875,0.15011354,247.66703642308713,0.5940603017807007
3948544,489,-179.08503341674805,8069,241,0.001,-3.5627269823104144,0.2,0.5138229131698608,80.67327117919922,2400,-0.01913885962567292,0.494317626953125,0.1653926,224.52930875420572,0.5884124040603638
3964928,489,-213.06876802444458,8106,242,0.001,-3.561145994067192,0.2,0.5143122375011444,26.591995239257812,2410,-0.003014814179914538,0.622216796875,0.23637414,198.03548932671546,0.5877937078475952
3981312,488,-54.08113479614258,8142,243,0.001,-3.5579900961369275,0.2,0.634124219417572,10.412342071533203,2420,-0.0026515113040659344,0.6412841796875,0.33318442,142.63523093909026,0.5890240669250488
3997696,488,-187.44611358642578,8180,244,0.001,-3.58075367026031,0.2,0.503201812505722,65.17243957519531,2430,0.004958229188923724,0.652398681640625,0.26616764,194.4950042396784,0.5887349843978882
4014080,488,-277.58973121643066,8222,245,0.001,-3.5645738136023284,0.2,0.5355366468429565,34.42424774169922,2440,0.02713271868415177,0.642242431640625,2.6521559,174.16544885337353,0.6005831360816956
4030464,487,-237.70712327957153,8262,246,0.001,-3.625445434078574,0.2,0.5545230507850647,84.8891372680664,2450,-0.0272520295708091,0.311053466796875,0.049951352,455.22962869405745,0.5967023372650146
4046848,487,-207.82583141326904,8301,247,0.001,-3.5917904917150736,0.2,0.5676805377006531,81.22605895996094,2460,-0.021121094363479642,0.394683837890625,0.10614869,295.991709959507,0.5914808511734009
4063232,487,-259.1881904602051,8342,248,0.001,-3.5717447120696306,0.2,0.4639095664024353,49.821990966796875,2470,-0.016412575375579764,0.48599853515625,0.1394858,272.97696494460104,0.5888721942901611
4079616,486,-190.47598600387573,8379,249,0.001,-3.542804954946041,0.2,0.6332216560840607,28.44329833984375,2480,-0.013557152079010848,0.47283935546875,0.117856555,255.2220051705837,0.5857808589935303
4096000,486,-285.2490510940552,8417,250,0.001,-3.5080405555665495,0.2,0.5469618141651154,276.87359619140625,2490,-0.019648600662185343,0.46553955078125,0.124802686,239.99593684077263,0.5797258615493774
4112384,486,-255.54182863235474,8454,251,0.001,-3.546633819118142,0.2,0.5863409638404846,20.802486419677734,2500,0.011358467691752593,0.6527587890625,0.3236746,159.8434946924448,0.5877074003219604
4128768,486,-127.31884145736694,8492,252,0.001,-3.6235195476561786,0.2,0.514139860868454,51.128501892089844,2510,0.028131741978722858,0.6812255859375,0.3747557,170.76290494501592,0.5931179523468018
4145152,485,-194.04991245269775,8529,253,0.001,-3.632519183680415,0.2,0.4823417663574219,50.527034759521484,2520,0.0156575281653204,0.638714599609375,0.2174716,168.79806680083274,0.5985376834869385
4161536,485,-217.8333568572998,8568,254,0.001,-3.6174687132239343,0.2,0.39340758323669434,13.462114334106445,2530,0.0012934269238030539,0.65440673828125,0.35539147,266.93434259295464,0.5936180353164673
4177920,485,-386.1216354370117,8607,255,0.001,-3.6118908524513245,0.2,0.4117100238800049,149.0927276611328,2540,0.003729909645335283,0.64874267578125,0.33098724,170.83451368510723,0.5953270196914673
4194304,485,-68.20977544784546,8643,256,0.001,-3.5815034776926042,0.2,0.46894127130508423,31.21091651916504,2550,-0.019183780617458977,0.488983154296875,0.1256369,321.5023562371731,0.5919066667556763
4210688,484,-134.35714387893677,8682,257,0.001,-3.6064011100679636,0.2,0.46096813678741455,161.21791076660156,2560,0.010690486070234328,0.686865234375,0.32620865,158.7644046396017,0.5932658910751343
4227072,482,-972.7917785644531,8757,258,0.001,-3.7266241017729045,0.2,0.5200647413730621,25.295209884643555,2570,0.14819514449627605,0.87763671875,5.8789396,244.1184754252434,0.6411756873130798
4243456,480,-932.5498199462891,8833,259,0.001,-3.8851059433072805,0.2,0.30524730682373047,799.2362670898438,2580,-0.0217728384421207,0.172149658203125,0.018166047,1929.6955345153808,0.6406019926071167
4259840,478,-901.2024774551392,8907,260,0.001,-3.879583615064621,0.2,0.47788846492767334,336.8500671386719,2590,-0.026392870604468044,0.186236572265625,0.025016543,1268.3862102985381,0.6400727033615112
4276224,476,-792.6265869140625,8978,261,0.001,-3.863481260091066,0.2,0.42048245668411255,407.59881591796875,2600,-0.029481614757241915,0.22181396484375,0.03280148,1111.0708182811736,0.6356489658355713
