time/fps,time/total_timesteps,rew_vec_envs,time/time_elapsed,time/iterations,train/approx_kl,train/entropy_loss,train/clip_fraction,train/n_updates,train/std,train/loss,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/value_loss,train/explained_variance
597,311296,32.93475556373596,521,19,0.006445404,-5.503149644285441,0.05506591796875,180,0.9576293230056763,2.645080327987671,-0.002334295124273922,0.2,0.0001,79.88202683925628,0.1388738751411438
596,327680,30.691954135894775,549,20,0.006630638,-5.493465073406696,0.0658935546875,190,0.9532121419906616,1.202677845954895,-0.00220782428405073,0.2,0.0001,3.2636546548455954,0.6655575335025787
595,344064,37.28577494621277,578,21,0.0058533773,-5.482576990872621,0.039715576171875,200,0.9529608488082886,4.135056018829346,-0.0017357837670715526,0.2,0.0001,62.003074954077604,0.19041591882705688
593,360448,33.412832498550415,606,22,0.0069512213,-5.484807424247265,0.067205810546875,210,0.9541752934455872,4.541668891906738,-0.002982444365079573,0.2,0.0001,19.12764492481947,0.5946841239929199
591,376832,44.06496000289917,636,23,0.006948081,-5.488412030041218,0.08070068359375,220,0.9546840190887451,2.579432964324951,-0.0032857725120265966,0.2,0.0001,5.385757210664451,0.6917762458324432
590,393216,45.06709122657776,666,24,0.008098857,-5.489936113357544,0.06986083984375,230,0.9543544054031372,1.8413279056549072,-0.0014109605006524361,0.2,0.0001,7.68832422811538,0.6514936089515686
588,409600,41.71411323547363,695,25,0.006711496,-5.487889228761196,0.06610107421875,240,0.9541241526603699,45.57652282714844,-0.002068709449849848,0.2,0.0001,49.307284742221235,0.3803832530975342
587,425984,76.06329464912415,724,26,0.007250904,-5.491317987442017,0.084320068359375,250,0.9557204246520996,1.9398635625839233,-0.002191687326194369,0.2,0.0001,5.032168991863728,0.7521708160638809
585,442368,40.88609480857849,754,27,0.005619811,-5.498129183053971,0.06302490234375,260,0.9573574066162109,41.38185119628906,-0.0021302148588802083,0.2,0.0001,46.985911997407676,0.5000164210796356
584,458752,46.32814168930054,785,28,0.008762887,-5.487189058214426,0.10614013671875,270,0.9517838954925537,1.7002400159835815,-0.0027609015933194314,0.2,0.0001,6.222578826919198,0.7501077204942703
583,475136,66.83666276931763,814,29,0.008484496,-5.473326200246811,0.081158447265625,280,0.9495252370834351,3.1565380096435547,-0.0025211067137206554,0.2,0.0001,46.14840900339186,0.5380818545818329
582,491520,47.84621000289917,844,30,0.005795488,-5.467672840505839,0.054937744140625,290,0.9488886594772339,9.539588928222656,-0.002637458423851058,0.2,0.0001,14.08452490158379,0.6760545372962952
581,507904,40.070008516311646,873,31,0.007503105,-5.464690210670232,0.071734619140625,300,0.9478210806846619,4.857551574707031,-0.0022189013879142295,0.2,0.0001,93.46387162059546,0.4529244303703308
580,524288,79.6933364868164,902,32,0.0065048276,-5.457039657235145,0.05650634765625,310,0.9459624290466309,6.922318935394287,-0.0026070251948112854,0.2,0.0001,23.376833459734918,0.7665386646986008
579,540672,43.4471173286438,932,33,0.006176342,-5.450113621354103,0.058917236328125,320,0.9441313743591309,16.80132484436035,-0.0006861599285912234,0.2,0.0001,43.407862059026954,0.7099675238132477
578,557056,42.23991370201111,962,34,0.008145329,-5.462634363025427,0.105389404296875,330,0.9511727690696716,5.216372013092041,-0.0025596217870770487,0.2,0.0001,7.438252397254109,0.8105464726686478
577,573440,76.86888217926025,992,35,0.0065356595,-5.477379105240106,0.075408935546875,340,0.9521637558937073,3.6017239093780518,-0.0016630938476737355,0.2,0.0001,19.704753890633583,0.7559289932250977
576,589824,42.93834209442139,1022,36,0.0077357544,-5.478097680956125,0.06151123046875,350,0.9515694379806519,21.46183204650879,-0.0023717499347185368,0.2,0.0001,158.8007488489151,0.5421909689903259
575,606208,52.837772369384766,1053,37,0.005099139,-5.474507361650467,0.058160400390625,360,0.9504595994949341,14.316315650939941,-0.0017231108553460218,0.2,0.0001,65.35872853696347,0.6994572579860687
574,622592,52.16037940979004,1083,38,0.0067750374,-5.467848692089319,0.06572265625,370,0.9483135342597961,130.80319213867188,-0.003060635175461357,0.2,0.0001,73.2530797213316,0.676794707775116
573,638976,12.450484275817871,1113,39,0.0075544836,-5.4607373684644696,0.090228271484375,380,0.9475038051605225,6.170750141143799,-0.0023883571045189454,0.2,0.0001,90.7405785664916,0.5219780802726746
573,655360,80.02396655082703,1143,40,0.0071869106,-5.463470895588398,0.070166015625,390,0.9495545625686646,90.78417205810547,-0.002317416099640468,0.2,0.0001,112.31284035742283,0.5062664151191711
572,671744,39.714940547943115,1173,41,0.0073017087,-5.46320692896843,0.080352783203125,400,0.946757435798645,41.624881744384766,-0.0019416917481066775,0.2,0.0001,50.85602740645409,0.6729290187358856
571,688128,94.9064588546753,1203,42,0.007080609,-5.456526046991348,0.06104736328125,410,0.9463503360748291,39.68071746826172,-0.0010730368356234976,0.2,0.0001,69.82972290962934,0.5072777271270752
571,704512,97.5318431854248,1233,43,0.0073670624,-5.452778983861208,0.0755615234375,420,0.9454303979873657,10.088915824890137,-0.002523934092687341,0.2,0.0001,78.04269241690636,0.7137828171253204
570,720896,100.98799085617065,1263,44,0.008020199,-5.446462814509869,0.09063720703125,430,0.9435753226280212,54.79045104980469,-0.0015385685246656067,0.2,0.0001,72.23663442358375,0.6059362590312958
569,737280,93.82245588302612,1293,45,0.0070576016,-5.443459342420101,0.06441650390625,440,0.9436038732528687,74.65029907226562,-0.0021249744372653367,0.2,0.0001,150.9493741452694,0.6829015910625458
568,753664,57.46421480178833,1325,46,0.007820053,-5.428346490859985,0.075067138671875,450,0.9377057552337646,14.148950576782227,-0.0016578735361690634,0.2,0.0001,91.32028961777687,0.7359598875045776
567,770048,63.65141582489014,1357,47,0.008661937,-5.416865988820791,0.099761962890625,460,0.9371249079704285,9.577508926391602,-0.001326252048056631,0.2,0.0001,30.486820785701276,0.6582836210727692
566,786432,82.24712228775024,1388,48,0.008533349,-5.4119870536029335,0.109295654296875,470,0.9355354309082031,15.350010871887207,-0.001350790115611744,0.2,0.0001,56.72196345180273,0.6222012042999268
565,802816,71.56840515136719,1419,49,0.0067289146,-5.405165480077267,0.088018798828125,480,0.9342930316925049,7.924762725830078,-0.0017750059476384194,0.2,0.0001,34.79847145378589,0.7786277830600739
564,819200,59.364205837249756,1451,50,0.008106161,-5.403262741118669,0.083636474609375,490,0.9350229501724243,46.635162353515625,-0.002077026903316437,0.2,0.0001,85.91830640733242,0.5930770933628082
563,835584,54.17657232284546,1482,51,0.006742917,-5.399166147410869,0.082598876953125,500,0.9324564337730408,28.081043243408203,-0.0031834456445722025,0.2,0.0001,104.00280801057815,0.5983822345733643
563,851968,49.664061069488525,1512,52,0.010550167,-5.370084664970636,0.112884521484375,510,0.923798680305481,10.356194496154785,-0.0022941369361433317,0.2,0.0001,25.40772189795971,0.7781343013048172
562,868352,60.89491105079651,1542,53,0.00748341,-5.355130533874035,0.06883544921875,520,0.9230029582977295,22.950119018554688,-0.0024346224457985955,0.2,0.0001,205.40109826922418,0.42306196689605713
562,884736,28.481653690338135,1572,54,0.0068918252,-5.350479983538389,0.06160888671875,530,0.9216130971908569,25.06529426574707,-0.0017682609125586168,0.2,0.0001,69.03040344268084,0.6824706792831421
562,901120,148.3843388557434,1603,55,0.006502256,-5.343573395907879,0.053985595703125,540,0.9197341203689575,41.65701675415039,-0.0028136060182077927,0.2,0.0001,109.52841965258122,0.6257503628730774
561,917504,233.37246227264404,1633,56,0.0059900708,-5.342228535562754,0.05556640625,550,0.9209493398666382,90.55901336669922,-0.002410577809314418,0.2,0.0001,255.08733277320863,0.5990343391895294
