time/iterations,time/fps,time/time_elapsed,rew_vec_envs,time/total_timesteps,train/value_loss,train/clip_range,train/approx_kl,train/learning_rate,train/std,train/explained_variance,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/loss
13,1045,407,-376.3354549407959,425984,162.1953810662031,0.2,0.013347451,0.001,0.9041909575462341,0.46332669258117676,0.16500244140625,120,-0.008962162761599756,-5.278497661650181,327.9912414550781
14,1039,441,-360.0245895385742,458752,87.09063382148743,0.2,0.015611868,0.001,0.899782121181488,0.5146231353282928,0.1779693603515625,130,-0.010843961343925911,-5.26150847747922,13.94597339630127
15,1034,475,-333.71852016448975,491520,8095.892481505871,0.2,0.016102934,0.001,0.8916524648666382,0.09116798639297485,0.1879241943359375,140,-0.006543650382809574,-5.229782909154892,13.556245803833008
16,1030,508,-354.2052249908447,524288,75.67408027946949,0.2,0.01754071,0.001,0.8810892105102539,0.5508321523666382,0.2043701171875,150,-0.010633387791312999,-5.175293920189143,15.096073150634766
17,1026,542,-343.72344970703125,557056,124.57112477719784,0.2,0.020591196,0.001,0.8713922500610352,0.5413540601730347,0.2217498779296875,160,-0.009264151916067932,-5.1370568633079525,24.907411575317383
18,1019,578,-339.82945442199707,589824,82.60825397372246,0.2,0.019407954,0.001,0.8610299825668335,0.4859340190887451,0.2220672607421875,170,-0.010820404706464615,-5.093302375823259,18.40179443359375
19,1003,620,-337.6384744644165,622592,84.54616962373257,0.2,0.019640215,0.001,0.8570377826690674,0.4558179974555969,0.222088623046875,180,-0.012546010710138944,-5.057566848397255,19.427391052246094
20,997,656,-354.13576221466064,655360,9802.15181336403,0.2,0.016313113,0.001,0.8473330140113831,0.0571138858795166,0.2195709228515625,190,-0.005814970206120052,-5.025460655242204,4048.63720703125
21,994,691,-346.21115589141846,688128,110.14616076350212,0.2,0.022520844,0.001,0.8399552702903748,0.5364808738231659,0.2267242431640625,200,-0.012192755381511234,-4.986099048703909,35.97555923461914
22,991,727,-319.3691711425781,720896,91.67730260789395,0.2,0.020875737,0.001,0.832584023475647,0.5907917022705078,0.21636962890625,210,-0.012869058834257884,-4.953172197937965,11.693209648132324
23,989,761,-343.1938056945801,753664,21705.53687284589,0.2,0.017691076,0.001,0.8307530879974365,0.02978992462158203,0.187872314453125,220,-0.005159114355410566,-4.932305055111646,29.59360122680664
24,985,798,-361.29669761657715,786432,107.94134889543056,0.2,0.020564277,0.001,0.8297872543334961,0.462638795375824,0.228204345703125,230,-0.01246228388772579,-4.932712740451097,13.304817199707031
25,982,833,-329.5688953399658,819200,990.9890362739563,0.2,0.019485965,0.001,0.8235788345336914,0.2794893980026245,0.193682861328125,240,-0.008011009692199877,-4.908737413585186,59.22187042236328
26,980,869,-281.6561679840088,851968,2255.9455418765547,0.2,0.018523037,0.001,0.8230920433998108,0.21456509828567505,0.2052032470703125,250,-0.006791600790529628,-4.8961493916809555,21.246849060058594
27,968,913,-325.2867708206177,884736,1383.2968749433755,0.2,0.027112752,0.001,0.8174950480461121,0.3098057508468628,0.2548919677734375,260,-0.007773755454400089,-4.880659916251898,18.510927200317383
28,966,948,-62.581191062927246,917504,130.13424102962017,0.2,0.022432636,0.001,0.812923789024353,0.635653167963028,0.2490081787109375,270,-0.011635887744341744,-4.859544795006514,18.215368270874023
29,965,984,-332.9201936721802,950272,10365.252090466023,0.2,0.018048866,0.001,0.8093721866607666,0.10382342338562012,0.2035400390625,280,-0.005500145473342854,-4.839354962110519,33.03740310668945
30,965,1018,-269.604772567749,983040,155.19643935263156,0.2,0.023416132,0.001,0.8075489401817322,0.5604319870471954,0.258343505859375,290,-0.012580460695244256,-4.8234896458685395,17.034543991088867
31,963,1053,-326.5311737060547,1015808,110.84667412638665,0.2,0.026310457,0.001,0.8020592927932739,0.7257834672927856,0.2704559326171875,300,-0.010782255086814985,-4.794583821296692,17.849292755126953
32,962,1088,-308.5223207473755,1048576,100.83871308863164,0.2,0.030846262,0.001,0.7983596324920654,0.6391397416591644,0.2738555908203125,310,-0.01331075781636173,-4.777534846961498,13.17102336883545
