time/time_elapsed,time/iterations,rew_vec_envs,time/fps,time/total_timesteps,train/loss,train/explained_variance,train/value_loss,train/n_updates,train/std,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/clip_range,train/entropy_loss
2415,29,0.7398112,295,3743744,153.55224609375,0.23074311017990112,278.1894582748413,1720,0.8832604885101318,-0.003786378658939308,0.0389404296875,0.0001,0.006751357,0.2,-5.169968419273695
2498,30,0.70332265,295,3768320,12.887961387634277,0.6124127805233002,51.06056654055913,1730,0.8812973499298096,-0.00740391090293997,0.051436360677083334,0.0001,0.0064571463,0.2,-5.1606944064299265
2586,31,0.7151905,294,3792896,11.642934799194336,0.4755510091781616,43.23237899541855,1740,0.8757626414299011,-0.007006276470201555,0.05652669270833333,0.0001,0.006978352,0.2,-5.144379101196924
2681,32,0.7097557,293,3817472,35.71746063232422,0.23748403787612915,335.5875455061595,1750,0.873607337474823,-0.003177440068490493,0.022151692708333334,0.0001,0.004110444,0.2,-5.126555840174357
2787,33,0.633952,290,3842048,130.65187072753906,0.21623045206069946,122.26743303537368,1760,0.873659610748291,-0.005051595119584818,0.04613444010416667,0.0001,0.00602146,0.2,-5.122018194198608
2891,34,0.72410965,288,3866624,16.79151725769043,0.4505467414855957,58.75777354240417,1770,0.8683116436004639,-0.005705181250717336,0.050537109375,0.0001,0.006863531,0.2,-5.109152041872343
2963,35,0.7602701,290,3891200,17.269590377807617,0.40239351987838745,59.704023698965706,1780,0.8689702153205872,-0.006761437549721449,0.06214192708333333,0.0001,0.0062760324,0.2,-5.09842979212602
3057,36,0.70900726,289,3915776,15.745967864990234,0.157453715801239,285.50437371730806,1790,0.8669594526290894,-0.003143700828756361,0.031245930989583334,0.0001,0.004586251,0.2,-5.09658409456412
3158,37,0.84261507,287,3940352,20.87177085876465,-0.30816125869750977,120.66438531478246,1800,0.8623344898223877,-0.004550966425449587,0.052388509114583336,0.0001,0.0065518334,0.2,-5.082084202766419
3265,38,0.70761794,286,3964928,69.4439468383789,0.2781599164009094,133.93980159362158,1810,0.8601304292678833,-0.004909063963956821,0.04013671875,0.0001,0.005858241,0.2,-5.065448025862376
3377,39,0.66897553,283,3989504,13.800209999084473,0.4513368606567383,89.77558450301488,1820,0.8619511723518372,-0.006191607162569805,0.05813395182291667,0.0001,0.006648943,0.2,-5.063664164145788
3481,40,0.8715854,282,4014080,83.1853256225586,0.37124699354171753,109.2964672644933,1830,0.859065055847168,-0.006183841436480483,0.04073486328125,0.0001,0.00657711,0.2,-5.0605542153120044
3575,41,0.6269252,281,4038656,35.943809509277344,0.5376956462860107,112.85286224683126,1840,0.8587549328804016,-0.004895632872163939,0.042928059895833336,0.0001,0.0062945806,0.2,-5.053631082177162
