rew_vec_envs,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/std,train/clip_range,train/value_loss,train/approx_kl,train/loss,train/entropy_loss,train/explained_variance
0.55978626,,,,,90,-0.004446531408393639,0.0001,0.031243896484375,0.9917640686035156,0.2,51.84128779172897,0.004668924,23.858346939086914,-5.644772693514824,0.21933966875076294
0.65548575,,,,,,,,,,,,,,,
,163840,10,466,351,,,,,,,,,,,
0.6173713,,,,,100,-0.0036293031327659262,0.0001,0.020831298828125,0.9930395483970642,0.2,54.068868410587314,0.0038384655,24.543964385986328,-5.645349390804768,0.2305072546005249
0.55018175,,,,,,,,,,,,,,,
,180224,11,463,388,,,,,,,,,,,
0.6485076,,,,,110,-0.0036101379275351063,0.0001,0.03021240234375,0.9927506446838379,0.2,78.53821145296097,0.0048837997,28.401424407958984,-5.647269937396049,0.17291688919067383
0.60901135,,,,,,,,,,,,,,,
,196608,12,461,425,,,,,,,,,,,
0.5991576,,,,,120,-0.004767726285717799,0.0001,0.033453369140625,0.9928237199783325,0.2,58.85609238147735,0.005144176,29.363739013671875,-5.646692018210888,0.29606062173843384
0.587525,,,,,,,,,,,,,,,
,212992,13,459,463,,,,,,,,,,,
0.7245809,,,,,130,-0.005069875688786851,0.0001,0.035040283203125,0.9920346736907959,0.2,64.76417894363404,0.004639388,42.78990173339844,-5.645875871181488,0.2627127170562744
0.62202877,,,,,,,,,,,,,,,
,229376,14,458,500,,,,,,,,,,,
0.58126783,,,,,140,-0.004289763760607457,0.0001,0.02569580078125,0.9937775135040283,0.2,59.10553692579269,0.0042280536,32.907745361328125,-5.647511129081249,0.2909943461418152
0.6333797,,,,,,,,,,,,,,,
,245760,15,456,537,,,,,,,,,,,
0.65386677,,,,,150,-0.005151796062637004,0.0001,0.033990478515625,0.9933151602745056,0.2,65.29528493881226,0.004931506,22.01285171508789,-5.649736104905605,0.29717493057250977
0.56658524,,,,,,,,,,,,,,,
,262144,16,454,577,,,,,,,,,,,
0.6304395,,,,,160,-0.003804374809624278,0.0001,0.022747802734375,0.9921900033950806,0.2,73.06991189718246,0.004495957,28.918926239013672,-5.647140197455883,0.23169481754302979
0.57317054,,,,,,,,,,,,,,,
,278528,17,451,616,,,,,,,,,,,
0.64208925,,,,,170,-0.00513368267493206,0.0001,0.0357666015625,0.9902311563491821,0.2,58.453919768333435,0.00495701,29.996173858642578,-5.640231564640999,0.2621424198150635
0.66314894,,,,,,,,,,,,,,,
,294912,18,449,655,,,,,,,,,,,
0.6436987,,,,,180,-0.0033171819890412736,0.0001,0.01767578125,0.9881833791732788,0.2,129.89023427963258,0.004223767,36.854129791259766,-5.631419423222542,0.30796128511428833
0.63368094,,,,,,,,,,,,,,,
,311296,19,447,695,,,,,,,,,,,
0.5131149,,,,,190,-0.0034661548008443786,0.0001,0.019915771484375,0.9901485443115234,0.2,104.09950077533722,0.0036314568,29.441673278808594,-5.632755146920681,0.2748562693595886
0.67657304,,,,,,,,,,,,,,,
,327680,20,446,734,,,,,,,,,,,
0.5533429,,,,,200,-0.003765288799695554,0.0001,0.01802978515625,0.9903625249862671,0.2,357.28907079696654,0.0040341313,442.65362548828125,-5.637022195756435,0.16769707202911377
0.5757477,,,,,,,,,,,,,,,
,344064,21,444,774,,,,,,,,,,,
0.7173046,,,,,210,-0.0027256010254859573,0.0001,0.02266845703125,0.9911567568778992,0.2,288.81998537778856,0.004446152,31.161575317382812,-5.638287940621376,0.14703792333602905
0.58578783,,,,,,,,,,,,,,,
,360448,22,442,814,,,,,,,,,,,
0.5763327,,,,,220,-0.005396161484532059,0.0001,0.033709716796875,0.9895635843276978,0.2,53.72093871831894,0.004946368,26.878036499023438,-5.636992686986924,0.4845842719078064
0.74362034,,,,,,,,,,,,,,,
,376832,23,440,855,,,,,,,,,,,
0.6165098,,,,,230,-0.005111908925755415,0.0001,0.020660400390625,0.9902149438858032,0.2,56.363526499271394,0.0037119228,24.318845748901367,-5.634751123189926,0.47086596488952637
0.61564827,,,,,,,,,,,,,,,
,393216,24,438,896,,,,,,,,,,,
0.5257478,,,,,240,-0.007068470339072519,0.0001,0.04765625,0.9903159141540527,0.2,55.5542415857315,0.0053337156,18.819482803344727,-5.636653809249401,0.4911627769470215
0.5819082,,,,,,,,,,,,,,,
,409600,25,437,936,,,,,,,,,,,
0.61482614,,,,,250,-0.003983674977644114,0.0001,0.0249267578125,0.989741325378418,0.2,114.9053849697113,0.004329504,31.8041934967041,-5.635340988636017,0.3372577428817749
0.58119774,,,,,,,,,,,,,,,
,425984,26,435,977,,,,,,,,,,,
0.6940948,,,,,260,-0.0055984272861678615,0.0001,0.028216552734375,0.9885163307189941,0.2,55.60183843374252,0.0046400414,26.04015350341797,-5.631868647038937,0.47238922119140625
0.7378301,,,,,,,,,,,,,,,
,442368,27,434,1018,,,,,,,,,,,
0.66221035,,,,,270,-0.005719330916690524,0.0001,0.0364501953125,0.9883142113685608,0.2,224.02685211896897,0.0049482,315.074951171875,-5.628447470068932,0.4066122770309448
0.6171056,,,,,,,,,,,,,,,
,458752,28,433,1058,,,,,,,,,,,
0.61532354,,,,,280,-0.003243156300231931,0.0001,0.03492431640625,0.9860751628875732,0.2,455.2501934528351,0.0054264697,78.68820190429688,-5.624059341847897,0.16688185930252075
0.60179543,,,,,,,,,,,,,,,
,475136,29,432,1099,,,,,,,,,,,
0.6009147,,,,,290,-0.004118686486617662,0.0001,0.02457275390625,0.9858357906341553,0.2,360.3984018445015,0.004755255,520.056640625,-5.618849615752697,0.29995429515838623
0.77340525,,,,,,,,,,,,,,,
,491520,30,431,1140,,,,,,,,,,,
0.6291429,,,,,300,-0.002434686585183954,0.0001,0.01522216796875,0.9865785241127014,0.2,587.2444236636162,0.00397857,476.3444519042969,-5.619380737841129,0.12087446451187134
0.6305984,,,,,,,,,,,,,,,
,507904,31,430,1181,,,,,,,,,,,
0.6648686,,,,,310,-0.003825904257610091,0.0001,0.02652587890625,0.9861166477203369,0.2,151.65464142560958,0.0049670977,71.97201538085938,-5.621120899915695,0.2870750427246094
0.7277943,,,,,,,,,,,,,,,
,524288,32,429,1221,,,,,,,,,,,
0.68593425,,,,,320,-0.0037360731934313663,0.0001,0.02884521484375,0.9847612977027893,0.2,240.18113629817964,0.004896668,26.233720779418945,-5.616739092767238,0.278430700302124
0.7485792,,,,,,,,,,,,,,,
,540672,33,428,1262,,,,,,,,,,,
0.67663085,,,,,330,-0.004339607575911941,0.0001,0.032427978515625,0.9827663898468018,0.2,174.22089191675187,0.0041872514,28.034265518188477,-5.609456452727318,0.23820596933364868
0.804877,,,,,,,,,,,,,,,
,557056,34,427,1303,,,,,,,,,,,
0.8237544,,,,,340,-0.0036403785008587873,0.0001,0.025921630859375,0.9801536798477173,0.2,188.3801028609276,0.003694858,51.941200256347656,-5.601182360947132,0.3945891261100769
0.6512482,,,,,,,,,,,,,,,
,573440,35,426,1343,,,,,,,,,,,
0.790883,,,,,350,-0.004854148068261566,0.0001,0.0233154296875,0.9809184074401855,0.2,493.74513453245163,0.0053226016,235.8836212158203,-5.5960299745202065,0.3393154740333557
0.61023474,,,,,,,,,,,,,,,
,589824,36,425,1384,,,,,,,,,,,
0.73313195,,,,,360,-0.0050369253047392705,0.0001,0.031121826171875,0.9782916307449341,0.2,247.2689505815506,0.0051893923,25.929662704467773,-5.5928282052278515,0.23959296941757202
0.63692635,,,,,,,,,,,,,,,
,606208,37,425,1425,,,,,,,,,,,
0.69574505,,,,,370,-0.0028322530772129538,0.0001,0.013812255859375,0.976952075958252,0.2,337.7491732954979,0.0032923934,395.2710876464844,-5.585113149881363,0.41842120885849
0.64776176,,,,,,,,,,,,,,,
,622592,38,424,1466,,,,,,,,,,,
0.7449035,,,,,380,-0.004807023027387914,0.0001,0.039129638671875,0.977172315120697,0.2,145.80883256196975,0.005377197,20.354244232177734,-5.581536257266999,0.49385643005371094
0.74171215,,,,,,,,,,,,,,,
,638976,39,423,1507,,,,,,,,,,,
0.50360394,,,,,390,-0.0020531558724542266,0.0001,0.01495361328125,0.9760088920593262,0.2,611.3163132548332,0.004164857,111.85802459716797,-5.580798530578614,0.022159218788146973
0.63639337,,,,,,,,,,,,,,,
,655360,40,423,1547,,,,,,,,,,,
0.68492484,,,,,400,-0.002937532557552913,0.0001,0.02216796875,0.9764573574066162,0.2,431.94508109092715,0.00389489,237.0912322998047,-5.577996784448624,0.11372619867324829
0.7517953,,,,,,,,,,,,,,,
,671744,41,422,1588,,,,,,,,,,,
0.621304,,,,,410,-0.005178425715348567,0.0001,0.024102783203125,0.9744168519973755,0.2,56.17347630262375,0.0043808166,27.41168212890625,-5.5746809676289555,0.5057959258556366
0.5722163,,,,,,,,,,,,,,,
,688128,42,422,1629,,,,,,,,,,,
0.7401744,,,,,420,-0.004146291254437528,0.0001,0.023162841796875,0.9757071733474731,0.2,216.92556890249253,0.0040266607,188.73231506347656,-5.573947030305862,0.2672382593154907
0.83958006,,,,,,,,,,,,,,,
,704512,43,421,1670,,,,,,,,,,,
0.6667112,,,,,430,-0.002470337419435964,0.0001,0.018145751953125,0.9741973280906677,0.2,216.45528755187988,0.0033766327,95.34391021728516,-5.572958990931511,0.361937940120697
0.58782697,,,,,,,,,,,,,,,
,720896,44,421,1711,,,,,,,,,,,
0.60063875,,,,,440,-0.00279095405494445,0.0001,0.0288330078125,0.9729700088500977,0.2,290.62686041593554,0.005283199,194.1639404296875,-5.568989375233651,0.023463845252990723
0.6967234,,,,,,,,,,,,,,,
,737280,45,420,1752,,,,,,,,,,,
0.6577544,,,,,450,-0.0037840582441276637,0.0001,0.03421630859375,0.9714638590812683,0.2,118.8174666762352,0.0044187093,24.289249420166016,-5.561630018055439,0.39523380994796753
0.84677696,,,,,,,,,,,,,,,
,753664,46,420,1793,,,,,,,,,,,
0.7428614,,,,,460,-0.003025880915720336,0.0001,0.02816162109375,0.9715275168418884,0.2,415.2344890713692,0.0047233715,432.27056884765625,-5.558761009573937,0.179878830909729
0.65012825,,,,,,,,,,,,,,,
,770048,47,419,1834,,,,,,,,,,,
0.6872049,,,,,470,-0.004402898493754037,0.0001,0.028497314453125,0.9705454111099243,0.2,220.24425812959672,0.0046257395,27.791465759277344,-5.557298152148723,0.3717920184135437
0.6235406,,,,,,,,,,,,,,,
,786432,48,419,1875,,,,,,,,,,,
0.67313987,,,,,480,-0.004097849018580746,0.0001,0.02281494140625,0.9706999659538269,0.2,160.32255214452744,0.0038873993,25.57980728149414,-5.555683945119381,0.43173766136169434
0.84927917,,,,,,,,,,,,,,,
,802816,49,419,1915,,,,,,,,,,,
0.8220471,,,,,490,-0.0032805401511723175,0.0001,0.024456787109375,0.9694008827209473,0.2,413.5175533413887,0.004510184,126.29386138916016,-5.553244020044803,0.3939231038093567
0.7305819,,,,,,,,,,,,,,,
,819200,50,418,1956,,,,,,,,,,,
0.79241073,,,,,500,-0.005162177611418883,0.0001,0.03145751953125,0.971957266330719,0.2,291.7885561227798,0.0049893274,364.52191162109375,-5.554451175034046,0.4560612440109253
0.9236405,,,,,,,,,,,,,,,
,835584,51,418,1997,,,,,,,,,,,
0.8270167,,,,,510,-0.003082769970387744,0.0001,0.01654052734375,0.9741009473800659,0.2,403.3131882548332,0.0038715978,92.95465850830078,-5.564141865074634,0.30734002590179443
0.6664033,,,,,,,,,,,,,,,
,851968,52,418,2038,,,,,,,,,,,
0.7939691,,,,,520,-0.0036720360800245543,0.0001,0.018145751953125,0.9738240242004395,0.2,464.66782103776933,0.0043802587,350.81671142578125,-5.56806235909462,0.354780375957489
0.75168806,,,,,,,,,,,,,,,
,868352,53,417,2078,,,,,,,,,,,
0.7645793,,,,,530,-0.0035688125935848802,0.0001,0.02320556640625,0.9759964942932129,0.2,347.5504286050797,0.0041740853,142.32347106933594,-5.571715275943279,0.4262017607688904
0.7358526,,,,,,,,,,,,,,,
,884736,54,417,2119,,,,,,,,,,,
0.7122836,,,,,540,-0.0019847640101943397,0.0001,0.01441650390625,0.9759809970855713,0.2,474.1357370853424,0.0042796833,34.058963775634766,-5.577660717070103,0.29755741357803345
0.74219656,,,,,,,,,,,,,,,
,901120,55,417,2159,,,,,,,,,,,
0.6054491,,,,,550,-0.0043640496904117755,0.0001,0.031646728515625,0.9763853549957275,0.2,161.37151564955713,0.004556654,110.33953094482422,-5.579727064073086,0.3106144666671753
0.92658734,,,,,,,,,,,,,,,
,917504,56,417,2198,,,,,,,,,,,
0.6975236,,,,,560,-0.0044735479714290705,0.0001,0.025872802734375,0.9748728275299072,0.2,107.20899224281311,0.0039886897,18.52861785888672,-5.574668288230896,0.30536699295043945
0.58112776,,,,,,,,,,,,,,,
,933888,57,417,2238,,,,,,,,,,,
